,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Monza,Spezia,2,0,2022-10-09,18666,2022,554880,0,0,0,0,0,0.09317067265510559,0.09317067265510559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,67,DC,Lazio,Spezia,4,0,2022-10-02,18657,2022,552781,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.4758912920951843,88,DC,Spezia,Sampdoria,2,1,2022-09-17,18649,2022,550797,0,0,0,0,0.4758912920951843,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,72,DC,Napoli,Spezia,1,0,2022-09-10,18639,2022,548920,0,0,0,0,0,0.0479399599134922,0.0479399599134922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,MC,Venezia,Cagliari,0,0,2022-05-22,17135,2021,538199,0,0,0,0,0,0.5821787714958191,0.5821787714958191,0.0,,,,0.0,0.0,0.0,,,0.0,,,139.0,,,375.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,0.0,,,18.0,0.0,,0.0,0.0,,0.0,38.0,0.0,3225.0,,,,1.0,2.0,0.0,0.0,-4.0,0.0,4.0,45.0,True,,0.0
5,0,0,0,90,DC,Roma,Venezia,1,1,2022-05-14,17123,2021,535618,0,0,0,0,0,0.318253755569458,0.318253755569458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,MC,Salernitana,Venezia,2,1,2022-05-05,16952,2021,531798,0.018332770094275475,0,1,0,0,0.12042713165283203,0.12042713165283203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Juventus,Venezia,2,1,2022-05-01,17099,2021,531553,0.08512325584888458,0,1,0,0,0.10658878087997437,0.021465526893734932,0.0,,,,0.0,0.0,0.0,,,0.0,,,139.0,,,342.0,,0.0,0.0,0.0,,0.0,,2022-05-01T13:00:00Z,,,,0.0,,,8.0,0.0,,0.0,0.0,,0.0,35.0,0.0,3243.0,,,,0.0,1.0,0.0,0.0,-2.0,0.0,2.0,45.0,False,,0.0
8,0,1,0.040399059653282166,90,MC,Venezia,Atalanta,1,3,2022-04-23,17095,2021,528433,0,0,0,0,0.040399059653282166,0.19716110825538635,0.1567620486021042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,MC,Venezia,Udinese,1,2,2022-04-10,17075,2021,525275,0,0,0,0,0,0.09940924495458603,0.09940924495458603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.07899284362792969,90,MC,Spezia,Venezia,1,0,2022-04-02,17064,2021,522530,0,0,0,0,0.07899284362792969,0.22945581376552582,0.15046297013759613,0.0,,,,0.0,0.0,0.0,,,0.0,,,139.0,,,303.0,,0.0,0.0,0.0,,0.0,,2022-04-02T14:00:00Z,,,,0.0,,,3.0,0.0,,0.0,0.0,,0.0,31.0,0.0,3258.0,,,,4.0,1.0,0.0,0.0,-6.0,0.0,6.0,45.0,True,,0.0
11,0,1,0.02642003260552883,90,DMC,Venezia,Sampdoria,0,2,2022-03-20,17055,2021,521599,0,0,0,0,0.02642003260552883,0.08535049110651016,0.05893046036362648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.02404259517788887,90,MC,Lazio,Venezia,1,0,2022-03-14,17039,2021,520630,0,0,0,0,0.02404259517788887,0.2533687651157379,0.22932617366313934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,24,Sub,Venezia,Sassuolo,1,4,2022-03-06,17035,2021,518220,0,0,0,0,0,0.26365455985069275,0.26365455985069275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,DC,Verona,Venezia,3,1,2022-02-27,17019,2021,516531,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,MC,Venezia,Genoa,1,1,2022-02-20,17015,2021,514714,0.030312327668070793,0,1,0,0,0.06421457976102829,0.03390225023031235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DR,Torino,Venezia,1,2,2022-02-12,17005,2021,512925,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,78,MC,Venezia,Napoli,0,2,2022-02-06,16995,2021,511703,0.05055748671293259,0,1,0,0,0.21004194021224976,0.15948446094989777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DMR,Inter,Venezia,2,1,2022-01-22,16980,2021,509862,0.12129875272512436,1,1,0,0,0.12129875272512436,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,90,DR,Venezia,Empoli,1,1,2022-01-16,16975,2021,508496,0,0,0,0,0,0.5432350635528564,0.5432350635528564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0.01746625080704689,90,MC,Venezia,AC Milan,0,3,2022-01-09,16965,2021,507026,0,0,0,0,0.01746625080704689,0.14847087860107422,0.14847087860107422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1,0.03572317212820053,76,MC,Venezia,Lazio,1,3,2021-12-22,16945,2021,504511,0.16629163920879364,0,2,0,0.03572317212820053,0.4447203278541565,0.27842867374420166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,58,MC,Sampdoria,Venezia,1,1,2021-12-19,16933,2021,504255,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,139.0,,,180.0,,0.0,0.0,0.0,,0.0,,2021-12-19T14:00:00Z,,,,0.0,,,20.0,0.0,,0.0,0.0,,0.0,18.0,0.0,3411.0,,,,0.0,0.0,0.0,0.0,-19.0,0.0,19.0,45.0,False,,0.0
23,0,0,0,66,MC,Venezia,Juventus,1,1,2021-12-11,16925,2021,501825,0.022725990042090416,0,1,0,0,0.04829815775156021,0.04829815775156021,0.0,,,,0.0,0.0,0.0,,,0.0,,,139.0,,,155.0,,0.0,0.0,0.0,,0.0,,2021-12-11T15:00:00Z,,,,0.0,,,10.0,0.0,,0.0,0.0,,0.0,16.0,0.0,3455.0,,,,2.0,3.0,0.0,0.0,-33.0,0.0,33.0,45.0,True,,0.0
24,0,0,0,90,MC,Atalanta,Venezia,4,0,2021-11-30,16896,2021,498600,0.3975149989128113,0,2,0,0,0.3975149989128113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,84,MC,Venezia,Inter,0,2,2021-11-27,16895,2021,497666,0.05814487859606743,0,1,0,0,0.13325320184230804,0.13325320184230804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
