,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,4,Sub,Crystal Palace,Chelsea,0,1,2016-12-17,3135,2016,131664,0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,580.0,0.0,0.0,162.0,0.0,0.0,0.0,0.1,9952.0,0.2,0.0,2016-12-17T12:30:00Z,17 Dec 12:30,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,782.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-13.0,8.0,21.0,45.0,True,0.0,0.0
1,0,0,0,8,Sub,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131025,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,42,Sub,Hull,Crystal Palace,3,3,2016-12-10,3116,2016,129831,0,0,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,0.7,1.0,0.0,580.0,0.0,0.0,144.0,0.0,2.0,0.0,0.9,8728.0,6.0,0.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,45.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,792.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,-14.0,20.0,34.0,45.0,False,0.0,0.0
3,0,0,0,14,Sub,Swansea,Crystal Palace,5,4,2016-11-26,2709,2016,128261,0,0,0,0,0,0.015164889395236969,0.015164889395236969,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.5,0.0,0.0,580.0,0.0,0.0,129.0,0.0,2.0,0.0,0.4,7519.0,1.4,0.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,801.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,-27.0,20.0,47.0,45.0,False,0.0,0.0
4,0,0,0,29,Sub,Burnley,Crystal Palace,3,2,2016-11-05,2688,2016,127983,0,0,0,0,0,0.014800326898694038,0.014800326898694038,0.0,17.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,4.8,0.0,0.0,580.0,0.0,0.0,103.0,2.0,1.0,0.0,0.9,6319.0,4.4,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,32.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,773.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,-41.0,25.0,66.0,45.0,False,0.0,0.0
5,0,0,0,12,Sub,Leicester,Crystal Palace,3,1,2016-10-22,544,2016,127262,0.11766145378351212,0,1,0,0,0.11766145378351212,0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,10.6,0.0,0.0,580.0,0.0,0.0,86.0,0.0,1.0,0.0,1.5,5127.0,2.6,1.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,804.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,16.0,67.0,51.0,45.0,False,0.0,0.0
6,0,0,0,43,Sub,Crystal Palace,West Ham,0,1,2016-10-15,537,2016,127720,0,0,0,0,0,0.03260864317417145,0.03260864317417145,0.0,16.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0,4.9,0.0,0.0,580.0,0.0,0.0,74.0,2.0,0.0,0.0,1.2,4535.0,5.0,0.0,2016-10-15T16:30:00Z,15 Oct 17:30,0.0,0.0,45.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,757.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,-40.0,57.0,97.0,45.0,True,0.0,0.0
7,0,0,0,12,Sub,Sunderland,Crystal Palace,2,3,2016-09-24,514,2016,126743,0.2569290101528168,1,1,0,0,0.2569290101528168,0,1.0,4.0,0.0,0.0,0.0,15.0,0.0,1.0,3.0,14.3,1.0,0.0,580.0,0.0,0.0,57.0,0.0,0.0,0.0,3.6,3360.0,22.0,1.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,16.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,223.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,37.0,65.0,28.0,45.0,False,0.0,0.0
8,0,0,0,1,Sub,Everton,Crystal Palace,2,3,2014-09-21,4738,2014,18215,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,2016-09-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2195.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0,0.0
