,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,DC,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555430,0,0,0,0,0,0.04392920807003975,0.04392920807003975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.2779271900653839,90,DC,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553309,0,0,0,0,0.2779271900653839,0.12787382304668427,0.12787382304668427,0.0,0.0,17.0,1.0,2.0,44.0,85.0,0.0,0.0,2.4,14.8,2022-10-02T15:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,30176.0,0.0,0.0,7.0,6.0,1590.0,5006.0,3416.0,44.0,False,0.0
2,0,0,0,90,DC,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550335,0,0,0,0,0,0,0,0.0,1.0,23.0,1.0,0.3,44.0,71.0,0.0,0.0,0.9,9.0,2022-09-16T19:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,29915.0,0.0,1.0,0.0,7.0,4313.0,6020.0,1707.0,44.0,True,0.0
3,0,0,0,90,DC,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547427,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.1,44.0,51.0,1.0,0.0,0.5,4.4,2022-09-03T16:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,21997.0,1.0,1.0,0.0,2.0,-1932.0,691.0,2623.0,44.0,True,0.0
4,0,0,0,90,DC,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546271,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0.8,44.0,41.0,2.0,0.0,1.6,13.6,2022-08-31T18:30:00Z,90.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,23519.0,1.0,2.0,2.0,0.0,-1855.0,785.0,2640.0,44.0,False,1.0
5,0,0,0,90,DC,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545238,0,0,0,0,0,0.022847633808851242,0.022847633808851242,0.0,0.0,16.0,0.0,0.3,44.0,32.0,1.0,0.0,1.8,17.2,2022-08-28T13:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,24663.0,1.0,0.0,0.0,2.0,-2952.0,996.0,3948.0,45.0,True,0.0
6,0,1,0.025922346860170364,90,DC,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542443,0,0,0,0,0.025922346860170364,0.36450204253196716,0.36450204253196716,0.0,0.0,13.0,0.0,0.8,44.0,22.0,3.0,0.0,2.2,19.2,2022-08-20T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,26262.0,1.0,3.0,2.0,1.0,-3234.0,1607.0,4841.0,45.0,False,0.0
7,0,0,0,1,Sub,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540353,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,44.0,12.0,0.0,0.0,0.0,0.0,2022-08-13T11:30:00Z,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,28102.0,1.0,2.0,0.0,1.0,335.0,3449.0,3114.0,45.0,True,0.0
8,0,0,0,90,DC,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539413,0,0,0,0,0,0.06019921228289604,0.06019921228289604,0.0,0.0,16.0,0.0,1.3,44.0,2.0,2.0,0.0,2.2,20.8,2022-08-06T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,22328.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,False,0.0
9,0,0,0,51,DC,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536110,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.2,45.0,361.0,0.0,0.0,1.1,10.4,2022-05-15T13:00:00Z,49.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,88401.0,1.0,1.0,0.0,1.0,3481.0,5245.0,1764.0,49.0,True,0.0
