,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.10109563171863556,23,DMR,Nantes,Paris Saint Germain,0,3,2022-09-03,19701,2022,548549,0,0,0,0,0.10109563171863556,0.10109563171863556,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,488.0,,,60.0,,0.0,0.0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0.0,,,17.0,0.0,,0.0,0.0,,0.0,6.0,0.0,2279.0,,,,0.0,1.0,0.0,0.0,-161.0,0.0,161.0,55.0,True,,0.0
1,0,1,0.10109563171863556,23,DMR,Nantes,Paris Saint Germain,0,3,2022-09-03,19701,2022,548549,0,0,0,0,0.10109563171863556,0.10109563171863556,0,0.0,,,,0.0,10.0,1.0,,,13.6,,,282.0,,,55.0,,0.0,0.0,4.3,,12.8,,2022-09-03T11:30:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,6.0,0.0,106385.0,,,,0.0,0.0,17.0,2.0,-1878.0,11151.0,13029.0,54.0,False,,1.0
2,0,0,0,26,Sub,Strasbourg,Nantes,1,1,2022-08-31,19695,2022,546124,0.10562548041343689,0,2,0,0,0.22942443192005157,0.13209611177444458,0.0,,,,0.0,0.0,0.0,,,0.0,,,488.0,,,42.0,,0.0,0.0,0.0,,0.0,,2022-08-31T18:30:00Z,,,,0.0,,,3.0,0.0,,0.0,0.0,,0.0,5.0,0.0,2441.0,,,,0.0,0.0,0.0,0.0,-193.0,0.0,193.0,55.0,False,,0.0
3,0,0,0,26,Sub,Strasbourg,Nantes,1,1,2022-08-31,19695,2022,546124,0.10562548041343689,0,2,0,0,0.22942443192005157,0.13209611177444458,0.0,,,,0.0,6.0,0.0,,,5.9,,,282.0,,,48.0,,1.0,0.0,1.4,,2.6,,2022-08-31T19:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,5.0,0.0,102711.0,,,,1.0,2.0,5.0,2.0,-4843.0,8422.0,13265.0,54.0,True,,0.0
4,0,1,0.28081029653549194,60,DR,Nantes,Toulouse,3,1,2022-08-28,19681,2022,544986,0.06204159930348396,0,1,0,0.28081029653549194,0.8229819536209106,0.5421716570854187,0.0,,,,0.0,0.0,0.0,,,0.0,,,488.0,,,40.0,,0.0,0.0,0.0,,0.0,,2022-08-28T13:00:00Z,,,,0.0,,,15.0,0.0,,0.0,0.0,,0.0,4.0,0.0,2618.0,,,,1.0,1.0,0.0,0.0,-398.0,0.0,398.0,55.0,True,,0.0
5,0,1,0.0210654865950346,63,DR,Marseille,Nantes,2,1,2022-08-20,19674,2022,542809,0.596327006816864,0,1,0,0.0210654865950346,0.6173924803733826,0.596327006816864,0.0,,,,0.0,0.0,0.0,,,0.0,,,488.0,,,29.0,,0.0,0.0,0.0,,0.0,,2022-08-20T11:30:00Z,,,,0.0,,,18.0,0.0,,0.0,0.0,,0.0,3.0,0.0,2993.0,,,,0.0,1.0,0.0,0.0,-681.0,0.0,681.0,55.0,False,,0.0
6,0,0,0,29,Sub,Nantes,Lille,1,1,2022-08-12,19658,2022,540320,0,0,0,0,0,0.6366434693336487,0.6366434693336487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,16,Sub,Angers,Nantes,0,0,2022-08-07,19654,2022,539933,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,4,Sub,Nantes,Saint-Etienne,1,1,2022-05-21,18196,2021,537510,0,0,0,0,0,0.015199169516563416,0.015199169516563416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.029690343886613846,90,DML,Lyon,Nantes,3,2,2022-05-14,18191,2021,535927,0,0,0,0,0.029690343886613846,0.4679817259311676,0.43829137086868286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DL,Nantes,Rennes,2,1,2022-05-11,18172,2021,534858,0,0,0,0,0,0.01192871667444706,0.01192871667444706,0.0,,,,0.0,0.0,0.0,,,0.0,,,445.0,,,330.0,,0.0,0.0,0.0,,0.0,,2022-05-11T19:15:00Z,,,,0.0,,,12.0,0.0,,0.0,0.0,,0.0,36.0,0.0,42659.0,,,,5.0,1.0,0.0,0.0,-792.0,1423.0,2215.0,56.0,True,,0.0
11,0,1,0.10336273908615112,21,Sub,Nantes,Bordeaux,5,3,2022-04-24,18156,2021,529421,0,0,0,0,0.10336273908615112,0.5215893387794495,0.41822659969329834,0.0,,,,0.0,5.0,0.0,,,2.1,,,445.0,,,334.0,,1.0,0.0,4.9,,0.0,,2022-04-24T13:00:00Z,,,,66.0,,,5.0,0.0,,0.0,0.0,,0.0,34.0,0.0,43288.0,,,,0.0,1.0,48.0,2.0,2235.0,3928.0,1693.0,56.0,False,,0.0
12,0,1,0.10336273908615112,21,Sub,Nantes,Bordeaux,5,3,2022-04-24,18156,2021,529421,0,0,0,0,0.10336273908615112,0.5215893387794495,0.41822659969329834,0.0,,,,0.0,11.0,1.0,,,7.5,,,232.0,,,338.0,,0.0,0.0,2.2,,11.8,,2022-04-24T15:30:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,34.0,0.0,95273.0,,,,0.0,2.0,3.0,3.0,-515.0,3098.0,3613.0,54.0,True,,0.0
13,0,0,0,43,Sub,Marseille,Nantes,3,2,2022-04-20,18147,2021,528058,0.011842207983136177,0,1,0,0,0.011842207983136177,0.011842207983136177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
