,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,29,Sub,Inter,Udinese,5,1,2021-05-23,15804,2020,473252,0,0,0,0,0,0.06770233064889908,0.06770233064889908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,16,Sub,Udinese,Sampdoria,0,1,2021-05-16,15793,2020,471427,0.01641961559653282,0,1,0,0,0.01641961559653282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,1,Sub,Udinese,Cagliari,0,1,2021-04-21,15738,2020,464470,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,0.2118476778268814,65,FW,Udinese,Torino,0,1,2021-04-10,15725,2020,461430,0.08924464136362076,0,3,0,0.2118476778268814,0.1457991749048233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,31,Sub,Atalanta,Udinese,3,2,2021-04-03,15714,2020,459247,0.035807374864816666,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.03528814762830734,64,FW,Udinese,Lazio,0,1,2021-03-21,15700,2020,458654,0,0,0,0,0.03528814762830734,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.3166748285293579,81,FW,Genoa,Udinese,1,1,2021-03-13,15694,2020,456594,0,0,0,0,0.3166748285293579,0.3450397849082947,0.02836495079100132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,4,0.9306890964508057,87,FW,Udinese,Sassuolo,2,0,2021-03-06,15684,2020,454729,0.0674217939376831,0,1,1,0.9306890964508057,0.9143549799919128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,32,Sub,AC Milan,Udinese,1,1,2021-03-03,15672,2020,453992,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,78,FW,Udinese,Fiorentina,1,0,2021-02-28,15659,2020,452855,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
