,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,89,DML,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524204,0.08500012755393982,0,1,0,0,0.14172764122486115,0.14172764122486115,0.0,0.0,19.0,0.0,17.0,432.0,317.0,1.0,0.0,4.3,22.4,2022-04-08T19:00:00Z,85.0,14.0,0.0,0.0,0.0,0.0,32.0,0.0,139769.0,0.0,1.0,4.0,2.0,2653.0,4951.0,2298.0,42.0,False,0.0
1,0,0,0,90,DML,Wolverhampton Wanderers,Aston Villa,2,1,2022-04-02,16676,2021,522836,0.04773750901222229,0,1,0,0,0.04773750901222229,0.04773750901222229,1.0,1.0,16.0,0.0,16.1,432.0,310.0,1.0,0.0,3.9,20.8,2022-04-02T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,136788.0,1.0,2.0,2.0,5.0,-3366.0,2715.0,6081.0,42.0,True,1.0
2,0,1,0.029771411791443825,90,DML,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519969,0.02352689579129219,0,1,0,0.029771411791443825,0.21550501883029938,0.1622067093849182,0.0,1.0,27.0,1.0,12.4,432.0,286.0,0.0,0.0,3.4,11.8,2022-03-13T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,131155.0,1.0,0.0,10.0,7.0,-3188.0,3559.0,6747.0,42.0,False,0.0
3,0,1,0.029464280232787132,90,DML,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517609,0.033372264355421066,0,2,0,0.029464280232787132,0.046860337257385254,0.013488072901964188,0.0,0.0,16.0,0.0,25.8,432.0,280.0,2.0,0.0,8.7,31.8,2022-03-05T15:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,28.0,0.0,134220.0,2.0,0.0,29.0,1.0,-3487.0,4700.0,8187.0,42.0,True,0.0
4,0,1,0.020754264667630196,80,DML,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516504,0.4746703505516052,0,3,0,0.020754264667630196,0.5540666580200195,0.14571067690849304,0.0,0.0,21.0,0.0,38.8,432.0,270.0,1.0,0.0,7.0,19.4,2022-02-27T14:00:00Z,75.0,19.0,0.0,0.0,0.0,0.0,27.0,0.0,134959.0,0.0,1.0,12.0,2.0,-7566.0,1724.0,9290.0,42.0,False,0.0
5,0,0,0,1,Sub,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514966,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,432.0,260.0,0.0,0.0,0.2,2.2,2022-02-20T16:30:00Z,2.0,9.0,0.0,0.0,0.0,0.0,26.0,0.0,143280.0,1.0,2.0,0.0,1.0,-8225.0,3112.0,11337.0,42.0,True,0.0
6,0,1,0.0642719566822052,66,DML,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512257,0,0,0,0,0.0642719566822052,0.0642719566822052,0,0.0,0.0,7.0,0.0,1.1,432.0,236.0,1.0,0.0,2.5,3.6,2022-02-10T19:45:00Z,62.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,154289.0,1.0,0.0,20.0,2.0,-6709.0,3324.0,10033.0,42.0,True,0.0
7,0,2,0.02650471404194832,90,DML,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505895,0,0,0,0,0.02650471404194832,0.1231662929058075,0.1092052236199379,0.0,0.0,20.0,1.0,2.3,432.0,208.0,0.0,0.0,1.3,4.8,2022-01-03T17:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,21.0,0.0,141528.0,1.0,0.0,6.0,6.0,7957.0,16208.0,8251.0,42.0,False,0.0
8,0,0,0,90,DML,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,504001,0,0,0,0,0,0.26554223895072937,0.26554223895072937,0.0,0.0,21.0,1.0,5.4,432.0,180.0,0.0,0.0,2.5,13.4,2021-12-19T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,145884.0,0.0,0.0,6.0,6.0,7708.0,11255.0,3547.0,42.0,True,0.0
9,0,0,0,90,DML,Brighton,Wolverhampton Wanderers,0,1,2021-12-15,16538,2021,503292,0,0,0,0,0,0.013835572637617588,0.013835572637617588,0.0,0.0,23.0,1.0,1.4,432.0,163.0,0.0,0.0,1.9,15.6,2021-12-15T19:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,126617.0,1.0,0.0,2.0,6.0,-7753.0,3014.0,10767.0,42.0,False,0.0
