,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0.6890307664871216,64,FWL,Barcelona,Celta Vigo,1,0,2022-10-09,19033,2022,555332,0,0,0,0,0.6890307664871216,0.7892911434173584,0.10026039928197861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.040007710456848145,9,Sub,Mallorca,Barcelona,0,1,2022-10-01,19027,2022,552696,0,0,0,0,0.040007710456848145,0.040007710456848145,0,0.0,0.0,0.0,0.0,0.0,218.0,84.0,0.0,0.0,0.0,0.0,2022-10-01T14:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,9.0,0.0,4628.0,4.0,1.0,0.0,0.0,-296.0,0.0,296.0,54.0,True,0.0
2,0,1,0.040007710456848145,9,Sub,Mallorca,Barcelona,0,1,2022-10-01,19027,2022,552696,0,0,0,0,0.040007710456848145,0.040007710456848145,0,0.0,0.0,12.0,0.0,2.1,440.0,81.0,3.0,0.0,2.4,20.2,2022-10-01T11:30:00Z,90.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,41010.0,1.0,3.0,2.0,2.0,10182.0,12895.0,2713.0,54.0,False,0.0
3,0,1,0.4417017698287964,13,Sub,Barcelona,Elche,3,0,2022-09-17,19013,2022,550716,0,0,0,0,0.4417017698287964,0.9905000329017639,0.5487983226776123,1.0,2.0,51.0,0.0,21.8,440.0,79.0,2.0,1.0,13.1,83.4,2022-09-17T16:30:00Z,90.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,28865.0,2.0,6.0,26.0,12.0,356.0,1245.0,889.0,54.0,True,0.0
4,0,1,0.4417017698287964,13,Sub,Barcelona,Elche,3,0,2022-09-17,19013,2022,550716,0,0,0,0,0.4417017698287964,0.9905000329017639,0.5487983226776123,0.0,0.0,12.0,1.0,4.1,315.0,80.0,0.0,0.0,2.6,14.6,2022-09-17T11:30:00Z,80.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,223222.0,3.0,0.0,7.0,2.0,-1344.0,6780.0,8124.0,59.0,False,1.0
5,0,2,0.06710230559110641,60,FWL,Cadiz,Barcelona,0,4,2022-09-10,19010,2022,549300,0,0,0,0,0.06710230559110641,0.06710230559110641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,0.15709491074085236,25,Sub,Sevilla,Barcelona,0,3,2022-09-03,18995,2022,547639,0,0,0,0,0.15709491074085236,0.15709491074085236,0,0.0,0.0,0.0,0.0,0.0,225.0,52.0,0.0,0.0,0.0,0.0,2022-09-03T14:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,1169847.0,2.0,5.0,0.0,0.0,-1999266.0,42111.0,2041377.0,64.0,False,0.0
7,0,3,0.15709491074085236,25,Sub,Sevilla,Barcelona,0,3,2022-09-03,18995,2022,547639,0,0,0,0,0.15709491074085236,0.15709491074085236,0,0.0,0.0,0.0,0.0,0.0,218.0,59.0,0.0,0.0,0.0,0.0,2022-09-03T14:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,5732.0,1.0,2.0,0.0,0.0,-1412.0,0.0,1412.0,54.0,False,0.0
8,0,3,0.15709491074085236,25,Sub,Sevilla,Barcelona,0,3,2022-09-03,18995,2022,547639,0,0,0,0,0.15709491074085236,0.15709491074085236,0,0.0,0.0,9.0,0.0,24.4,440.0,59.0,1.0,0.0,3.8,10.4,2022-09-03T14:00:00Z,90.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,28685.0,1.0,2.0,3.0,1.0,-6443.0,1740.0,8183.0,54.0,True,1.0
9,0,3,0.15709491074085236,25,Sub,Sevilla,Barcelona,0,3,2022-09-03,18995,2022,547639,0,0,0,0,0.15709491074085236,0.15709491074085236,0,0.0,0.0,11.0,0.0,6.3,315.0,51.0,1.0,0.0,3.3,5.8,2022-09-03T16:30:00Z,90.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,232917.0,1.0,1.0,21.0,2.0,-15884.0,19708.0,35592.0,59.0,False,0.0
10,0,1,0.06930503249168396,4,Sub,Barcelona,Real Valladolid,4,0,2022-08-28,18988,2022,545587,0,0,0,0,0.06930503249168396,0.06930503249168396,0,0.0,0.0,13.0,1.0,0.8,440.0,38.0,0.0,0.0,1.7,15.8,2022-08-28T15:30:00Z,90.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,35723.0,2.0,0.0,0.0,3.0,-3616.0,3362.0,6978.0,55.0,False,0.0
11,0,2,0.1741867959499359,66,AMC,Real Sociedad,Barcelona,1,4,2022-08-21,18979,2022,543652,0,0,0,0,0.1741867959499359,0.3812479078769684,0.20706111192703247,1.0,2.0,27.0,1.0,11.9,225.0,25.0,0.0,1.0,12.6,48.2,2022-08-21T13:00:00Z,82.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1174241.0,0.0,3.0,66.0,13.0,857935.0,957289.0,99354.0,62.0,True,0.0
