,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,DC,Watford,Tottenham,0,1,2022-01-01,16585,2021,505481,0,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,396.0,210.0,1.0,0.0,2.6,25.6,2022-01-01T15:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,3995.0,1.0,0.0,0.0,2.0,27.0,74.0,47.0,43.0,True,0.0
1,0,1,0.03239230066537857,90,DC,Watford,West Ham,1,4,2021-12-28,16569,2021,505287,0,0,0,0,0.03239230066537857,0,0,0.0,0.0,10.0,0.0,0.1,396.0,200.0,4.0,0.0,4.5,26.0,2021-12-28T15:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0,3939.0,4.0,1.0,19.0,0.0,-16.0,19.0,35.0,43.0,True,0.0
2,0,0,0,70,DC,Leeds,Watford,1,0,2021-10-02,16440,2021,486450,0,0,0,0,0,0.015048423781991005,0.015048423781991005,0.0,0.0,11.0,0.0,0.1,396.0,65.0,1.0,0.0,1.0,10.0,2021-10-02T14:00:00Z,67.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,7000.0,0.0,1.0,0.0,2.0,-678.0,144.0,822.0,43.0,False,0.0
3,0,0,0,90,DC,Watford,Wolverhampton Wanderers,0,2,2021-09-11,16412,2021,480295,0,0,0,0,0,0.10449658334255219,0.10449658334255219,0.0,0.0,10.0,0.0,0.2,396.0,40.0,2.0,0.0,1.8,17.6,2021-09-11T14:00:00Z,90.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,9288.0,2.0,0.0,0.0,-1.0,-688.0,1505.0,2193.0,44.0,True,0.0
4,0,0,0,90,DC,Tottenham,Watford,1,0,2021-08-29,16404,2021,479406,0,0,0,0,0,0.17726649343967438,0.17726649343967438,0.0,0.0,15.0,0.0,0.1,396.0,27.0,1.0,0.0,1.6,15.8,2021-08-29T13:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,9437.0,0.0,1.0,0.0,2.0,-2500.0,120.0,2620.0,44.0,False,0.0
5,0,0,0,25,Sub,Bologna,Parma Calcio 1913,4,1,2019-05-13,9931,2018,332922,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Parma Calcio 1913,Torino,0,0,2019-04-06,9883,2018,323709,0.5982292294502258,0,2,0,0,0.05003509297966957,0.05003509297966957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0.01665416546165943,90,DC,Frosinone,Parma Calcio 1913,3,2,2019-04-03,9870,2018,322032,0,0,0,0,0.01665416546165943,0.0927596390247345,0.0927596390247345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.008855578489601612,43,Sub,Parma Calcio 1913,Atalanta,1,3,2019-03-31,9863,2018,318256,0,0,0,0,0.008855578489601612,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,3,Sub,Parma Calcio 1913,Genoa,1,0,2019-03-09,9843,2018,314662,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,12,Sub,Inter,Parma Calcio 1913,0,1,2018-09-15,9611,2018,248573,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,2021-08-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,396.0,8.0,0.0,0.0,0.0,0.0,2021-08-14T14:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13068.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,True,0.0
12,,,,,,,,,,2021-08-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,396.0,12.0,0.0,0.0,0.0,0.0,2021-08-21T16:30:00Z,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,11739.0,0.0,2.0,0.0,0.0,-2137.0,74.0,2211.0,45.0,False,0.0
