,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,25,Sub,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554117,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,2,Sub,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552416,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,93.0,82.0,0.0,0.0,0.0,0.0,2022-10-01T14:00:00Z,6.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3802.0,0.0,0.0,0.0,1.0,39.0,211.0,172.0,49.0,False,0.0
2,0,0,0,25,Sub,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551051,0,0,0,0,0,0.31028497219085693,0.31028497219085693,0.0,0.0,1.0,0.0,1.3,93.0,72.0,0.0,0.0,0.2,0.4,2022-09-18T11:00:00Z,27.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3686.0,3.0,0.0,0.0,1.0,-25.0,63.0,88.0,49.0,True,0.0
3,0,0,0,28,Sub,Brentford,Leeds,5,2,2022-09-03,18257,2022,547227,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.0,93.0,52.0,1.0,0.0,0.6,6.0,2022-09-03T14:00:00Z,31.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,3551.0,2.0,5.0,0.0,1.0,-198.0,185.0,383.0,49.0,True,0.0
4,0,0,0,21,Sub,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545881,0.1256726086139679,0,1,0,0,0.3000050187110901,0.3000050187110901,0.0,0.0,5.0,0.0,11.3,93.0,43.0,0.0,0.0,1.9,5.2,2022-08-30T18:30:00Z,22.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,3559.0,1.0,1.0,2.0,1.0,-273.0,179.0,452.0,49.0,False,0.0
5,0,0,0,6,Sub,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540808,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.7,93.0,13.0,0.0,0.0,0.1,0.0,2022-08-13T16:30:00Z,10.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3306.0,0.0,4.0,0.0,1.0,-379.0,159.0,538.0,50.0,True,0.0
6,0,0,0,1,Sub,Brentford,Burnley,2,0,2022-03-12,16657,2021,519339,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,479.0,282.0,0.0,0.0,0.0,0.0,2022-03-12T15:00:00Z,1.0,5.0,0.0,0.0,0.0,0.0,29.0,0.0,5785.0,0.0,2.0,0.0,1.0,-59.0,48.0,107.0,49.0,True,0.0
7,0,0,0,29,Sub,Norwich,Brentford,1,3,2022-03-05,16652,2021,517603,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,479.0,277.0,1.0,0.0,0.0,0.0,2022-03-05T15:00:00Z,31.0,15.0,0.0,0.0,0.0,0.0,28.0,0.0,5849.0,3.0,1.0,0.0,1.0,-101.0,18.0,119.0,49.0,False,0.0
8,0,3,0.12692125141620636,72,MC,Manchester City,Brentford,2,0,2022-02-09,16615,2021,512220,0,0,0,0,0.12692125141620636,0.10970310866832733,0,0.0,0.0,8.0,0.0,0.6,479.0,238.0,2.0,0.0,4.7,11.4,2022-02-09T19:45:00Z,69.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,6103.0,0.0,2.0,35.0,2.0,-167.0,42.0,209.0,49.0,False,0.0
9,0,1,0.06335348635911942,82,MC,Brentford,Aston Villa,2,1,2022-01-02,16577,2021,505601,0,0,0,0,0.06335348635911942,0.1208474189043045,0.05749393254518509,0.0,0.0,8.0,0.0,1.0,479.0,202.0,1.0,0.0,2.0,12.4,2022-01-02T14:00:00Z,79.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,8002.0,1.0,2.0,7.0,1.0,174.0,546.0,372.0,49.0,True,1.0
10,0,2,0.11499950289726257,77,MC,Brentford,Manchester City,0,1,2021-12-29,16567,2021,505377,0,0,0,0,0.11499950289726257,0.07079316675662994,0,0.0,0.0,6.0,0.0,0.4,479.0,192.0,1.0,0.0,4.4,9.0,2021-12-29T20:15:00Z,74.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,7493.0,1.0,0.0,35.0,2.0,-112.0,128.0,240.0,49.0,True,0.0
11,0,0,0,40,Sub,Brighton,Brentford,2,0,2021-12-26,16557,2021,505201,0.013330291025340557,0,1,0,0,0.13506321609020233,0.13506321609020233,0.0,0.0,5.0,0.0,12.8,479.0,182.0,0.0,0.0,1.9,5.8,2021-12-26T20:00:00Z,45.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,7653.0,0.0,2.0,0.0,1.0,-220.0,192.0,412.0,49.0,False,0.0
12,0,1,0.0706314817070961,12,Sub,Brentford,Watford,2,1,2021-12-10,16527,2021,501326,0,0,0,0,0.0706314817070961,0.0706314817070961,0,0.0,0.0,-1.0,0.0,0.7,479.0,152.0,0.0,0.0,1.7,0.0,2021-12-10T20:00:00Z,13.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,9014.0,1.0,2.0,18.0,0.0,-132.0,721.0,853.0,49.0,True,1.0
13,0,0,0,18,Sub,Leeds,Brentford,2,2,2021-12-05,16518,2021,500505,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.2,479.0,143.0,1.0,0.0,0.2,1.4,2021-12-05T14:00:00Z,21.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,9034.0,2.0,2.0,0.0,1.0,96.0,849.0,753.0,49.0,False,0.0
14,0,0,0,58,MC,Tottenham,Brentford,2,0,2021-12-02,16515,2021,499427,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.6,479.0,140.0,1.0,0.0,0.4,3.2,2021-12-02T19:30:00Z,55.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,8964.0,0.0,2.0,0.0,1.0,1592.0,1938.0,346.0,49.0,False,0.0
15,0,0,0,90,MC,Brentford,Everton,1,0,2021-11-28,16497,2021,497934,0,0,0,0,0,0,0,1.0,0.0,13.0,1.0,2.0,479.0,122.0,0.0,0.0,1.0,4.4,2021-11-28T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,7230.0,0.0,1.0,4.0,5.0,362.0,759.0,397.0,49.0,True,1.0
16,0,1,0.04429841414093971,28,Sub,Newcastle United,Brentford,3,3,2021-11-20,16491,2021,495755,0,0,0,0,0.04429841414093971,0.04429841414093971,0,1.0,0.0,9.0,0.0,1.1,479.0,116.0,1.0,0.0,0.6,0.0,2021-11-20T15:00:00Z,31.0,14.0,0.0,0.0,0.0,0.0,12.0,0.0,6720.0,3.0,3.0,6.0,4.0,-302.0,361.0,663.0,49.0,False,0.0
17,0,1,0.010345270857214928,60,MC,Burnley,Brentford,3,1,2021-10-30,16467,2021,492314,0,0,0,0,0.010345270857214928,0.010345270857214928,0,0.0,0.0,4.0,0.0,3.4,479.0,92.0,3.0,0.0,1.2,1.0,2021-10-30T14:00:00Z,57.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,7003.0,1.0,3.0,8.0,1.0,254.0,918.0,664.0,49.0,False,0.0
18,0,1,0.05235325172543526,78,MC,Brentford,Leicester,1,2,2021-10-24,16457,2021,490452,0.05094456300139427,0,1,0,0.05235325172543526,0.0830783024430275,0.0830783024430275,0.0,0.0,19.0,0.0,19.4,479.0,82.0,2.0,0.0,3.2,9.0,2021-10-24T13:00:00Z,75.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,6581.0,2.0,1.0,4.0,2.0,290.0,728.0,438.0,49.0,True,0.0
19,0,0,0,70,MC,Brentford,Chelsea,0,1,2021-10-16,16448,2021,488343,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,479.0,73.0,1.0,0.0,0.3,1.8,2021-10-16T16:30:00Z,66.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,6163.0,1.0,0.0,0.0,2.0,276.0,781.0,505.0,49.0,True,0.0
20,0,0,0,87,MC,West Ham,Brentford,1,2,2021-10-03,16444,2021,487065,0,0,0,0,0,0.0466463640332222,0.0466463640332222,0.0,0.0,7.0,0.0,0.9,479.0,69.0,1.0,0.0,1.1,10.0,2021-10-03T13:00:00Z,81.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,5747.0,2.0,1.0,0.0,2.0,112.0,599.0,487.0,49.0,False,0.0
21,0,2,0.12389452010393143,71,MC,Brentford,Liverpool,3,3,2021-09-25,16432,2021,484976,0,0,0,0,0.12389452010393143,0.5580019354820251,0.43410739302635193,0.0,0.0,2.0,0.0,0.5,479.0,52.0,3.0,0.0,0.9,0.6,2021-09-25T16:30:00Z,67.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,5447.0,3.0,3.0,8.0,1.0,-382.0,371.0,753.0,49.0,True,1.0
22,0,1,0.03872985020279884,19,Sub,Wolverhampton Wanderers,Brentford,0,2,2021-09-18,16417,2021,481841,0,0,0,0,0.03872985020279884,0.03872985020279884,0,0.0,0.0,3.0,0.0,0.0,479.0,50.0,0.0,0.0,1.9,1.0,2021-09-18T11:30:00Z,22.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,5718.0,2.0,0.0,18.0,1.0,-365.0,491.0,856.0,49.0,False,0.0
23,0,0,0,10,Sub,Brentford,Brighton,0,1,2021-09-11,16408,2021,480413,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.3,479.0,32.0,1.0,0.0,0.3,2.2,2021-09-11T14:00:00Z,15.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,5785.0,1.0,0.0,0.0,1.0,-1816.0,346.0,2162.0,50.0,True,0.0
24,0,2,0.06638526171445847,73,MC,Crystal Palace,Brentford,0,0,2021-08-21,16389,2021,476978,0.0335344560444355,0,1,0,0.06638526171445847,0.06638526171445847,0,0.0,0.0,6.0,1.0,12.8,479.0,13.0,0.0,0.0,5.4,14.4,2021-08-21T14:00:00Z,69.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,7330.0,0.0,0.0,27.0,3.0,607.0,1633.0,1026.0,50.0,False,0.0
25,0,1,0.05346401408314705,81,MC,Brentford,Arsenal,2,0,2021-08-13,16376,2021,475180,0.06570620089769363,0,1,0,0.05346401408314705,0.23746681213378906,0.1840028017759323,0.0,0.0,9.0,1.0,15.5,479.0,1.0,0.0,0.0,2.5,5.4,2021-08-13T19:00:00Z,79.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4896.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,50.0,True,0.0
26,,,,,,,,,,2021-08-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,479.0,21.0,0.0,0.0,0.0,0.0,2021-08-28T14:00:00Z,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,7524.0,1.0,1.0,0.0,0.0,-216.0,958.0,1174.0,50.0,False,0.0
