,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.08892004936933517,18,Sub,Manchester City,Manchester United,6,3,2022-10-02,18289,2022,552942,0.025095811113715172,0,2,0,0.08892004936933517,0.17935869097709656,0.08070425689220428,1,,,,0,14,0,,,20.8,,,331,,,88,,1,0,4.7,,9.6,,2022-10-02T13:00:00Z,,,,20,,,13,0,,0,0,,0,9,0,46149,,,,3,6,17.0,4,-1365,889,2254,52,False,,0
1,0,0,0,20,Sub,Manchester United,Arsenal,3,1,2022-09-04,18261,2022,548100,0.3560405373573303,0,1,0,0,0.3560405373573303,0,0,,,,0,7,0,,,14.9,,,331,,,56,,0,0,2.2,,4.6,,2022-09-04T15:30:00Z,,,,23,,,1,0,,0,0,,0,6,0,49461,,,,1,3,2.0,1,-4234,2504,6738,52,True,,0
2,0,0,0,2,Sub,Leicester,Manchester United,0,1,2022-09-01,18251,2022,546694,0,0,0,0,0,0,0,0,,,,0,4,0,,,0.0,,,331,,,46,,0,0,0.1,,1.0,,2022-09-01T19:00:00Z,,,,3,,,10,0,,0,0,,0,5,0,51985,,,,1,0,0.0,1,-7632,1831,9463,53,False,,0
3,0,0,0,1,Sub,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544180,0,0,0,0,0,0,0,0,,,,0,-2,0,,,0.0,,,331,,,39,,0,0,0.0,,0.0,,2022-08-27T11:30:00Z,,,,1,,,17,0,,0,0,,0,4,0,57783,,,,1,0,0.0,0,-10603,2659,13262,53,False,,1
4,0,0,0,1,Sub,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544180,0,0,0,0,0,0,0,0,,,,0,0,0,,,0.0,,,59,,,36,,0,0,0.0,,0.0,,2022-08-27T14:00:00Z,,,,0,,,12,0,,0,0,,0,4,0,2189,,,,0,9,0.0,0,-260,99,359,44,False,,0
5,0,0,0,18,Sub,Manchester United,Liverpool,2,1,2022-08-22,18231,2022,543827,0,0,0,0,0,0,0,0,,,,0,7,0,,,0.1,,,331,,,27,,1,0,0.7,,6.8,,2022-08-22T19:00:00Z,,,,19,,,12,0,,0,0,,0,3,0,65145,,,,1,2,0.0,1,-20961,2951,23912,54,True,,0
6,0,0,0,50,DMC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540814,0,0,0,0,0,0.10578494518995285,0.10578494518995285,0,,,,0,10,0,,,4.2,,,331,,,13,,4,0,1.2,,3.8,,2022-08-13T16:30:00Z,,,,45,,,4,0,,0,0,,0,2,0,82724,,,,0,4,4.0,1,-15682,5771,21453,55,False,,0
7,0,0,0,50,DMC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540814,0,0,0,0,0,0.10578494518995285,0.10578494518995285,0,,,,0,0,0,,,0.0,,,59,,,17,,0,0,0.0,,0.0,,2022-08-13T14:00:00Z,,,,0,,,13,0,,0,0,,0,2,0,2921,,,,0,4,0.0,0,-1010,56,1066,45,False,,0
8,0,1,0.018669476732611656,55,MC,Manchester United,Brighton,1,2,2022-08-07,18209,2022,539797,0,0,0,0,0.018669476732611656,0.08924306184053421,0.0705735832452774,0,,,,0,6,0,,,3.1,,,331,,,9,,2,0,0.5,,1.0,,2022-08-07T13:00:00Z,,,,52,,,5,0,,0,0,,0,1,0,83919,,,,2,1,1.0,1,0,0,0,55,True,,0
9,0,0,0,76,DMC,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537817,0.045415718108415604,0,1,0,0,0.11761227250099182,0.07219655811786652,0,,,,0,11,0,,,0.0,,,274,,,376,,1,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,74,,,7,0,,0,0,,0,38,0,77318,,,,0,1,0.0,2,-267,1181,1448,49,False,,0
10,0,0,0,76,DMC,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537817,0.045415718108415604,0,1,0,0,0.11761227250099182,0.07219655811786652,0,,,,0,0,0,,,0.0,,,521,,,373,,0,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,0,,,4,0,,0,0,,0,38,0,11283,,,,1,3,0.0,0,-56,0,56,40,False,,0
11,0,0,0,76,DMC,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537817,0.045415718108415604,0,1,0,0,0.11761227250099182,0.07219655811786652,0,,,,0,0,0,,,0.0,,,415,,,373,,0,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,0,,,4,0,,0,0,,0,38,0,8856,,,,1,3,0.0,0,36,103,67,44,False,,0
12,0,0,0,76,DMC,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537817,0.045415718108415604,0,1,0,0,0.11761227250099182,0.07219655811786652,0,,,,0,0,0,,,0.0,,,513,,,374,,0,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,0,,,5,0,,0,0,,0,38,0,23501,,,,2,1,0.0,0,-143,0,143,43,False,,0
13,0,0,0,42,Sub,Brighton,Manchester United,4,0,2022-05-07,16733,2021,534197,0,0,0,0,0,0.10252935439348221,0.10252935439348221,0,,,,0,12,0,,,2.4,,,274,,,353,,3,0,2.0,,11.6,,2022-05-07T16:30:00Z,,,,45,,,4,0,,0,0,,0,36,0,78977,,,,0,4,6.0,1,-2678,1040,3718,49,False,,0
14,0,0,0,18,Sub,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531700,0.019909022375941277,0,1,0,0,0.019909022375941277,0.019909022375941277,0,,,,0,4,0,,,10.8,,,274,,,344,,0,0,1.4,,3.2,,2022-05-02T19:00:00Z,,,,19,,,3,0,,0,0,,0,35,0,81644,,,,0,3,0.0,1,-6322,130,6452,49,True,,0
15,0,0,0,35,DMC,Everton,Manchester United,1,0,2022-04-09,16692,2021,524352,0,0,0,0,0,0.08104312419891357,0.08104312419891357,0,,,,0,3,0,,,2.3,,,274,,,314,,1,0,0.6,,2.0,,2022-04-09T11:30:00Z,,,,35,,,8,0,,0,0,,0,32,0,135242,,,,0,1,2.0,1,41949,44441,2492,49,False,,0
16,1,1,0.4554122984409332,90,DMC,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523017,0.13223375380039215,0,2,1,0.4554122984409332,0.7320075035095215,0.1443614363670349,0,,,,3,32,0,,,29.0,,,274,,,307,,1,1,9.4,,47.8,,2022-04-02T16:30:00Z,,,,90,,,9,0,,0,0,,0,31,0,91006,,,,1,1,17.0,10,4762,7266,2504,49,True,,0
17,0,0,0,90,DMC,Manchester United,Tottenham,3,2,2022-03-12,16663,2021,519508,0.12731051445007324,1,3,0,0,0.33252182602882385,0.3151843845844269,1,,,,1,29,0,,,33.3,,,274,,,288,,2,0,7.8,,44.4,,2022-03-12T17:30:00Z,,,,90,,,17,0,,0,0,,0,29,0,84787,,,,2,3,0.0,5,-2236,2815,5051,49,True,,1
18,0,1,0.13309994339942932,90,DMC,Manchester City,Manchester United,4,1,2022-03-06,16650,2021,518463,0,0,0,0,0.13309994339942932,0.13309994339942932,0,0,,,,0,10,0,,,1.6,,,274,,,275,,4,0,6.0,,21.6,,2022-03-06T16:30:00Z,,,,90,,,12,0,,0,0,,0,28,0,86159,,,,1,4,37.0,2,-3623,2313,5936,49,False,,0
19,0,1,0.014717782847583294,63,DMC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516052,0.014517678879201412,0,1,0,0.014717782847583294,0.655456006526947,0.6262205839157104,0,,,,0,14,1,,,18.8,,,274,,,268,,0,0,3.7,,16.8,,2022-02-26T15:00:00Z,,,,61,,,18,0,,0,0,,0,27,0,92550,,,,0,0,1.0,3,3500,6110,2610,49,True,,0
20,0,1,0.014717782847583294,63,DMC,Manchester United,Watford,0,0,2022-02-26,16643,2021,516052,0.014517678879201412,0,1,0,0.014717782847583294,0.655456006526947,0.6262205839157104,0,,,,0,0,0,,,0.0,,,513,,,262,,0,0,0.0,,0.0,,2022-02-26T15:00:00Z,,,,0,,,3,0,,0,0,,0,27,0,25791,,,,2,0,0.0,0,-449,0,449,43,False,,0
21,1,1,0.07445032149553299,17,Sub,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514704,0,0,0,1,0.07445032149553299,0.7782064080238342,0.7037560343742371,0,,,,0,24,0,,,4.0,,,274,,,255,,0,1,5.6,,35.4,,2022-02-20T14:00:00Z,,,,23,,,10,0,,0,0,,0,26,0,84873,,,,4,2,17.0,6,-6338,1684,8022,49,False,,0
22,0,1,0.017685024067759514,73,DMC,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513761,0.01844208687543869,0,1,0,0.017685024067759514,0.01844208687543869,0,0,,,,0,12,1,,,16.6,,,274,,,174,,0,0,4.0,,13.0,,2022-02-15T20:15:00Z,,,,72,,,4,0,,0,0,,0,25,0,91202,,,,0,2,10.0,3,-18865,485,19350,49,True,,0
23,0,1,0.046193573623895645,82,DMC,Manchester United,West Ham,1,0,2022-01-22,16603,2021,509732,0.04205584153532982,0,1,0,0.046193573623895645,0.24512407183647156,0.1989305019378662,0,,,,0,16,1,,,14.0,,,274,,,228,,0,0,4.6,,14.6,,2022-01-22T15:00:00Z,,,,81,,,19,0,,0,0,,0,23,0,125692,,,,0,1,17.0,3,-3982,6526,10508,49,True,,0
24,0,1,0.046193573623895645,82,DMC,Manchester United,West Ham,1,0,2022-01-22,16603,2021,509732,0.04205584153532982,0,1,0,0.046193573623895645,0.24512407183647156,0.1989305019378662,0,,,,0,0,0,,,0.0,,,521,,,228,,0,0,0.0,,0.0,,2022-01-22T15:00:00Z,,,,0,,,13,0,,0,0,,0,23,0,12102,,,,0,1,0.0,0,-136,0,136,40,False,,0
25,0,1,0.046193573623895645,82,DMC,Manchester United,West Ham,1,0,2022-01-22,16603,2021,509732,0.04205584153532982,0,1,0,0.046193573623895645,0.24512407183647156,0.1989305019378662,0,,,,0,3,0,,,0.1,,,415,,,228,,1,0,0.2,,1.4,,2022-01-22T15:00:00Z,,,,20,,,13,0,,0,0,,0,23,0,8021,,,,0,1,0.0,1,-9,88,97,44,False,,0
26,0,1,0.046193573623895645,82,DMC,Manchester United,West Ham,1,0,2022-01-22,16603,2021,509732,0.04205584153532982,0,1,0,0.046193573623895645,0.24512407183647156,0.1989305019378662,0,,,,0,0,0,,,0.0,,,513,,,226,,0,0,0.0,,0.0,,2022-01-22T15:00:00Z,,,,0,,,10,0,,0,0,,0,23,0,28408,,,,1,0,0.0,0,-438,156,594,43,False,,0
