,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,15,Sub,Manchester United,Crystal Palace,4,0,2017-09-30,7180,2017,178129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,61,0,0,0,0.0,3388,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,7,0,2870,0,0,0,0,0,0.0,0,-63,42,105,44,False,0,0
1,,,,,,,,,,2017-08-11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,1,0,0,0,0.0,190,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2368,0,0,0,3,4,0.0,0,0,0,0,45,False,0,0
2,,,,,,,,,,2017-08-19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,13,0,0,0,0.0,701,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2856,0,0,0,0,2,0.0,0,-164,59,223,45,True,0,0
3,,,,,,,,,,2017-08-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,25,0,0,0,0.0,1217,0.0,0,2017-08-26T16:30:00Z,26 Aug 17:30,0,0,0,0,0,12,0,0,0,0,0,0,3,0,2852,0,0,0,0,2,0.0,0,-169,50,219,45,False,0,0
4,,,,,,,,,,2017-09-09,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,34,0,0,0,0.0,1748,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,5,0,0,0,0,0,0,4,0,2872,0,0,0,2,1,0.0,0,-128,58,186,45,True,0,0
5,,,,,,,,,,2017-09-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,43,0,0,0,0.0,2292,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,8,0,0,0,0,0,0,5,0,2894,0,0,0,1,1,0.0,0,-66,36,102,45,False,0,0
6,,,,,,,,,,2017-09-23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,53,0,0,0,0.0,2838,0.0,0,2017-09-23T16:30:00Z,23 Sep 17:30,0,0,0,0,0,10,0,0,0,0,0,0,6,0,2867,0,0,0,3,2,0.0,0,-109,45,154,45,True,0,0
7,,,,,,,,,,2017-10-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,74,0,0,0,0.0,3942,0.0,0,2017-10-16T19:00:00Z,16 Oct 20:00,0,0,0,0,0,19,0,0,0,0,0,0,8,0,2883,0,0,0,1,1,0.0,0,-60,44,104,44,True,0,0
8,,,,,,,,,,2017-10-21,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,88,0,0,0,0.0,4499,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,9,0,2884,0,0,0,2,1,0.0,0,-25,25,50,44,False,0,0
9,,,,,,,,,,2017-10-29,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,96,0,0,0,0.0,5058,0.0,0,2017-10-29T16:00:00Z,29 Oct 16:00,0,0,0,0,0,7,0,0,0,0,0,0,10,0,2849,0,0,0,0,2,0.0,0,-65,24,89,44,True,0,0
10,,,,,,,,,,2017-11-04,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,106,0,0,0,0.0,5621,0.0,0,2017-11-04T12:30:00Z,04 Nov 12:30,0,0,0,0,0,15,0,0,0,0,0,0,11,0,2867,0,0,0,2,2,0.0,0,-22,21,43,44,False,0,0
11,,,,,,,,,,2017-11-18,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,116,0,0,0,0.0,6187,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,11,0,0,0,0,0,0,12,0,2865,0,0,0,2,0,0.0,0,-41,24,65,44,True,0,0
12,,,,,,,,,,2017-11-24,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,129,0,0,0,0.0,6756,0.0,0,2017-11-24T20:00:00Z,24 Nov 20:00,0,0,0,0,0,20,0,0,0,0,0,0,13,0,2899,0,0,0,1,1,0.0,0,-20,27,47,44,False,0,0
13,,,,,,,,,,2017-11-28,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,132,0,0,0,0.0,7326,0.0,0,2017-11-28T19:45:00Z,28 Nov 19:45,0,0,0,0,0,17,0,0,0,0,0,0,14,0,2909,0,0,0,1,2,0.0,0,-29,11,40,44,True,0,0
14,,,,,,,,,,2017-12-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,146,0,0,0,0.0,7897,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,4,0,0,0,0,0,0,15,0,2942,0,0,0,0,1,0.0,0,-15,20,35,44,True,0,0
15,,,,,,,,,,2017-12-09,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,156,0,0,0,0.0,8471,0.0,0,2017-12-09T17:30:00Z,09 Dec 17:30,0,0,0,0,0,13,0,0,0,0,0,0,16,0,2975,0,0,0,3,2,0.0,0,-43,24,67,44,False,0,0
16,,,,,,,,,,2017-12-13,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,168,0,0,0,0.0,9048,0.0,0,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,0,0,0,14,0,0,0,0,0,0,17,0,3021,0,0,0,4,1,0.0,0,-9,27,36,44,False,0,0
17,,,,,,,,,,2017-12-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,176,0,0,0,0.0,9626,0.0,0,2017-12-16T12:30:00Z,16 Dec 12:30,0,0,0,0,0,6,0,0,0,0,0,0,18,0,3034,0,0,0,3,0,0.0,0,-31,21,52,44,True,0,0
18,,,,,,,,,,2017-12-23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,185,0,0,0,0.0,10206,0.0,0,2017-12-23T19:45:00Z,23 Dec 19:45,0,0,0,0,0,12,0,0,0,0,0,0,19,0,3054,0,0,0,2,2,0.0,0,-41,21,62,44,True,0,0
19,,,,,,,,,,2017-12-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,199,0,0,0,0.0,10791,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,20,0,3082,0,0,0,1,2,0.0,0,-24,13,37,44,False,0,0
20,,,,,,,,,,2017-12-30,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,205,0,0,0,0.0,11377,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,21,0,3104,0,0,0,1,2,0.0,0,-22,38,60,44,False,0,0
21,,,,,,,,,,2018-01-01,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,215,0,0,0,0.0,11903,0.0,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,0,0,0,8,0,0,0,0,0,0,22,0,3122,0,0,0,0,3,0.0,0,-5,45,50,44,True,0,0
22,,,,,,,,,,2018-01-13,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,222,0,0,0,0.0,12555,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,5,0,0,0,0,0,0,23,0,3191,0,0,0,0,0,0.0,0,-26,40,66,44,False,0,0
23,,,,,,,,,,2018-01-20,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,235,0,0,0,0.0,13153,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,18,0,0,0,0,0,0,24,0,3229,0,0,0,0,2,0.0,0,-19,32,51,44,True,0,0
24,,,,,,,,,,2018-01-31,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,245,0,0,0,0.0,13756,0.0,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,7,0,0,0,0,0,0,25,0,3295,0,0,0,1,2,0.0,0,-15,42,57,44,False,0,0
25,,,,,,,,,,2018-02-03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,256,0,0,0,0.0,14369,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,16,0,0,0,0,0,0,26,0,3313,0,0,0,1,1,0.0,0,-10,26,36,44,True,0,0
26,,,,,,,,,,2018-02-10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,264,0,0,0,0.0,14994,0.0,0,2018-02-10T17:30:00Z,10 Feb 17:30,0,0,0,0,0,11,0,0,0,0,0,0,27,0,3360,0,0,0,1,5,0.0,0,-14,29,43,44,False,0,0
27,,,,,,,,,,2018-02-24,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,276,0,0,0,0.0,15621,0.0,0,2018-02-24T12:30:00Z,24 Feb 12:30,0,0,0,0,0,15,0,0,0,0,0,0,28,0,3425,0,0,0,1,1,0.0,0,-12,20,32,43,True,0,0
28,,,,,,,,,,2018-03-03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,284,0,0,0,0.0,16251,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,2,0,0,0,0,0,0,29,0,3435,0,0,0,1,1,0.0,0,-3,14,17,43,True,0,0
29,,,,,,,,,,2018-03-10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,299,0,0,0,0.0,16884,0.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,0,0,0,19,0,0,0,0,0,0,30,0,3550,0,0,0,4,1,0.0,0,-11,16,27,43,False,0,0
30,,,,,,,,,,2018-03-31,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,312,0,0,0,0.0,17785,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,32,0,3573,0,0,0,2,0,0.0,0,3,29,26,43,False,0,0
31,,,,,,,,,,2018-04-07,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,326,0,0,0,0.0,18422,0.0,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,0,0,0,13,0,0,0,0,0,0,33,0,3570,0,0,0,2,1,0.0,0,-11,17,28,43,True,0,0
32,,,,,,,,,,2018-04-14,,,,,,,,,,,0,3,0,0,0,3,0,0,1,0.0,0,0,190,0,0,331,0,0,0,0.0,19151,0.2,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,4,0,0,4,0,0,0,0,2,0,34,0,3572,0,0,0,1,2,0.0,1,-7,16,23,43,False,0,0
33,,,,,,,,,,2018-04-19,,,,,,,,,,,0,21,0,0,0,24,1,1,11,0.0,0,0,190,0,0,346,0,0,0,1.5,19152,15.2,0,2018-04-19T18:45:00Z,19 Apr 19:45,0,0,90,0,0,14,0,0,0,0,8,0,34,2,3572,0,0,0,0,0,0.0,6,-7,16,23,43,True,0,0
34,,,,,,,,,,2018-04-28,,,,,,,,,,,0,20,0,0,0,15,0,2,12,0.0,0,0,190,0,0,352,0,5,0,2.4,20347,24.4,0,2018-04-28T14:00:00Z,28 Apr 15:00,0,0,90,0,0,6,0,0,0,0,8,0,36,3,5119,0,0,0,0,5,0.0,1,1347,1539,192,43,False,0,0
35,,,,,,,,,,2018-05-05,,,,,,,,,,,0,26,0,0,0,12,0,2,16,0.0,0,0,190,0,0,366,0,2,0,1.2,21084,12.0,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,90,0,0,20,0,0,0,0,11,0,37,1,7816,0,0,0,2,0,0.0,1,2357,2691,334,43,True,0,0
36,,,,,,,,,,2018-05-09,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,304,0,0,0,0.0,21083,0.0,0,2018-05-09T18:45:00Z,09 May 19:45,0,0,0,0,0,1,0,0,0,0,0,0,37,0,7816,0,0,0,1,3,0.0,0,2357,2691,334,43,True,0,0
37,,,,,,,,,,2018-05-13,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,379,0,0,0,0.0,22011,0.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,17,0,0,0,0,0,0,38,0,7162,0,0,0,4,5,0.0,0,-397,150,547,43,False,0,0
38,,,,,,,,,,2016-09-17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,44,0,0,0,0.0,2779,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0.0,0,0,0,0,45,True,0,0
39,,,,,,,,,,2016-09-24,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,54,0,0,0,0.0,3363,0.0,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,0,0,0,11,0,0,0,0,0,0,6,0,106,0,0,0,1,4,0.0,0,24,29,5,45,False,0,0
40,,,,,,,,,,2016-10-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,64,0,0,0,0.0,3949,0.0,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,0,0,0,13,0,0,0,0,0,0,7,0,194,0,0,0,0,0,0.0,0,17,33,16,45,True,0,0
41,,,,,,,,,,2016-10-15,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,73,0,0,0,0.0,4538,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,0,0,0,4,0,0,0,0,0,0,8,0,289,0,0,0,0,3,0.0,0,0,20,20,45,False,0,0
42,,,,,,,,,,2016-10-22,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,86,0,0,0,0.0,5130,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,5,0,0,0,0,0,0,9,0,332,0,0,0,1,3,0.0,0,-2,11,13,45,True,0,0
43,,,,,,,,,,2016-10-29,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,98,0,0,0,0.0,5724,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,17,0,0,0,0,0,0,10,0,359,0,0,0,1,1,0.0,0,-12,7,19,45,False,0,0
44,,,,,,,,,,2016-11-06,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,106,0,0,0,0.0,6322,0.0,0,2016-11-06T16:30:00Z,06 Nov 16:30,0,0,0,0,0,19,0,0,0,0,0,0,11,0,427,0,0,0,2,1,0.0,0,29,60,31,45,True,0,0
45,,,,,,,,,,2016-11-19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,119,0,0,0,0.0,6921,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,18,0,0,0,0,0,0,12,0,471,0,0,0,1,2,0.0,0,-10,27,37,45,False,0,0
46,,,,,,,,,,2016-11-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,125,0,0,0,0.0,7522,0.0,0,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,0,0,0,12,0,0,0,0,0,0,13,0,484,0,0,0,2,2,0.0,0,-17,16,33,45,True,0,0
47,,,,,,,,,,2016-12-03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,137,0,0,0,0.0,8126,0.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,14,0,497,0,0,0,1,2,0.0,0,-11,13,24,45,False,0,0
48,,,,,,,,,,2016-12-10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,583,0,0,145,0,0,0,0.0,8731,0.0,0,2016-12-10T17:30:00Z,10 Dec 17:30,0,0,0,0,0,10,0,0,0,0,0,0,15,0,515,0,0,0,2,4,0.0,0,-10,11,21,44,True,0,0
