,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.03951306641101837,71,MC,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219185,0,0,0,0,0.03951306641101837,0.03951306641101837,0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,2.0,17.0,0.6,0.0,0.0,151.0,0.0,0.0,280.0,1.0,2.0,0.0,1.3,15582.0,5.6,0.0,2018-02-24T15:00:00Z,24 Feb 15:00,0.0,0.0,68.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0,0.0,52370.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,-243.0,1121.0,1364.0,45.0,True,0.0,0.0
1,0,0,0,84,MC,Chelsea,West Bromwich Albion,3,0,2018-02-12,7379,2017,215070,0,0,0,0,0,0,0,0.0,43.0,0.0,0.0,0.0,11.0,0.0,2.0,36.0,6.5,0.0,0.0,151.0,0.0,0.0,261.0,1.0,3.0,0.0,1.4,14955.0,7.0,0.0,2018-02-12T20:00:00Z,12 Feb 20:00,0.0,0.0,79.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,52405.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-993.0,888.0,1881.0,45.0,False,0.0,0.0
2,0,0,0,90,MC,West Bromwich Albion,Southampton,2,3,2018-02-03,7378,2017,215028,0,0,0,0,0,0.1152157112956047,0.1152157112956047,0.0,42.0,0.0,0.0,0.0,4.0,0.0,3.0,31.0,3.3,0.0,0.0,151.0,0.0,0.0,260.0,3.0,3.0,0.0,1.2,14330.0,6.6,0.0,2018-02-03T15:00:00Z,03 Feb 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0,0.0,53282.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,261.0,1504.0,1243.0,45.0,True,0.0,1.0
3,0,0,0,58,Sub,Manchester City,West Bromwich Albion,3,0,2018-01-31,7366,2017,215540,0.020414136350154877,0,1,0,0,0.09964626282453537,0.09964626282453537,0.0,30.0,0.0,0.0,0.0,8.0,0.0,2.0,22.0,11.8,0.0,0.0,151.0,0.0,0.0,246.0,1.0,2.0,0.0,2.3,13717.0,9.2,1.0,2018-01-31T20:00:00Z,31 Jan 20:00,0.0,0.0,57.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0,0.0,52905.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,-23.0,1638.0,1661.0,45.0,False,0.0,0.0
4,0,0,0,90,MC,Everton,West Bromwich Albion,1,1,2018-01-20,7352,2017,209217,0.01228296384215355,0,1,0,0,0.01228296384215355,0,0.0,35.0,0.0,0.0,0.0,10.0,0.0,4.0,19.0,11.8,1.0,0.0,151.0,0.0,0.0,234.0,2.0,1.0,0.0,2.2,13114.0,10.2,1.0,2018-01-20T15:00:00Z,20 Jan 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,0.0,52759.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,-733.0,1192.0,1925.0,45.0,False,0.0,0.0
5,0,1,0.01742546446621418,90,MC,West Bromwich Albion,Brighton,2,0,2018-01-13,7348,2017,207768,0.20862089097499847,0,1,0,0.01742546446621418,0.2381819188594818,0.029561029747128487,0.0,42.0,1.0,0.0,0.0,15.0,1.0,1.0,33.0,11.5,2.0,0.0,151.0,0.0,0.0,230.0,3.0,0.0,0.0,3.1,12516.0,11.0,1.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,53362.0,0.0,1.0,0.0,0.0,2.0,8.0,3.0,-1782.0,1214.0,2996.0,45.0,True,0.0,0.0
6,0,0,0,5,Sub,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206543,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,1.2,1.0,0.0,151.0,0.0,0.0,220.0,0.0,1.0,0.0,0.5,11864.0,3.8,0.0,2018-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,7.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,54976.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,-903.0,1139.0,2042.0,45.0,False,0.0,0.0
7,0,0,0,90,MC,West Bromwich Albion,Arsenal,1,1,2017-12-31,7328,2017,206359,0.018013104796409607,0,1,0,0,0.018013104796409607,0.018013104796409607,0.0,43.0,0.0,0.0,0.0,20.0,0.0,4.0,35.0,16.5,0.0,0.0,151.0,0.0,0.0,210.0,2.0,1.0,0.0,3.1,11338.0,14.4,1.0,2017-12-31T16:30:00Z,31 Dec 16:30,0.0,0.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,21.0,0.0,55826.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,-1134.0,1211.0,2345.0,45.0,True,0.0,0.0
8,0,2,0.10898260772228241,90,MC,West Bromwich Albion,Everton,0,0,2017-12-26,7318,2017,205723,0.04223891720175743,0,1,0,0.10898260772228241,0.047048360109329224,0.033877719193696976,0.0,52.0,0.0,0.0,0.0,6.0,1.0,2.0,39.0,17.2,1.0,0.0,151.0,0.0,0.0,200.0,3.0,0.0,0.0,4.5,10752.0,12.6,1.0,2017-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,0.0,56813.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,-586.0,843.0,1429.0,45.0,True,0.0,1.0
9,0,1,0.044415395706892014,90,MC,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205461,0.5085971355438232,0,1,0,0.044415395706892014,0.8522960543632507,0.8522960543632507,0.0,59.0,1.0,0.0,0.0,17.0,0.0,0.0,49.0,18.4,0.0,0.0,151.0,0.0,0.0,188.0,0.0,3.0,0.0,4.9,10167.0,8.6,1.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,0.0,57289.0,1.0,1.0,0.0,1.0,3.0,22.0,2.0,-139.0,1759.0,1898.0,45.0,False,0.0,0.0
