,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.3470202088356018,90,DC,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473381,0,0,0,0,0.3470202088356018,0,0,0.0,,,,0.0,5.0,0.0,,,0.1,,,125.0,,,374.0,,2.0,0.0,3.0,,12.4,,2021-05-23T15:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,38.0,0.0,18960.0,,,,0.0,2.0,17.0,1.0,-442.0,572.0,1014.0,45.0,False,,0.0
1,0,1,0.024372870102524757,90,DC,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472518,0.08334778249263763,0,1,0,0.024372870102524757,0.08334778249263763,0,0.0,,,,0.0,11.0,0.0,,,10.2,,,125.0,,,362.0,,3.0,0.0,3.3,,16.8,,2021-05-19T18:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,37.0,0.0,19356.0,,,,3.0,1.0,6.0,1.0,-412.0,609.0,1021.0,45.0,True,,0.0
2,0,2,0.05001416802406311,90,DC,Crystal Palace,Aston Villa,3,2,2021-05-16,14794,2020,471328,0.08732582628726959,0,3,0,0.05001416802406311,0.06669203191995621,0.050966013222932816,0.0,,,,0.0,13.0,0.0,,,30.9,,,125.0,,,355.0,,2.0,0.0,7.8,,20.6,,2021-05-16T11:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,36.0,0.0,20137.0,,,,2.0,3.0,26.0,1.0,2516.0,3341.0,825.0,45.0,True,,0.0
3,0,3,0.08579418063163757,90,DC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468705,0.15099887549877167,1,1,0,0.08579418063163757,0.6232745051383972,0.47227561473846436,1.0,,,,2.0,31.0,1.0,,,10.5,,,125.0,,,346.0,,0.0,0.0,7.8,,40.2,,2021-05-08T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,35.0,0.0,17254.0,,,,2.0,0.0,27.0,11.0,1974.0,2598.0,624.0,45.0,False,,0.0
4,0,0,0,90,DC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461395,0,0,0,0,0,0,0,0.0,,,,0.0,21.0,0.0,,,0.1,,,125.0,,,301.0,,4.0,0.0,3.6,,35.4,,2021-04-10T16:30:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,31.0,0.0,16331.0,,,,4.0,1.0,0.0,0.0,622.0,1110.0,488.0,45.0,True,,0.0
5,0,0,0,90,DC,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460628,0,0,0,0,0,0.13162095844745636,0.13162095844745636,0.0,,,,0.0,13.0,0.0,,,0.6,,,125.0,,,292.0,,1.0,0.0,1.5,,12.0,,2021-04-05T17:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,30.0,0.0,15599.0,,,,1.0,1.0,2.0,2.0,96.0,666.0,570.0,45.0,False,,0.0
6,0,0,0,90,DC,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456337,0,0,0,0,0,0,0,0.0,,,,0.0,21.0,1.0,,,0.1,,,125.0,,,270.0,,0.0,0.0,1.8,,15.8,,2021-03-13T15:00:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,28.0,0.0,16302.0,,,,0.0,1.0,2.0,5.0,1810.0,2767.0,957.0,45.0,True,,1.0
7,0,0,0,90,DC,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455412,0,0,0,0,0,0.3501359522342682,0.3501359522342682,0.0,,,,0.0,9.0,0.0,,,0.4,,,125.0,,,266.0,,4.0,0.0,0.8,,5.8,,2021-03-07T19:15:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,27.0,0.0,14246.0,,,,1.0,4.0,2.0,-1.0,1164.0,1767.0,603.0,45.0,False,,1.0
8,0,0,0,90,DC,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454141,0,0,0,0,0,0,0,0.0,,,,2.0,25.0,1.0,,,0.6,,,125.0,,,281.0,,0.0,0.0,1.5,,14.2,,2021-03-03T20:15:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,26.0,0.0,12854.0,,,,0.0,0.0,0.0,8.0,502.0,1431.0,929.0,45.0,True,,0.0
9,0,1,0.019834645092487335,90,DC,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452672,0,0,0,0,0.019834645092487335,0,0,0.0,,,,2.0,27.0,1.0,,,0.2,,,125.0,,,250.0,,0.0,0.0,3.5,,17.0,,2021-02-28T12:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,26.0,0.0,12854.0,,,,0.0,0.0,18.0,8.0,502.0,1431.0,929.0,45.0,True,,0.0
10,0,0,0,90,DC,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451704,0,0,0,0,0,0,0,0.0,,,,0.0,18.0,0.0,,,0.0,,,125.0,,,241.0,,1.0,0.0,3.5,,34.8,,2021-02-22T20:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,25.0,0.0,12043.0,,,,2.0,1.0,0.0,2.0,-685.0,731.0,1416.0,45.0,False,,0.0
11,0,1,0.02013305202126503,90,DC,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448687,0,0,0,0,0.02013305202126503,0,0,0.0,,,,0.0,4.0,0.0,,,0.4,,,125.0,,,222.0,,2.0,0.0,2.3,,18.2,,2021-02-08T20:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,23.0,0.0,10742.0,,,,0.0,2.0,4.0,0.0,1925.0,2289.0,364.0,45.0,False,,1.0
