,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,82,FW,Real Sociedad,Villarreal,1,0,2022-10-09,19038,2022,555193,0,0,0,0,0,0.060039766132831573,0.060039766132831573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,4,0.6062335968017578,86,MR,Cadiz,Villarreal,0,0,2022-10-01,19023,2022,552042,0,0,0,0,0.6062335968017578,0.7827202677726746,0.17648667097091675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.011087143793702126,30,FW,Villarreal,Sevilla,1,1,2022-09-18,19019,2022,551513,0,0,0,0,0.011087143793702126,0.011087143793702126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,4,0.5198240280151367,90,ML,Real Betis,Villarreal,1,0,2022-09-11,19003,2022,550105,0.022299975156784058,0,1,0,0.5198240280151367,0.7876898050308228,0.3209775388240814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,0.2829078137874603,83,ML,Villarreal,Elche,4,0,2022-09-04,18997,2022,548190,0,0,0,1,0.2829078137874603,0.35911697149276733,0.07620913535356522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.02561316080391407,71,ML,Getafe,Villarreal,0,0,2022-08-28,18987,2022,545471,0.05442703515291214,0,2,0,0.02561316080391407,0.18010252714157104,0.10006234049797058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.022060703486204147,73,ML,Atletico Madrid,Villarreal,0,2,2022-08-21,18978,2022,543472,0.05029638856649399,0,1,0,0.022060703486204147,0.07235708832740784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,FW,Barcelona,Villarreal,0,2,2022-05-22,17507,2021,538247,0,0,0,0,0,0.21900208294391632,0.21900208294391632,0.0,0.0,0.0,0.0,0.0,372.0,380.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,38.0,0.0,8714.0,5.0,0.0,0.0,0.0,-24.0,0.0,24.0,59.0,False,0.0
8,0,1,0.08006617426872253,90,FW,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536600,0.5109544992446899,0,1,0,0.08006617426872253,0.6654847860336304,0.07446413487195969,0.0,0.0,0.0,0.0,0.0,372.0,367.0,0.0,0.0,0.0,0.0,2022-05-15T11:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,8736.0,0.0,1.0,0.0,0.0,-29.0,0.0,29.0,59.0,True,0.0
9,0,0,0,48,FWR,Rayo Vallecano,Villarreal,1,5,2022-05-12,17494,2021,535000,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,372.0,218.0,0.0,0.0,0.0,0.0,2022-05-12T18:45:00Z,0.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,8767.0,0.0,3.0,0.0,0.0,-24.0,0.0,24.0,59.0,True,0.0
