,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.09616385400295258,28,Sub,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473334,0.07163763046264648,0,1,0,0.09616385400295258,0.16780148446559906,0,0,,,,0,7,0,,,11.1,,,446,,,372,,1,0,2.5,,5.6,,2021-05-23T15:00:00Z,,,,29,,,10,0,,0,0,,0,38,0,13381,,,,1,3,8.0,1,24,105,81,50,False,,0
1,0,1,0.020731212571263313,18,Sub,West Bromwich Albion,West Ham,1,3,2021-05-19,14804,2020,472580,0,0,0,0,0.020731212571263313,0.020731212571263313,0,0,,,,0,0,0,,,2.2,,,446,,,368,,2,0,0.3,,0.0,,2021-05-19T19:15:00Z,,,,21,,,19,0,,0,0,,0,37,0,13341,,,,3,1,1.0,1,21,57,36,50,True,,0
2,0,0,0,78,ML,West Bromwich Albion,Liverpool,1,2,2021-05-16,14789,2020,471479,0,0,0,0,0,0,0,0,,,,0,7,0,,,0.5,,,446,,,353,,1,0,1.3,,10.2,,2021-05-16T15:30:00Z,,,,72,,,11,0,,0,0,,0,36,0,13311,,,,2,1,2.0,2,-15,47,62,50,True,,0
3,0,0,0,21,Sub,Arsenal,West Bromwich Albion,3,1,2021-05-09,14775,2020,469656,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,446,,,339,,1,0,0.1,,1.2,,2021-05-09T18:00:00Z,,,,22,,,1,0,,0,0,,0,35,0,13314,,,,1,3,0.0,1,-22,66,88,50,False,,0
4,0,0,0,14,Sub,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452268,0,0,0,0,0,0,0,0,,,,0,1,0,,,0.0,,,446,,,258,,0,0,0.0,,0.0,,2021-02-27T15:00:00Z,,,,18,,,3,0,,0,0,,0,26,0,13571,,,,0,1,0.0,1,-196,121,317,50,True,,0
5,0,0,0,48,ML,West Bromwich Albion,Arsenal,0,4,2021-01-02,14600,2020,439287,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.5,,,446,,,168,,2,0,0.2,,0.0,,2021-01-02T20:00:00Z,,,,45,,,1,0,,0,0,,0,17,0,17603,,,,4,0,2.0,1,-677,191,868,51,True,,0
6,0,1,0.3641103506088257,75,ML,West Bromwich Albion,Leeds,0,5,2020-12-29,14590,2020,438466,0,0,0,0,0.3641103506088257,0.3641103506088257,0,0,,,,0,4,0,,,2.1,,,446,,,158,,5,0,2.8,,6.6,,2020-12-29T18:00:00Z,,,,72,,,10,0,,0,0,,0,16,0,18253,,,,5,0,19.0,2,-398,244,642,52,True,,0
7,0,1,0.048126064240932465,90,ML,Liverpool,West Bromwich Albion,1,1,2020-12-27,14580,2020,438289,0,0,0,0,0.048126064240932465,0.048126064240932465,0,0,,,,0,6,0,,,1.1,,,446,,,144,,1,0,1.6,,11.0,,2020-12-27T16:30:00Z,,,,90,,,11,0,,0,0,,0,15,0,18579,,,,1,1,4.0,2,-1037,156,1193,52,False,,0
8,0,0,0,80,ML,West Bromwich Albion,Aston Villa,0,3,2020-12-20,14574,2020,436972,0,0,0,0,0,0,0,0,,,,0,9,0,,,2.3,,,446,,,138,,1,0,0.7,,4.2,,2020-12-20T19:15:00Z,,,,77,,,2,0,,0,0,,0,14,0,19605,,,,3,0,0.0,2,-878,242,1120,52,True,,0
9,0,0,0,90,ML,Manchester City,West Bromwich Albion,1,1,2020-12-15,14564,2020,434461,0,0,0,0,0,0.020235497504472733,0.020235497504472733,0,,,,0,10,0,,,1.6,,,446,,,128,,1,0,2.3,,21.6,,2020-12-15T20:00:00Z,,,,90,,,12,0,,0,0,,0,13,0,20425,,,,1,1,0.0,2,-1378,309,1687,52,False,,0
10,0,0,0,48,FW,West Bromwich Albion,Crystal Palace,1,5,2020-12-06,14543,2020,431730,0,0,0,0,0,0.10545039176940918,0.10545039176940918,0,,,,0,1,0,,,6.1,,,446,,,107,,1,0,1.1,,4.6,,2020-12-06T12:00:00Z,,,,45,,,6,0,,0,0,,0,11,0,23367,,,,5,1,0.0,1,-3278,338,3616,53,True,,0
11,0,1,0.04263712838292122,63,ML,Manchester United,West Bromwich Albion,1,0,2020-11-21,14520,2020,428288,0,0,0,0,0.04263712838292122,0.06406554579734802,0.021428415551781654,0,,,,0,10,0,,,2.9,,,446,,,84,,1,0,2.9,,7.6,,2020-11-21T20:00:00Z,,,,61,,,13,0,,0,0,,0,9,0,27607,,,,0,1,18.0,2,-5035,484,5519,54,False,,0
12,0,0,0,22,Sub,West Bromwich Albion,Tottenham,0,1,2020-11-08,14513,2020,426732,0,0,0,0,0,0,0,0,,,,0,0,0,,,0.7,,,446,,,77,,1,0,0.2,,0.0,,2020-11-08T12:00:00Z,,,,23,,,17,0,,0,0,,0,8,0,32568,,,,1,0,2.0,1,-6551,323,6874,55,True,,0
13,0,2,0.07241334021091461,90,ML,Fulham,West Bromwich Albion,2,0,2020-11-02,14497,2020,425651,0,0,0,0,0.07241334021091461,0.07241334021091461,0,0,,,,0,5,0,,,2.7,,,446,,,61,,2,0,3.5,,10.4,,2020-11-02T17:30:00Z,,,,90,,,8,0,,0,0,,0,7,0,39147,,,,0,2,22.0,2,-3967,1297,5264,55,False,,0
14,0,0,0,64,ML,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423981,0.025740427896380424,0,1,0,0,0.04773491621017456,0.021994486451148987,0,,,,0,3,0,,,14.2,,,446,,,51,,1,0,2.2,,6.0,,2020-10-26T17:30:00Z,,,,62,,,3,0,,0,0,,0,6,0,42658,,,,1,1,2.0,2,-5674,1260,6934,55,False,,0
15,0,1,0.04332561790943146,90,ML,West Bromwich Albion,Burnley,0,0,2020-10-19,14484,2020,422353,0.027302639558911324,0,1,0,0.04332561790943146,0.16549944877624512,0.16549944877624512,0,,,,0,4,1,,,15.8,,,446,,,48,,0,0,4.1,,6.0,,2020-10-19T16:30:00Z,,,,90,,,4,0,,0,0,,0,5,0,48038,,,,0,0,19.0,3,-6729,3995,10724,55,True,,0
16,0,1,0.040861185640096664,90,AML,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419975,0,0,0,0,0.040861185640096664,0,0,0,,,,0,6,0,,,1.9,,,446,,,37,,2,0,1.8,,10.0,,2020-10-04T11:00:00Z,,,,90,,,16,0,,0,0,,0,4,0,54990,,,,0,2,6.0,2,8349,15433,7084,55,False,,0
17,0,2,0.140981525182724,76,ML,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417593,0.01959310844540596,0,1,0,0.140981525182724,0.16057464480400085,0,0,,,,0,5,0,,,20.2,,,446,,,27,,2,0,4.4,,12.0,,2020-09-26T16:30:00Z,,,,73,,,5,0,,0,0,,0,3,0,45313,,,,3,3,12.0,2,8010,16876,8866,55,True,,0
18,1,2,0.08824430406093597,74,ML,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415592,0,0,0,1,0.08824430406093597,0.19807426631450653,0.10982996970415115,0,,,,0,26,0,,,3.6,,,446,,,12,,5,1,8.7,,47.6,,2020-09-19T11:30:00Z,,,,70,,,7,0,,0,0,,0,2,0,34399,,,,2,5,36.0,7,-4989,1716,6705,55,False,,0
19,0,1,0.1402267962694168,90,ML,West Bromwich Albion,Leicester,0,3,2020-09-13,14092,2020,414985,0.017775053158402443,0,1,0,0.1402267962694168,0.1944541186094284,0.17667905986309052,0,,,,0,3,0,,,12.8,,,446,,,5,,3,0,2.7,,4.8,,2020-09-13T13:00:00Z,,,,90,,,9,0,,0,0,,0,1,0,37744,,,,3,0,9.0,2,0,0,0,55,True,,0
20,0,2,0.05295662209391594,69,AMR,West Ham,Southampton,3,0,2019-05-04,9558,2018,330238,0,0,0,0,0.05295662209391594,0.05295662209391594,0,0,24.0,0.0,0.0,0,8,1,1.0,18.0,2.6,3.0,0.0,539,0.0,0.0,369,0.0,0,0,1.8,21090.0,2.2,0.0,2019-05-04T14:00:00Z,04 May 15:00,0.0,0.0,67,0.0,0.0,16,0,0.0,0,0,6.0,0,37,0,1795,2.0,0.0,1.0,0,3,13.0,3,-23,12,35,45,True,0.0,0
21,0,1,0.06704171001911163,27,Sub,Manchester United,West Ham,2,1,2019-04-13,9530,2018,324422,0.40718844532966614,0,1,0,0.06704171001911163,0.4742301404476166,0.06704171001911163,0,8.0,1.0,0.0,0,6,0,0.0,8.0,15.6,1.0,0.0,539,0.0,0.0,337,0.0,1,0,4.3,18999.0,5.6,1.0,2019-04-13T16:30:00Z,13 Apr 17:30,0.0,0.0,28,0.0,1.0,14,0,0.0,0,0,3.0,0,34,0,1914,4.0,0.0,0.0,1,2,22.0,1,-236,10,246,45,False,0.0,0
22,0,0,0,22,Sub,West Ham,Everton,0,2,2019-03-30,9508,2018,318090,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0,3,0,1.0,2.0,0.2,0.0,0.0,539,0.0,0.0,320,0.0,0,0,0.4,17935.0,4.2,0.0,2019-03-30T17:30:00Z,30 Mar 17:30,0.0,0.0,23,0.0,0.0,8,0,0.0,0,0,1.0,0,32,0,2086,2.0,1.0,0.0,2,0,0.0,1,-175,17,192,45,True,0.0,0
23,0,0,0,13,Sub,Manchester City,West Ham,1,0,2019-02-27,9475,2018,305124,0,0,0,0,0,0.03181033581495285,0.03181033581495285,0,4.0,0.0,0.0,0,4,0,0.0,4.0,0.8,1.0,0.0,539,0.0,0.0,278,0.0,0,0,0.2,15544.0,1.2,0.0,2019-02-27T20:00:00Z,27 Feb 20:00,0.0,0.0,14,0.0,0.0,13,0,0.0,0,0,0.0,0,28,0,2887,0.0,0.0,0.0,0,1,0.0,1,-226,8,234,45,False,0.0,0
24,0,0,0,10,Sub,Bournemouth,West Ham,2,0,2019-01-19,9425,2018,303671,0,0,0,0,0,0,0,0,8.0,0.0,0.0,0,2,0,0.0,8.0,2.0,0.0,0.0,539,0.0,0.0,222,1.0,1,0,0.1,12644.0,0.0,0.0,2019-01-19T15:00:00Z,19 Jan 15:00,0.0,0.0,11,0.0,0.0,2,0,0.0,0,0,1.0,0,23,0,4305,0.0,0.0,0.0,0,2,0.0,1,-1082,63,1145,45,False,0.0,0
25,0,0,0,42,Sub,Burnley,West Ham,2,0,2018-12-30,9395,2018,291641,0.022876720875501633,0,1,0,0,0,0,0,20.0,0.0,0.0,0,3,0,0.0,13.0,15.5,1.0,0.0,539,0.0,0.0,192,0.0,0,0,2.7,10932.0,7.8,1.0,2018-12-30T14:15:00Z,30 Dec 14:15,0.0,0.0,45,0.0,0.0,4,0,0.0,0,0,3.0,0,20,0,7083,3.0,0.0,0.0,0,2,4.0,1,-1035,109,1144,45,False,0.0,0
26,0,1,0.048428162932395935,55,AMR,Southampton,West Ham,1,2,2018-12-27,9379,2018,279296,0,0,0,0,0.048428162932395935,0.06379109621047974,0.015362933278083801,0,23.0,0.0,0.0,0,0,0,1.0,19.0,4.7,3.0,0.0,539,0.0,0.0,188,0.0,1,0,2.3,10364.0,6.4,0.0,2018-12-27T19:45:00Z,27 Dec 19:45,0.0,0.0,54,0.0,0.0,16,0,0.0,0,0,2.0,0,19,0,8118,5.0,0.0,1.0,2,1,12.0,1,-1324,80,1404,45,False,0.0,0
27,0,0,0,12,Sub,West Ham,Watford,0,2,2018-12-22,9368,2018,278793,0.03467937931418419,0,1,0,0,0.11372964829206467,0.07905026525259018,0,6.0,0.0,0.0,0,2,0,0.0,4.0,15.4,0.0,0.0,539,0.0,0.0,179,0.0,1,0,2.5,9799.0,6.0,1.0,2018-12-22T15:00:00Z,22 Dec 15:00,0.0,0.0,15,0.0,1.0,18,0,0.0,0,0,1.0,0,18,0,9422,3.0,0.0,0.0,2,0,4.0,1,-2123,54,2177,45,True,0.0,0
28,0,0,0,2,Sub,Fulham,West Ham,0,2,2018-12-15,9364,2018,278640,0.06778938323259354,0,1,0,0,0.06778938323259354,0,0,3.0,0.0,0.0,0,6,0,0.0,3.0,10.2,0.0,0.0,539,0.0,0.0,163,0.0,0,0,1.4,9237.0,4.2,1.0,2018-12-15T17:30:00Z,15 Dec 17:30,0.0,0.0,5,0.0,0.0,9,0,0.0,0,0,2.0,0,17,0,11525,0.0,1.0,0.0,2,0,0.0,1,-2415,116,2531,45,False,0.0,0
