,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,16,Sub,Norwich,Tottenham,0,5,2022-05-22,16755,2021,537967,0,0,0,0,0,0.04079674556851387,0.04079674556851387,0.0,,,,0.0,3.0,0.0,,,0.0,,,366.0,,,380.0,,0.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,17.0,,,15.0,0.0,,0.0,0.0,,0.0,38.0,0.0,92993.0,,,,5.0,0.0,0.0,1.0,-633.0,185.0,818.0,44.0,False,,0.0
1,0,0,0,4,Sub,Liverpool,Tottenham,1,1,2022-05-07,16728,2021,533118,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,4.3,,,366.0,,,358.0,,0.0,0.0,1.1,,6.2,,2022-05-07T18:45:00Z,,,,5.0,,,11.0,0.0,,0.0,0.0,,0.0,36.0,0.0,94342.0,,,,1.0,1.0,0.0,1.0,-880.0,185.0,1065.0,44.0,False,,0.0
2,0,0,0,7,Sub,Tottenham,Leicester,3,1,2022-05-01,16719,2021,531028,0,0,0,0,0,0.09142185002565384,0.09142185002565384,0.0,,,,0.0,3.0,0.0,,,0.2,,,366.0,,,347.0,,1.0,0.0,0.0,,0.2,,2022-05-01T13:00:00Z,,,,8.0,,,9.0,0.0,,0.0,0.0,,0.0,35.0,0.0,95285.0,,,,1.0,3.0,0.0,1.0,-707.0,130.0,837.0,44.0,True,,0.0
3,0,0,0,15,Sub,Tottenham,Brighton,0,1,2022-04-16,16699,2021,526105,0,0,0,0,0,0.3727516531944275,0.3727516531944275,0.0,,,,0.0,5.0,0.0,,,0.6,,,366.0,,,327.0,,1.0,0.0,0.3,,2.8,,2022-04-16T11:30:00Z,,,,18.0,,,4.0,0.0,,0.0,0.0,,0.0,33.0,0.0,96496.0,,,,1.0,0.0,0.0,1.0,-1574.0,204.0,1778.0,44.0,True,,0.0
4,0,1,0.017081666737794876,12,Sub,Tottenham,Newcastle United,5,1,2022-04-03,16678,2021,523652,0,0,0,0,0.017081666737794876,0.11814854294061661,0.11814854294061661,0.0,,,,0.0,2.0,0.0,,,1.0,,,366.0,,,308.0,,0.0,0.0,0.5,,3.2,,2022-04-03T15:30:00Z,,,,15.0,,,14.0,0.0,,0.0,0.0,,0.0,31.0,0.0,99283.0,,,,1.0,5.0,1.0,1.0,-1708.0,348.0,2056.0,44.0,True,,0.0
5,0,0,0,1,Sub,Manchester United,Tottenham,3,2,2022-03-12,16663,2021,519530,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,366.0,,,288.0,,0.0,0.0,0.0,,0.0,,2022-03-12T17:30:00Z,,,,2.0,,,13.0,0.0,,0.0,0.0,,0.0,29.0,0.0,102036.0,,,,2.0,3.0,0.0,1.0,-2104.0,1301.0,3405.0,44.0,False,,0.0
6,0,0,0,90,MC,Leeds,Tottenham,0,4,2022-02-26,16642,2021,515739,0.018922651186585426,0,1,0,0,1.4314945936203003,1.412571907043457,0.0,,,,0.0,11.0,1.0,,,15.0,,,366.0,,,267.0,,0.0,0.0,2.4,,9.0,,2022-02-26T12:30:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,27.0,0.0,105388.0,,,,4.0,0.0,0.0,3.0,-2867.0,666.0,3533.0,44.0,False,,0.0
7,0,0,0,43,Sub,Burnley,Tottenham,1,0,2022-02-23,16499,2021,515340,0,0,0,0,0,0.11646074056625366,0.11646074056625366,0.0,,,,0.0,6.0,0.0,,,3.5,,,366.0,,,124.0,,1.0,0.0,0.8,,2.0,,2022-02-23T19:30:00Z,,,,45.0,,,5.0,0.0,,0.0,0.0,,0.0,26.0,0.0,110851.0,,,,0.0,1.0,2.0,1.0,212.0,3914.0,3702.0,44.0,False,,0.0
8,0,1,0.03153972327709198,90,MC,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,16624,2021,513308,0,0,0,0,0.03153972327709198,0.21223601698875427,0.21223601698875427,0.0,,,,0.0,11.0,0.0,,,7.6,,,366.0,,,249.0,,2.0,0.0,3.1,,15.0,,2022-02-13T14:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,25.0,0.0,109059.0,,,,2.0,0.0,8.0,2.0,490.0,4155.0,3665.0,44.0,True,,0.0
9,0,0,0,90,MC,Tottenham,Southampton,2,3,2022-02-09,16613,2021,512178,0.0513390377163887,0,1,0,0,1.2469819784164429,1.1956429481506348,0.0,,,,0.0,14.0,0.0,,,16.2,,,366.0,,,240.0,,3.0,0.0,2.7,,10.6,,2022-02-09T19:45:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,24.0,0.0,108161.0,,,,3.0,2.0,0.0,2.0,270.0,4077.0,3807.0,44.0,True,,0.0
