,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,43,Sub,Sassuolo,Inter,1,2,2022-10-08,18669,2022,553903,0.5868790745735168,1,1,0,0,0.7140969634056091,0.7140969634056091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.04445086792111397,11,Sub,Inter,Roma,1,2,2022-10-01,18655,2022,552526,0,0,0,0,0.04445086792111397,0.04445086792111397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,30,MC,Udinese,Inter,3,1,2022-09-18,18651,2022,551027,0,0,0,0,0,0.08360447734594345,0.08360447734594345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0.054177820682525635,13,Sub,Inter,Torino,1,0,2022-09-10,18635,2022,549192,0,0,0,0,0.054177820682525635,0.054177820682525635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.019335223361849785,26,Sub,AC Milan,Inter,3,2,2022-09-03,18623,2022,547420,0.14447537064552307,0,2,0,0.019335223361849785,0.163810595870018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,30,Sub,Lecce,Inter,1,2,2022-08-13,18585,2022,541033,0,0,0,0,0,0.5780245661735535,0.5780245661735535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,4,0.43040671944618225,90,MC,Inter,Roma,3,1,2022-04-23,17090,2021,528776,0.13659127056598663,0,1,1,0.43040671944618225,0.5669980049133301,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,40,Sub,Napoli,Roma,1,1,2022-04-18,17082,2021,527425,0,0,0,0,0,0.6014373898506165,0.6014373898506165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0.09130726754665375,90,AMC,Roma,Salernitana,2,1,2022-04-10,17072,2021,525576,0.12567375600337982,1,2,0,0.09130726754665375,0.5714371204376221,0.37500816583633423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,0.6170627474784851,90,AMC,Sampdoria,Roma,0,1,2022-04-03,17063,2021,523691,0,0,0,1,0.6170627474784851,0.6170627474784851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.16093742847442627,90,AMC,Roma,Lazio,3,0,2022-03-20,17053,2021,522151,0.2781020700931549,0,1,0,0.16093742847442627,1.0871728658676147,0.6481333374977112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2,0.04685415327548981,90,MC,Roma,Atalanta,1,0,2022-03-05,17033,2021,517728,0,0,0,0,0.04685415327548981,0.08385567367076874,0.03700152412056923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.012360825203359127,90,AMC,Spezia,Roma,0,1,2022-02-27,17024,2021,516841,0.16422469913959503,0,3,0,0.012360825203359127,0.4696750342845917,0.45731422305107117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.07572595030069351,90,MC,Sassuolo,Roma,2,2,2022-02-13,17003,2021,513562,0.07515008002519608,0,2,0,0.07572595030069351,0.26911404728889465,0.1612883061170578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,3,0.12084870040416718,90,AMC,Roma,Genoa,0,0,2022-02-05,16991,2021,510970,0,0,0,0,0.12084870040416718,0.12084870040416718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2,0.08700553327798843,78,AMC,Empoli,Roma,2,4,2022-01-23,16977,2021,510627,0.3724680244922638,1,3,0,0.08700553327798843,0.5679437518119812,0.2330174744129181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0.027570025995373726,90,AMC,Roma,Cagliari,1,0,2022-01-16,16971,2021,508710,0.5371471643447876,0,6,0,0.027570025995373726,1.1483932733535767,0.6969883441925049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2,0.030227074399590492,90,AMR,Roma,Juventus,3,4,2022-01-09,16962,2021,507471,0.01731405220925808,0,1,1,0.030227074399590492,0.1314195990562439,0.08387847244739532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.01912814937531948,90,MC,AC Milan,Roma,3,1,2022-01-06,16951,2021,506445,0.0516604408621788,0,1,0,0.01912814937531948,0.05958240479230881,0.00792196486145258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,2,0.07987695932388306,90,MC,Roma,Sampdoria,1,1,2021-12-22,16942,2021,504573,0.1203685998916626,0,1,0,0.07987695932388306,0.1749202013015747,0.017115669324994087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,MC,Atalanta,Roma,1,4,2021-12-18,16926,2021,503563,0,0,0,0,0,0.6747443675994873,0.6747443675994873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,0.05691084265708923,90,MC,Roma,Spezia,2,0,2021-12-13,16921,2021,502858,0.6746347546577454,0,1,0,0.05691084265708923,0.6930321455001831,0.018397407606244087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,3,0.14762678742408752,90,MC,Roma,Inter,0,3,2021-12-04,16912,2021,500061,0,0,0,0,0.14762678742408752,0.20317189395427704,0.05554509162902832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,4,0.21428698301315308,90,MC,Bologna,Roma,1,0,2021-12-01,16897,2021,498778,0,0,0,0,0.21428698301315308,0.6618528366088867,0.44756588339805603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,0.016178656369447708,90,MC,Roma,Torino,1,0,2021-11-28,16891,2021,498311,0.4723140597343445,1,2,0,0.016178656369447708,0.4723140597343445,0.3715095520019531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,5,0.2357344776391983,90,MC,Genoa,Roma,0,2,2021-11-21,16879,2021,496769,0.352658748626709,1,1,0,0.2357344776391983,0.70123291015625,0.18528485298156738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,47,AML,Roma,AC Milan,1,2,2021-10-31,16862,2021,493336,0.058624543249607086,0,1,0,0,0.058624543249607086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,48,AML,Cagliari,Roma,1,2,2021-10-27,16846,2021,491536,0,0,0,0,0,0.0609879195690155,0.0609879195690155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,1,0.018093755468726158,70,AML,Roma,Napoli,0,0,2021-10-24,16841,2021,490905,0,0,0,0,0.018093755468726158,0.13824431598186493,0.12015055119991302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,1,0.09185896068811417,90,AML,Juventus,Roma,1,0,2021-10-17,16829,2021,489203,0,0,0,0,0.09185896068811417,0.2549114525318146,0.163052499294281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,3,0.4239584803581238,90,AML,Roma,Empoli,2,0,2021-10-03,16821,2021,487441,0.24699591100215912,1,3,1,0.4239584803581238,0.8792303800582886,0.35827192664146423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,3,0.1575903594493866,90,AMC,Lazio,Roma,3,2,2021-09-26,16810,2021,485725,0.07179073244333267,0,2,0,0.1575903594493866,0.25805607438087463,0.02867499180138111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,0.041964706033468246,90,AML,Roma,Udinese,1,0,2021-09-23,16801,2021,484254,0.0894540324807167,0,3,0,0.041964706033468246,0.7699567079544067,0.7086026072502136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,1,0.019073430448770523,24,Sub,Verona,Roma,3,2,2021-09-19,16788,2021,483062,0,0,0,0,0.019073430448770523,0.08473215252161026,0.06565871834754944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,2,0.03421199321746826,72,AML,Roma,Sassuolo,2,1,2021-09-12,16782,2021,481364,0.10259485989809036,0,2,0,0.03421199321746826,0.13680684566497803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,1,0.042561788111925125,71,AML,Salernitana,Roma,0,4,2021-08-29,16775,2021,479858,0.6629550457000732,1,5,0,0.042561788111925125,0.828332781791687,0.16537776589393616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,2,0.49939021468162537,87,AML,Roma,Fiorentina,3,1,2021-08-22,16763,2021,478049,0,0,0,1,0.49939021468162537,1.201845407485962,0.7024551630020142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,4,1.2899895906448364,90,AMC,Spezia,Roma,2,2,2021-05-23,15803,2020,473680,0.13885384798049927,0,2,1,1.2899895906448364,1.4288434982299805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,2,0.458588570356369,90,AMR,Roma,Lazio,2,0,2021-05-15,15791,2020,471036,0.13477051258087158,0,2,1,0.458588570356369,0.645083487033844,0.06588825583457947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,2,0.12045630067586899,90,AML,Inter,Roma,3,1,2021-05-12,15782,2020,470373,0.3140356242656708,0,3,1,0.12045630067586899,0.5436615347862244,0.1091696098446846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,5,0.569364070892334,90,AML,Roma,Crotone,5,0,2021-05-09,15769,2020,469578,0.5969417691230774,2,4,1,0.569364070892334,1.1390585899353027,0.07754980772733688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,1,0.015309272333979607,90,AMC,Sampdoria,Roma,2,0,2021-05-02,15764,2020,467868,0.488935649394989,0,1,0,0.015309272333979607,0.5885302424430847,0.09959462285041809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,31,Sub,Cagliari,Roma,3,2,2021-04-25,15751,2020,466242,0,0,0,0,0,0.05934346094727516,0.05934346094727516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,1,0.04319068044424057,87,AMC,Roma,Atalanta,1,1,2021-04-22,15736,2020,464769,0,0,0,0,0.04319068044424057,0.1373833268880844,0.09419263899326324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,44,Sub,Torino,Roma,3,1,2021-04-18,15732,2020,463789,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,1,0.07700486481189728,22,Sub,Roma,Bologna,1,0,2021-04-11,15717,2020,462090,0.030624540522694588,0,1,0,0.07700486481189728,0.10762941092252731,0.030624540522694588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,30,Sub,Roma,Genoa,1,0,2021-03-07,15680,2020,454968,0.022519811987876892,0,1,0,0,0.022519811987876892,0.022519811987876892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,2,0.09828810393810272,70,AMC,Fiorentina,Roma,1,2,2021-03-03,15668,2020,453928,0,0,0,0,0.09828810393810272,0.09828810393810272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,6,0.5011098980903625,90,AMC,Roma,AC Milan,1,2,2021-02-28,15663,2020,453359,0.12226352840662003,0,1,0,0.5011098980903625,0.8483724594116211,0.2249990552663803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
