,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,26,Sub,Barcelona,Elche,3,0,2022-09-17,19013,2022,550715,0.1297365128993988,0,1,0,0,1.3866138458251953,1.3866138458251953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DR,Cadiz,Barcelona,0,4,2022-09-10,19010,2022,549291,0,0,0,0,0,0.1375098079442978,0.1375098079442978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.2000645399093628,90,DR,Real Betis,Granada,2,0,2022-05-15,17498,2021,536376,0,0,0,0,0.2000645399093628,0.42705950140953064,0.3072749376296997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DR,Real Sociedad,Real Betis,0,0,2022-04-15,17452,2021,525987,0,0,0,0,0,0.15508028864860535,0.15508028864860535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,19,Sub,Cadiz,Real Betis,1,2,2022-04-09,17437,2021,524387,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,9.0,,,311.0,,0.0,0.0,0.0,,0.0,,2022-04-09T14:00:00Z,,,,0.0,,,4.0,0.0,,0.0,0.0,,0.0,32.0,0.0,18093.0,,,,2.0,1.0,0.0,0.0,-22.0,0.0,22.0,48.0,True,,0.0
5,0,1,0.027025673538446426,90,DR,Real Betis,Osasuna,4,1,2022-04-03,17429,2021,523550,0.527837872505188,0,3,0,0.027025673538446426,0.8734205365180969,0.3185569941997528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DR,Celta Vigo,Real Betis,0,0,2022-03-20,17418,2021,521978,0,0,0,0,0,0.10025736689567566,0.10025736689567566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DR,Sevilla,Real Betis,2,1,2022-02-27,17393,2021,516711,0.40804123878479004,0,2,0,0,0.465430349111557,0.057389091700315475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,DR,Real Betis,Mallorca,2,1,2022-02-20,17377,2021,515075,0.05469079315662384,0,2,0,0,0.31272637844085693,0.2869475781917572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,0.08812934905290604,90,DR,Levante,Real Betis,2,4,2022-02-13,17371,2021,513437,0.0664069652557373,0,1,0,0.08812934905290604,0.5502583384513855,0.39572203159332275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,1,0.01442435197532177,90,DR,Real Betis,Villarreal,0,2,2022-02-06,17358,2021,511879,0.015916407108306885,0,1,0,0.01442435197532177,0.08991868793964386,0.07400228083133698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,90,DR,Real Betis,Alaves,4,0,2022-01-18,17339,2021,508882,0.013329208828508854,0,1,0,0,0.5657342076301575,0.5657342076301575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,90,DR,Rayo Vallecano,Real Betis,1,1,2022-01-09,17334,2021,507125,0.5635873675346375,1,1,0,0,0.5635873675346375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.014165214262902737,90,DR,Real Betis,Celta Vigo,0,2,2022-01-02,17321,2021,505733,0.02553658001124859,0,1,0,0.014165214262902737,0.11482085287570953,0.07511906325817108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.03844993934035301,90,DR,Athletic Club,Real Betis,3,2,2021-12-19,17306,2021,504126,0.12116169929504395,0,2,0,0.03844993934035301,0.8514517545700073,0.6918401122093201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DR,Real Betis,Real Sociedad,4,0,2021-12-12,17298,2021,502699,0.05752222239971161,0,2,0,0,0.25556331872940063,0.19804108142852783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1,0.02123125270009041,90,DR,Barcelona,Real Betis,0,1,2021-12-04,17287,2021,499986,0.07780781388282776,0,2,0,0.02123125270009041,0.45302319526672363,0.35398411750793457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,68,DR,Elche,Real Betis,0,3,2021-11-21,17275,2021,496732,0,0,0,0,0,0.12008143216371536,0.12008143216371536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.021710213273763657,90,DR,Real Betis,Sevilla,0,2,2021-11-07,17258,2021,495184,0,0,0,0,0.021710213273763657,0.04393235221505165,0.022222138941287994,0.0,,,,0.0,0.0,0.0,,,0.0,,,9.0,,,101.0,,0.0,0.0,0.0,,0.0,,2021-11-07T14:00:00Z,,,,0.0,,,18.0,0.0,,0.0,0.0,,0.0,11.0,0.0,20128.0,,,,0.0,1.0,0.0,0.0,-399.0,0.0,399.0,48.0,True,,0.0
19,0,0,0,90,DR,Real Betis,Rayo Vallecano,3,2,2021-10-24,17233,2021,490924,0,0,0,0,0,0.17951419949531555,0.17951419949531555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0.051821473985910416,90,DR,Alaves,Real Betis,0,1,2021-10-18,17216,2021,489314,0.06865222007036209,0,2,0,0.051821473985910416,0.4601445198059082,0.3396708369255066,0.0,,,,0.0,0.0,0.0,,,0.0,,,9.0,,,71.0,,0.0,0.0,0.0,,0.0,,2021-10-18T19:00:00Z,,,,0.0,,,7.0,0.0,,0.0,0.0,,0.0,8.0,0.0,21792.0,,,,2.0,2.0,0.0,0.0,-1186.0,0.0,1186.0,48.0,True,,0.0
21,0,0,0,90,DR,Villarreal,Real Betis,2,0,2021-10-03,17209,2021,487601,0.01876453496515751,0,1,0,0,0.05634484067559242,0.037580303847789764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
