,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,5,Sub,Southampton,Watford,1,1,2016-08-13,466,2016,125137,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7331.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,False,0.0,0.0
1,0,0,0,90,DL,Norwich,Watford,4,2,2016-05-11,448,2015,62411,0,0,0,0,0,0.9517762660980225,0.9517762660980225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.051175806671381,90,DL,Liverpool,Watford,2,0,2016-05-08,445,2015,62439,0.11113347858190536,0,2,0,0.051175806671381,0.2930484116077423,0.14020368456840515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DL,Watford,Aston Villa,3,2,2016-04-30,430,2015,63523,0,0,0,0,0,0.41529029607772827,0.41529029607772827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,32,Sub,West Ham,Watford,3,1,2016-04-20,416,2015,66001,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,50,Sub,Arsenal,Watford,4,0,2016-04-02,385,2015,67214,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,13,Sub,Watford,Stoke,1,2,2016-03-19,377,2015,66979,0.4914931058883667,1,1,0,0,0.4914931058883667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,7,Sub,Watford,Leicester,0,1,2016-03-05,366,2015,66618,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,3,Sub,Manchester United,Watford,1,0,2016-03-03,358,2015,67494,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,28,Sub,Southampton,Watford,2,0,2016-01-13,284,2015,60823,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DR,Watford,Tottenham,1,2,2015-12-28,262,2015,59917,0,0,0,0,0,0.770133912563324,0.770133912563324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,16,Sub,Chelsea,Watford,2,2,2015-12-26,256,2015,60025,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,11,Sub,Watford,Liverpool,3,0,2015-12-20,248,2015,58910,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,13,Sub,Sunderland,Watford,0,1,2015-12-12,233,2015,60741,0.02035372518002987,0,1,0,0,0.02035372518002987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,76,MR,Watford,Norwich,2,0,2015-12-05,223,2015,58245,0,0,0,0,0,0.11259327828884125,0.11259327828884125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,22,Sub,Aston Villa,Watford,2,3,2015-11-28,212,2015,61643,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,90,DL,Watford,Manchester United,1,2,2015-11-21,201,2015,61213,0,0,0,0,0,0.158442884683609,0.158442884683609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,MR,Leicester,Watford,2,1,2015-11-07,192,2015,60679,0.017378801479935646,0,1,0,0,0.04350628703832626,0.026127485558390617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.06886844336986542,69,AMR,Watford,West Ham,2,0,2015-10-31,186,2015,59291,0.12970316410064697,0,2,0,0.06886844336986542,0.31398969888687134,0.14154236018657684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1,0.03155606612563133,67,AMR,Stoke,Watford,0,2,2015-10-24,175,2015,65439,0.1564846932888031,0,2,0,0.03155606612563133,0.18804076313972473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,82,MR,Watford,Arsenal,0,3,2015-10-17,168,2015,65166,0.0630917176604271,0,1,0,0,0.1002686470746994,0.03717693313956261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,0.3398453891277313,80,MR,Bournemouth,Watford,1,1,2015-10-03,153,2015,64726,0,0,0,0,0.3398453891277313,0.3398453891277313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,1,0.011221319437026978,90,DL,Watford,Crystal Palace,0,1,2015-09-27,149,2015,64572,0.035610828548669815,0,2,0,0.011221319437026978,0.22120079398155212,0.2067480832338333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,90,DL,Newcastle United,Watford,1,2,2015-09-19,132,2015,64255,0.03466781973838806,0,1,0,0,0.6501423120498657,0.6154745221138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,90,DL,Watford,Swansea,1,0,2015-09-12,124,2015,64019,0.011153386905789375,0,1,0,0,0.13674870133399963,0.13674870133399963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
