,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.07419344782829285,62,MC,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504058,0,0,0,0,0.07419344782829285,0.008284335024654865,0.008284335024654865,0,,,,0,3,0,,,0.6,,,306,,,175,,2,0,1.1,,3.4,,2021-12-19T14:00:00Z,,,,60,,,12,0,,0,0,,0,18,0,28863,,,,4,0,7.0,1,-1383,1338,2721,45,True,,1
1,0,0,0,90,MC,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503378,0,0,0,0,0,0,0,0,,,,0,9,0,,,0.9,,,306,,,169,,3,0,2.2,,19.2,,2021-12-16T20:00:00Z,,,,90,,,11,0,,0,0,,0,17,0,28563,,,,1,3,2.0,1,-4367,228,4595,45,False,,1
2,0,1,0.06284040957689285,15,Sub,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498653,0,0,0,0,0.06284040957689285,0.06284040957689285,0,0,,,,0,1,0,,,0.0,,,306,,,138,,1,0,0.1,,0.0,,2021-11-30T19:30:00Z,,,,17,,,15,0,,0,0,,0,14,0,37901,,,,1,1,4.0,1,4724,8000,3276,45,True,,0
3,0,0,0,1,Sub,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497096,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,306,,,121,,0,0,0.0,,0.4,,2021-11-27T12:30:00Z,,,,2,,,1,0,,0,0,,0,13,0,32680,,,,0,2,0.0,1,739,6534,5795,45,False,,0
4,1,2,0.13168583810329437,90,MC,Brighton,Newcastle United,1,1,2021-11-06,16478,2021,494252,0,0,0,1,0.13168583810329437,0.03960496187210083,0.03960496187210083,0,,,,3,32,0,,,1.9,,,306,,,103,,1,1,8.6,,43.2,,2021-11-06T17:30:00Z,,,,90,,,4,0,,0,0,,0,11,0,10454,,,,1,1,41.0,10,-277,299,576,45,False,,0
5,0,0,0,70,MC,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492216,0,0,0,0,0,0,0,0,,,,0,2,0,,,0.6,,,306,,,96,,1,0,1.7,,16.6,,2021-10-30T14:00:00Z,,,,66,,,6,0,,0,0,,0,10,0,10643,,,,3,0,0.0,1,-501,496,997,45,True,,1
6,0,0,0,90,MC,Crystal Palace,Newcastle United,1,1,2021-10-23,16460,2021,489957,0,0,0,0,0,0.04489370062947273,0.04489370062947273,0,,,,0,11,0,,,0.9,,,306,,,85,,1,0,1.8,,16.8,,2021-10-23T14:00:00Z,,,,90,,,7,0,,0,0,,0,9,0,11036,,,,1,1,0.0,2,-73,728,801,45,False,,0
7,0,0,0,90,DMC,Newcastle United,Tottenham,2,3,2021-10-17,16452,2021,489068,0,0,0,0,0,0.07971297949552536,0.07971297949552536,0,,,,0,4,0,,,0.9,,,306,,,77,,3,0,2.0,,18.8,,2021-10-17T15:30:00Z,,,,90,,,17,0,,0,0,,0,8,0,11034,,,,3,2,0.0,1,361,1247,886,45,True,,1
8,0,0,0,90,MC,Wolverhampton Wanderers,Newcastle United,2,1,2021-10-02,16445,2021,486539,0,0,0,0,0,0,0,0,,,,0,10,0,,,2.3,,,306,,,70,,2,0,2.0,,15.8,,2021-10-02T14:00:00Z,,,,90,,,20,0,,0,0,,0,7,0,10412,,,,1,2,2.0,2,-312,598,910,45,False,,0
9,0,0,0,90,DMC,Watford,Newcastle United,1,1,2021-09-25,16427,2021,484775,0.04534303769469261,0,1,0,0,0.28239721059799194,0.23705416917800903,0,,,,0,12,0,,,10.9,,,306,,,60,,1,0,2.8,,15.0,,2021-09-25T14:00:00Z,,,,90,,,18,0,,0,0,,0,6,0,10575,,,,1,1,2.0,2,171,1120,949,45,False,,0
10,0,0,0,90,DC,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481699,0.014035040512681007,0,1,0,0,0.014035040512681007,0.014035040512681007,0,,,,0,11,0,,,10.4,,,306,,,46,,1,0,2.5,,15.0,,2021-09-17T19:00:00Z,,,,90,,,10,0,,0,0,,0,5,0,10258,,,,1,1,0.0,2,636,1885,1249,45,True,,0
11,0,0,0,90,DC,Manchester United,Newcastle United,4,1,2021-09-11,16410,2021,480363,0,0,0,0,0,0.38512545824050903,0.38512545824050903,0,,,,0,11,0,,,0.4,,,306,,,38,,4,0,0.8,,8.0,,2021-09-11T14:00:00Z,,,,90,,,13,0,,0,0,,0,4,0,8948,,,,1,4,0.0,2,-2579,199,2778,45,False,,0
12,0,0,0,50,MC,Aston Villa,Newcastle United,2,0,2021-08-21,16388,2021,476952,0,0,0,0,0,0,0,0,,,,0,1,0,,,0.5,,,306,,,11,,1,0,0.7,,6.6,,2021-08-21T14:00:00Z,,,,45,,,2,0,,0,0,,0,2,0,14759,,,,0,2,0.0,0,1531,3200,1669,45,False,,1
13,0,1,0.02070678398013115,90,MC,Newcastle United,West Ham,2,4,2021-08-15,16384,2021,475994,0,0,0,0,0.02070678398013115,0.14909283816814423,0.12838605046272278,0,,,,0,14,0,,,3.3,,,306,,,9,,4,0,2.0,,8.8,,2021-08-15T13:00:00Z,,,,90,,,19,0,,0,0,,0,1,0,10633,,,,4,2,8.0,2,0,0,0,45,True,,0
14,0,1,0.015108123421669006,46,MC,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458342,0,0,0,0,0.015108123421669006,0,0,0,,,,0,4,0,,,2.0,,,336,,,279,,0,0,1.1,,4.6,,2021-03-20T20:00:00Z,,,,45,,,3,0,,0,0,,0,29,0,4991,,,,0,3,4.0,1,403,612,209,46,False,,0
15,0,0,0,89,MC,Newcastle United,Aston Villa,1,1,2021-03-12,14712,2020,455940,0.03049762174487114,0,1,0,0,0.14383536577224731,0.11333774775266647,0,,,,0,15,0,,,13.7,,,336,,,276,,1,0,3.6,,22.2,,2021-03-12T20:00:00Z,,,,87,,,2,0,,0,0,,0,28,0,4392,,,,1,1,0.0,2,242,409,167,46,True,,0
16,0,1,0.0383639819920063,90,MC,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,455007,0,0,0,0,0.0383639819920063,0,0,0,,,,0,7,1,,,3.1,,,336,,,267,,0,0,2.9,,8.2,,2021-03-07T12:00:00Z,,,,90,,,18,0,,0,0,,0,27,0,4119,,,,0,0,18.0,3,51,205,154,46,False,,0
17,0,2,0.12220508605241776,90,MC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452590,0,0,0,0,0.12220508605241776,1.243448257446289,1.2299150228500366,0,,,,0,6,0,,,4.9,,,336,,,255,,1,0,3.0,,7.2,,2021-02-27T20:00:00Z,,,,90,,,20,0,,0,0,,0,26,0,4056,,,,1,1,18.0,1,114,265,151,46,True,,1
18,0,0,0,90,MC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451557,0,0,0,0,0,0.0170839074999094,0.0170839074999094,0,,,,0,7,0,,,0.9,,,336,,,245,,3,0,0.7,,5.6,,2021-02-21T19:00:00Z,,,,90,,,13,0,,0,0,,0,25,0,3900,,,,1,3,0.0,1,-38,64,102,46,False,,1
