,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.26678651571273804,10,Sub,Arsenal,Everton,5,1,2022-05-22,16746,2021,537853,0,0,0,0,0.26678651571273804,0.26678651571273804,0,0,0,-2,0,0.0,718,371,1,0,0.0,0.0,2022-05-22T15:00:00Z,13,1,0,0,0,0,38,0,151,1,5,0.0,1,22,34,12,45,False,0
1,,,,,,,,,,2022-04-03,,,,,,,,,,,0,0,0,0,0.0,718,309,0,0,0.0,0.0,2022-04-03T13:00:00Z,0,19,0,0,0,0,31,0,0,1,2,0.0,0,0,0,0,45,False,0
2,,,,,,,,,,2022-04-06,,,,,,,,,,,0,0,0,0,0.0,718,183,0,0,0.0,0.0,2022-04-06T18:30:00Z,0,5,0,0,0,0,31,0,0,2,3,0.0,0,0,0,0,45,False,0
3,,,,,,,,,,2022-04-09,,,,,,,,,,,0,0,0,0,0.0,718,314,0,0,0.0,0.0,2022-04-09T11:30:00Z,0,13,0,0,0,0,32,0,26,0,1,0.0,0,18,20,2,45,True,0
4,,,,,,,,,,2022-04-20,,,,,,,,,,,0,0,0,0,0.0,718,172,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,9,0,0,0,0,33,0,37,1,1,0.0,0,-5,9,14,45,True,0
5,,,,,,,,,,2022-04-24,,,,,,,,,,,0,0,0,0,0.0,718,338,0,0,0.0,0.0,2022-04-24T15:30:00Z,0,11,0,0,0,0,34,0,60,0,2,0.0,0,7,21,14,45,False,0
6,,,,,,,,,,2022-05-01,,,,,,,,,,,0,0,0,0,0.0,718,342,0,0,0.0,0.0,2022-05-01T13:00:00Z,0,6,0,0,0,0,35,0,85,0,1,0.0,0,11,21,10,45,True,0
7,,,,,,,,,,2022-05-08,,,,,,,,,,,0,0,0,0,0.0,718,357,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,9,0,0,0,0,36,0,96,2,1,0.0,0,1,12,11,45,False,0
8,,,,,,,,,,2022-05-11,,,,,,,,,,,0,0,0,0,0.0,718,299,0,0,0.0,0.0,2022-05-11T18:45:00Z,0,18,0,0,0,0,36,0,96,0,0,0.0,0,1,12,11,45,False,0
9,,,,,,,,,,2022-05-15,,,,,,,,,,,0,0,0,0,0.0,718,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,3,0,0,0,0,37,0,118,3,2,0.0,0,8,23,15,45,True,0
10,,,,,,,,,,2022-05-19,,,,,,,,,,,0,0,0,0,0.0,718,322,0,0,0.0,0.0,2022-05-19T18:45:00Z,0,7,0,0,0,0,37,0,118,2,3,0.0,0,8,23,15,45,True,0
11,,,,,,,,,,2021-04-12,,,,,,,,,,,0,0,0,0,0.0,691,299,0,0,0.0,0.0,2021-04-12T19:15:00Z,0,3,0,0,0,0,31,0,0,0,0,0.0,0,0,0,0,45,False,0
12,,,,,,,,,,2021-04-16,,,,,,,,,,,0,0,0,0,0.0,691,312,0,0,0.0,0.0,2021-04-16T19:00:00Z,0,17,0,0,0,0,32,0,32,2,2,0.0,0,21,22,1,45,True,0
13,,,,,,,,,,2021-04-23,,,,,,,,,,,0,0,0,0,0.0,691,319,0,0,0.0,0.0,2021-04-23T19:00:00Z,0,1,0,0,0,0,33,0,58,1,0,0.0,0,15,26,11,45,False,0
14,,,,,,,,,,2021-05-01,,,,,,,,,,,0,0,0,0,0.0,691,333,0,0,0.0,0.0,2021-05-01T19:00:00Z,0,2,0,0,0,0,34,0,75,2,1,0.0,0,11,31,20,45,True,0
15,,,,,,,,,,2021-05-09,,,,,,,,,,,0,0,0,0,0.0,691,347,0,0,0.0,0.0,2021-05-09T15:30:00Z,0,19,0,0,0,0,35,0,86,1,0,0.0,0,-2,27,29,45,False,0
16,,,,,,,,,,2021-05-13,,,,,,,,,,,0,0,0,0,0.0,691,180,0,0,0.0,0.0,2021-05-13T17:00:00Z,0,2,0,0,0,0,35,0,86,0,0,0.0,0,-2,27,29,45,False,0
17,,,,,,,,,,2021-05-16,,,,,,,,,,,0,0,0,0,0.0,691,351,0,0,0.0,0.0,2021-05-16T18:00:00Z,0,15,0,0,0,0,36,0,94,1,0,0.0,0,4,16,12,45,True,0
18,,,,,,,,,,2021-05-19,,,,,,,,,,,0,0,0,0,0.0,691,363,0,0,0.0,0.0,2021-05-19T17:00:00Z,0,20,0,0,0,0,37,0,95,0,1,0.0,0,-3,13,16,45,True,0
19,,,,,,,,,,2021-05-23,,,,,,,,,,,0,0,0,0,0.0,691,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,12,0,0,0,0,38,0,120,0,5,0.0,0,16,36,20,45,False,0
