,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,FWR,Crystal Palace,Watford,1,0,2022-05-07,16730,2021,532549,0,0,0,0,0,0.01569092832505703,0.01569092832505703,0.0,0.0,10.0,0.0,1.0,399.0,356.0,1.0,0.0,0.9,6.4,2022-05-07T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,36.0,0.0,261255.0,0.0,1.0,2.0,2.0,1710.0,6630.0,4920.0,57.0,False,0.0
1,0,0,0,90,FWR,Watford,Burnley,1,2,2022-04-30,16718,2021,530508,0.026550425216555595,0,1,0,0,0.21888145804405212,0.19233103096485138,0.0,0.0,8.0,0.0,18.3,399.0,348.0,2.0,0.0,2.9,9.0,2022-04-30T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,35.0,0.0,259072.0,2.0,1.0,2.0,2.0,7592.0,10360.0,2768.0,57.0,True,0.0
2,0,1,0.027758367359638214,70,FWR,Manchester City,Watford,5,1,2022-04-23,16707,2021,528662,0,0,0,0,0.027758367359638214,0,0,0.0,0.0,4.0,0.0,0.8,399.0,339.0,5.0,0.0,0.8,1.0,2022-04-23T14:00:00Z,67.0,12.0,0.0,0.0,0.0,0.0,34.0,0.0,250771.0,1.0,5.0,6.0,2.0,-1872.0,2577.0,4449.0,57.0,False,0.0
3,0,2,0.18933428823947906,90,FWR,Watford,Brentford,1,2,2022-04-16,16698,2021,526431,0.0543685220181942,1,1,0,0.18933428823947906,0.25764957070350647,0.12013930827379227,1.0,0.0,14.0,0.0,13.2,399.0,328.0,2.0,0.0,6.3,20.6,2022-04-16T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,252302.0,2.0,1.0,29.0,5.0,1391.0,4352.0,2961.0,57.0,True,0.0
4,0,1,0.2232532650232315,90,FWR,Watford,Leeds,0,3,2022-04-09,16686,2021,524639,0.018758999183773994,0,1,0,0.2232532650232315,0.26308947801589966,0.039836227893829346,0.0,0.0,-6.0,0.0,12.1,399.0,320.0,3.0,0.0,2.5,6.8,2022-04-09T14:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0,251097.0,3.0,0.0,6.0,2.0,3573.0,4663.0,1090.0,57.0,True,0.0
5,0,1,0.09085554629564285,90,MR,Liverpool,Watford,2,0,2022-04-02,16680,2021,522469,0.35959571599960327,0,1,0,0.09085554629564285,0.4504512548446655,0,0.0,0.0,3.0,0.0,11.3,399.0,306.0,2.0,0.0,1.8,4.0,2022-04-02T11:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,31.0,0.0,247146.0,0.0,2.0,3.0,2.0,-945.0,1000.0,1945.0,57.0,False,0.0
6,0,2,0.08094505220651627,90,FWR,Manchester United,Watford,0,0,2022-02-26,16643,2021,516069,0.07306047528982162,0,2,0,0.08094505220651627,0.1540055274963379,0,0.0,0.0,9.0,1.0,22.7,399.0,268.0,0.0,0.0,5.0,7.8,2022-02-26T15:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,27.0,0.0,274744.0,0.0,0.0,19.0,3.0,1128.0,7182.0,6054.0,57.0,False,0.0
7,0,1,0.027741730213165283,90,FWR,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515377,0,0,0,0,0.027741730213165283,0.08383170515298843,0.05608997121453285,0.0,0.0,3.0,0.0,3.8,399.0,178.0,4.0,0.0,1.6,4.4,2022-02-23T19:30:00Z,90.0,7.0,0.0,0.0,0.0,0.0,26.0,0.0,293886.0,4.0,1.0,8.0,2.0,21160.0,25081.0,3921.0,57.0,True,0.0
8,0,1,0.017012814059853554,90,MR,Aston Villa,Watford,0,1,2022-02-19,16627,2021,514307,1.2565847635269165,1,4,0,0.017012814059853554,1.7243515253067017,0.4507538676261902,1.0,2.0,27.0,1.0,46.8,399.0,252.0,0.0,0.0,7.9,25.6,2022-02-19T15:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,293886.0,1.0,0.0,7.0,7.0,21160.0,25081.0,3921.0,57.0,False,1.0
9,0,3,0.08864720910787582,43,Sub,Watford,Brighton,0,2,2022-02-12,16625,2021,512685,0,0,0,0,0.08864720910787582,0.05380181595683098,0,0.0,0.0,-1.0,0.0,1.2,399.0,250.0,1.0,0.0,4.1,1.6,2022-02-12T15:00:00Z,45.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,252748.0,2.0,0.0,38.0,1.0,-428.0,2037.0,2465.0,57.0,True,0.0
10,1,3,0.9142418503761292,71,MR,Watford,Manchester United,4,1,2021-11-20,16494,2021,495652,0.03495338559150696,0,1,1,0.1530730128288269,0.18802639842033386,0,0.0,0.0,20.0,0.0,11.5,399.0,119.0,1.0,1.0,10.8,38.8,2021-11-20T15:00:00Z,67.0,13.0,0.0,1.0,0.0,0.0,12.0,0.0,831974.0,1.0,4.0,58.0,5.0,-171262.0,10749.0,182011.0,60.0,True,0.0
11,0,0,0,90,MR,Arsenal,Watford,1,0,2021-11-07,16476,2021,494517,0,0,0,0,0,0.037179723381996155,0.037179723381996155,0.0,0.0,1.0,0.0,4.9,399.0,101.0,1.0,0.0,0.7,2.2,2021-11-07T14:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,998700.0,0.0,1.0,0.0,2.0,-210895.0,12459.0,223354.0,61.0,False,0.0
12,0,2,0.11841460317373276,90,MR,Watford,Southampton,0,1,2021-10-30,16474,2021,492187,0,0,0,0,0.11841460317373276,0.11841460317373276,0.008790087886154652,0.0,0.0,3.0,0.0,5.0,399.0,99.0,1.0,0.0,3.3,5.2,2021-10-30T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,1206897.0,1.0,0.0,23.0,2.0,-124138.0,59148.0,183286.0,62.0,True,0.0
13,0,2,0.04644102230668068,68,MR,Everton,Watford,2,5,2021-10-23,16461,2021,489984,0.43574652075767517,0,1,0,0.04644102230668068,0.4514320492744446,0,0.0,0.0,7.0,0.0,16.2,399.0,86.0,2.0,0.0,2.7,7.0,2021-10-23T14:00:00Z,63.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,1322792.0,5.0,2.0,4.0,2.0,-97456.0,67060.0,164516.0,63.0,False,0.0
14,0,3,0.2113506942987442,90,FW,Watford,Liverpool,0,5,2021-10-16,16455,2021,487841,0,0,0,0,0.2113506942987442,0.18721412122249603,0,0.0,0.0,3.0,0.0,8.7,399.0,80.0,5.0,0.0,4.3,3.0,2021-10-16T11:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,1414421.0,5.0,0.0,31.0,2.0,-145843.0,104061.0,249904.0,63.0,True,0.0
15,0,1,0.025056414306163788,90,AMR,Leeds,Watford,1,0,2021-10-02,16440,2021,486455,0,0,0,0,0.025056414306163788,0.025056414306163788,0,0.0,0.0,0.0,0.0,1.5,399.0,65.0,1.0,0.0,1.5,1.8,2021-10-02T14:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,1579978.0,0.0,1.0,12.0,1.0,456636.0,508998.0,52362.0,63.0,False,1.0
16,1,3,0.3778946101665497,90,AMR,Watford,Newcastle United,1,1,2021-09-25,16427,2021,484762,0,0,0,1,0.3778946101665497,0.09089746326208115,0,0.0,2.0,23.0,0.0,1.0,399.0,60.0,1.0,1.0,8.8,39.4,2021-09-25T14:00:00Z,90.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,1099120.0,1.0,1.0,48.0,9.0,611463.0,637228.0,25765.0,62.0,True,0.0
17,2,5,1.3786563873291016,90,AMR,Norwich,Watford,1,3,2021-09-18,16418,2021,482163,0,0,0,2,1.3786563873291016,2.0238118171691895,0.6451554894447327,0.0,3.0,41.0,0.0,3.8,399.0,47.0,1.0,2.0,19.6,83.2,2021-09-18T14:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,438688.0,3.0,1.0,109.0,15.0,11552.0,91634.0,80082.0,60.0,False,0.0
18,0,0,0,90,MR,Watford,Wolverhampton Wanderers,0,2,2021-09-11,16412,2021,480299,0.04269574582576752,0,1,0,0,0.133869469165802,0.09117371588945389,0.0,0.0,3.0,0.0,13.3,399.0,40.0,2.0,0.0,2.5,1.2,2021-09-11T14:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,420552.0,2.0,0.0,10.0,2.0,40905.0,184043.0,143138.0,60.0,True,0.0
19,0,3,0.21861931681632996,90,MR,Tottenham,Watford,1,0,2021-08-29,16404,2021,479410,0.1114184707403183,0,2,0,0.21861931681632996,0.3632842004299164,0.1970939040184021,0.0,0.0,5.0,0.0,26.1,399.0,27.0,1.0,0.0,11.7,16.8,2021-08-29T13:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,365191.0,0.0,1.0,74.0,2.0,-51713.0,38605.0,90318.0,60.0,False,0.0
20,0,2,0.04337209463119507,90,MR,Brighton,Watford,2,0,2021-08-21,16391,2021,477249,0.14403848350048065,0,2,0,0.04337209463119507,0.25429007411003113,0.066879503428936,0.0,0.0,10.0,0.0,28.8,399.0,12.0,2.0,0.0,4.4,8.2,2021-08-21T16:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,417607.0,0.0,2.0,7.0,2.0,137978.0,164188.0,26210.0,60.0,False,0.0
21,1,3,0.17224226891994476,90,MR,Watford,Aston Villa,3,2,2021-08-14,16382,2021,475561,0.36620545387268066,0,4,1,0.17224226891994476,0.5004300475120544,0.13909025490283966,0.0,2.0,30.0,0.0,46.1,399.0,8.0,2.0,1.0,13.9,48.4,2021-08-14T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,192715.0,2.0,3.0,44.0,9.0,0.0,0.0,0.0,60.0,True,0.0
22,0,2,0.0732419341802597,90,AMC,Arsenal,Watford,3,2,2020-07-26,12014,2019,411224,1.2397485971450806,1,4,0,0.0732419341802597,1.7394647598266602,0.9659785032272339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,1,0.08068010210990906,90,MR,Watford,Manchester City,0,4,2020-07-21,12011,2019,410452,0,0,0,0,0.08068010210990906,0.08068010210990906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,0.08541949093341827,90,AMR,West Ham,Watford,3,1,2020-07-17,12001,2019,409594,0.10161151736974716,0,1,0,0.08541949093341827,0.22995463013648987,0.04292362555861473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,90,AMR,Watford,Newcastle United,2,1,2020-07-11,11991,2019,407362,0.06279585510492325,0,1,0,0,0.19982613623142242,0.13703027367591858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,90,AMR,Watford,Norwich,2,1,2020-07-07,11981,2019,406220,0.12290409207344055,0,1,0,0,0.12290409207344055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,86,AMR,Chelsea,Watford,3,0,2020-07-04,11964,2019,405473,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,1,0.09888987243175507,90,AMR,Watford,Southampton,1,3,2020-06-28,11961,2019,403684,0.03638940304517746,0,1,0,0.09888987243175507,0.03638940304517746,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,90,MR,Burnley,Watford,1,0,2020-06-25,11943,2019,402688,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,1,0.34233370423316956,90,AMR,Watford,Leicester,1,1,2020-06-20,11935,2019,400904,0,0,0,0,0.34233370423316956,0.34233370423316956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,0.044117920100688934,90,AMR,Crystal Palace,Watford,1,0,2020-03-07,11926,2019,387663,0.013467739336192608,0,1,0,0.044117920100688934,0.1501455008983612,0.09255984425544739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,6,1.5103932619094849,87,AMR,Watford,Liverpool,3,0,2020-02-29,11921,2019,387540,0.3342951834201813,1,1,2,1.5103932619094849,1.893290400505066,0.04860188439488411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,20,Sub,Manchester United,Watford,3,0,2020-02-23,11910,2019,387314,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,3,0.40818727016448975,90,AMR,Watford,Tottenham,0,0,2020-01-18,11871,2019,386017,0.6088612079620361,0,4,0,0.40818727016448975,1.0864731073379517,0.08868434280157089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2,0.06338728964328766,85,AMR,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385975,0.4807395935058594,1,2,0,0.06338728964328766,0.9722495079040527,0.46266043186187744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,2,0.46812427043914795,90,AMR,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385527,0.29161638021469116,1,2,0,0.46812427043914795,0.7767605185508728,0.017019862309098244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,5,0.6243996024131775,90,AMR,Watford,Aston Villa,3,0,2019-12-28,11841,2019,372759,0.05551290139555931,0,1,1,0.6243996024131775,0.7977643609046936,0.17682351171970367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,51,AMR,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372580,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,2,0.21648937463760376,88,AMR,Watford,Manchester United,2,0,2019-12-22,11821,2019,372124,0,0,0,1,0.21648937463760376,0.14222142100334167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,3,0.4896566569805145,90,AMR,Liverpool,Watford,2,0,2019-12-14,11808,2019,369568,0.0477481409907341,0,1,0,0.4896566569805145,0.7096083164215088,0.23481112718582153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,4,0.8687962293624878,90,MC,Watford,Crystal Palace,0,0,2019-12-07,11801,2019,368390,0.3822267949581146,0,2,0,0.8687962293624878,0.8596773147583008,0.6762603521347046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,90,MR,Leicester,Watford,2,0,2019-12-04,11785,2019,367627,0.05517350509762764,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,4,0.394337922334671,90,FW,Southampton,Watford,2,1,2019-11-30,11778,2019,366394,0,0,0,1,0.394337922334671,0.44048240780830383,0.06908656656742096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,18,Sub,Watford,Burnley,0,3,2019-11-23,11771,2019,364722,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,13,Sub,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356258,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1,0.07362809777259827,76,FWR,Wolverhampton Wanderers,Watford,2,0,2019-09-28,11705,2019,354715,0.018919365480542183,0,1,0,0.07362809777259827,0.11514749377965927,0.02260003238916397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,0,28,Sub,Manchester City,Watford,8,0,2019-09-21,11695,2019,352295,0,0,0,0,0,0.05731036141514778,0.05731036141514778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,2,0.1130046620965004,34,Sub,Watford,Arsenal,2,2,2019-09-15,11691,2019,349858,0.49909886717796326,0,1,0,0.1130046620965004,0.7156262993812561,0.10352280735969543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,1,0.013110840693116188,12,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344076,0,0,0,0,0.013110840693116188,0.18402676284313202,0.17091591656208038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,4,0.5989804267883301,90,MR,Rennes,Lille,3,1,2019-05-24,11022,2018,334733,0.08778107166290283,0,1,1,0.5989804267883301,0.7735634446144104,0.0952174961566925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,90,MR,Strasbourg,Rennes,0,2,2019-05-18,11011,2018,334056,0.3807274401187897,0,6,0,0,0.3709864020347595,0.11468023806810379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,1,0.26207658648490906,79,AMR,Rennes,Guingamp,1,1,2019-05-12,11000,2018,332098,0.5831030607223511,0,1,1,0.26207658648490906,0.8451796174049377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,2,0.8855144381523132,90,AMR,Toulouse,Rennes,2,2,2019-05-05,10986,2018,330888,0,0,0,0,0.12561799585819244,0.3162015676498413,0.19058355689048767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,0,74,AML,Dijon,Rennes,3,2,2019-04-19,10963,2018,325473,0,0,0,0,0,0.16146574914455414,0.16146574914455414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,1,0.05872137099504471,25,Sub,Rennes,Nice,0,0,2019-04-14,10960,2018,324769,0.08830972015857697,0,1,0,0.05872137099504471,0.7511959075927734,0.6041648387908936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
