,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.025339825078845024,90,DC,Sheffield United,Burnley,1,0,2021-05-23,14812,2020,473422,0,0,0,0,0.025339825078845024,0.04540003836154938,0.020060213282704353,0,0,27,1,2.2,352,376,0,0,1.9,15.4,2021-05-23T15:00:00Z,90,4,0,0,0,0,38,0,7912,0,1,1.0,6,68,435,367,42,True,0
1,0,1,0.0761360451579094,90,DC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472448,0,0,0,0,0.0761360451579094,0.08105320483446121,0.08105320483446121,0,0,14,0,2.5,352,365,1,0,2.2,15.2,2021-05-19T17:00:00Z,90,14,0,0,0,0,37,0,7862,0,1,4.0,2,1167,1279,112,42,False,0
2,0,0,0,90,DC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471889,0.6712545156478882,1,1,0,0,0.6889014840126038,0.6889014840126038,1,3,38,1,11.4,352,351,0,0,4.7,29.8,2021-05-16T18:00:00Z,90,7,0,0,0,0,36,0,6612,1,0,6.0,11,-147,14,161,42,False,1
3,0,0,0,59,DC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438419,0,0,0,0,0,0.2708115577697754,0.2708115577697754,0,0,7,0,1.8,352,150,1,0,1.0,8.0,2020-12-29T18:00:00Z,56,4,0,0,0,0,16,0,10206,0,1,0.0,1,71,364,293,43,False,0
4,0,1,0.046713896095752716,90,DC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438158,0,0,0,0,0.046713896095752716,0,0,0,0,12,0,1.3,352,146,1,0,4.4,25.0,2020-12-26T20:00:00Z,90,7,0,0,0,0,15,0,10096,1,0,18.0,1,6,430,424,43,True,1
5,0,0,0,90,DC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436434,0,0,0,0,0,0.09403901547193527,0.09403901547193527,0,0,9,0,0.3,352,129,1,0,1.1,10.2,2020-12-20T12:00:00Z,90,3,0,0,0,0,14,0,9981,1,1,0.0,2,-240,116,356,43,False,0
6,0,0,0,90,DC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435623,0,0,0,0,0,0.21807201206684113,0.21807201206684113,0,0,6,0,2.8,352,124,3,0,1.0,7.2,2020-12-17T20:00:00Z,90,13,0,0,0,0,13,0,10189,3,2,0.0,0,-380,45,425,43,True,1
7,0,0,0,28,Sub,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428535,0,0,0,0,0,0.020536093041300774,0.020536093041300774,0,0,2,0,0.8,352,86,0,0,0.3,2.4,2020-11-22T14:00:00Z,28,19,0,0,0,0,9,0,11567,1,0,0.0,1,-791,193,984,44,True,0
8,0,0,0,72,Sub,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421674,0,0,0,0,0,0.36579611897468567,0.36579611897468567,1,0,17,0,1.3,352,46,1,0,1.6,12.6,2020-10-18T11:00:00Z,71,8,0,0,0,0,5,0,13426,1,1,2.0,5,1658,3477,1819,44,True,0
9,0,0,0,90,DC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420300,0,0,0,0,0,0.10683754086494446,0.10683754086494446,0,0,12,0,2.9,352,29,2,0,1.6,13.4,2020-10-04T13:00:00Z,90,1,0,0,0,0,4,0,11028,1,2,0.0,1,-136,901,1037,44,False,0
10,0,3,0.5482074022293091,90,DC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417853,0,0,0,0,0.5482074022293091,0.07955347746610641,0.07955347746610641,0,0,5,0,0.4,352,25,1,0,2.4,9.0,2020-09-27T11:00:00Z,90,10,0,0,0,0,3,0,10695,1,0,15.0,2,-1621,246,1867,44,True,0
11,0,0,0,90,DC,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411430,0,0,0,0,0,0,0,0,0,13,0,0.3,611,379,3,0,2.0,19.2,2020-07-26T15:00:00Z,90,16,0,0,0,0,47,0,58392,1,3,0.0,1,-5903,907,6810,40,False,0
