,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,1,Sub,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550700,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,404,,,77,,0,0,0.0,,0.0,,2022-09-17T14:00:00Z,,,,1,,,15,0,,0,0,,0,8,0,4758,,,,1,1,0.0,1,-13,86,99,43,False,,0
1,0,0,0,1,Sub,Southampton,Leeds,2,2,2022-08-13,18215,2022,540598,0,0,0,0,0,0,0,0,,,,0,5,0,,,0.0,,,404,,,19,,0,0,0.2,,2.0,,2022-08-13T14:00:00Z,,,,1,,,11,0,,0,0,,0,2,0,4843,,,,2,2,0.0,1,-489,110,599,45,True,,0
2,0,0,0,42,Sub,Tottenham,Southampton,4,1,2022-08-06,18207,2022,539511,0,0,0,0,0,0.04521222040057182,0.04521222040057182,0,,,,0,5,0,,,2.5,,,404,,,8,,2,0,1.5,,12.2,,2022-08-06T14:00:00Z,,,,45,,,18,0,,0,0,,0,1,0,4265,,,,1,4,0.0,0,0,0,0,45,False,,0
3,0,0,0,90,DC,Leicester,Southampton,4,1,2022-05-22,16752,2021,537872,0,0,0,0,0,0.16267044842243195,0.16267044842243195,0,,,,0,13,0,,,0.0,,,338,,,377,,4,0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90,,,9,0,,0,0,,0,38,0,5101,,,,1,4,0.0,0,28,63,35,44,False,,0
4,0,0,0,90,DC,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536750,0,0,0,0,0,0.016933586448431015,0.016933586448431015,0,,,,0,14,0,,,0.8,,,338,,,366,,2,0,2.8,,27.0,,2022-05-17T18:45:00Z,,,,90,,,11,0,,0,0,,0,37,0,5050,,,,2,1,0.0,0,-9,24,33,44,True,,1
5,0,0,0,90,DC,Aston Villa,Southampton,4,0,2022-03-05,16646,2021,517510,0,0,0,0,0,0.2558025121688843,0.2558025121688843,0,,,,0,17,0,,,0.3,,,338,,,271,,4,0,2.0,,17.4,,2022-03-05T15:00:00Z,,,,90,,,2,0,,0,0,,0,28,0,4975,,,,0,4,2.0,0,39,110,71,44,False,,0
6,0,0,0,8,Sub,Southampton,Norwich,2,0,2022-02-25,16644,2021,515584,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.0,,,338,,,269,,0,0,0.1,,1.4,,2022-02-25T20:00:00Z,,,,9,,,15,0,,0,0,,0,27,0,4940,,,,0,2,0.0,1,57,93,36,44,True,,0
7,0,0,0,42,Sub,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512427,0,0,0,0,0,0.2240372598171234,0.2240372598171234,0,,,,0,7,0,,,0.1,,,338,,,246,,0,0,1.4,,14.0,,2022-02-12T12:30:00Z,,,,45,,,13,0,,0,0,,0,25,0,4779,,,,1,1,0.0,1,-1,30,31,44,False,,0
8,0,0,0,90,DC,Arsenal,Southampton,3,0,2021-12-11,16526,2021,501713,0.05411611124873161,0,2,0,0,0.07655443251132965,0.022438321262598038,0,,,,0,18,0,,,20.7,,,338,,,151,,3,0,4.6,,25.6,,2021-12-11T15:00:00Z,,,,90,,,1,0,,0,0,,0,16,0,4846,,,,0,3,0.0,1,-37,76,113,44,False,,0
9,0,0,0,36,DC,Manchester City,Southampton,0,0,2021-09-18,16421,2021,482131,0,0,0,0,0,0,0,0,,,,0,3,0,,,0.2,,,338,,,45,,0,0,0.5,,4.6,,2021-09-18T14:00:00Z,,,,36,,,12,0,,0,0,,0,5,0,9058,,,,0,0,0.0,1,-161,498,659,45,False,,0
10,0,0,0,90,DC,Southampton,West Ham,0,0,2021-09-11,16411,2021,480322,0,0,0,0,0,0.19762949645519257,0.19762949645519257,0,,,,0,26,1,,,0.5,,,338,,,39,,0,0,3.4,,33.0,,2021-09-11T14:00:00Z,,,,90,,,19,0,,0,0,,0,4,0,8785,,,,0,0,0.0,5,-832,467,1299,45,True,,1
11,0,0,0,90,DC,Newcastle United,Southampton,2,2,2021-08-28,16397,2021,478982,0.19016610085964203,0,2,0,0,0.7434453368186951,0.7434453368186951,0,,,,0,16,0,,,23.1,,,338,,,25,,2,0,4.3,,17.6,,2021-08-28T14:00:00Z,,,,90,,,14,0,,0,0,,0,3,0,9035,,,,2,2,2.0,1,85,1057,972,45,False,,0
12,0,0,0,90,DC,Southampton,Manchester United,1,1,2021-08-22,16392,2021,477533,0,0,0,0,0,0.06634452939033508,0.06634452939033508,0,,,,0,12,0,,,1.5,,,338,,,19,,1,0,2.7,,25.4,,2021-08-22T13:00:00Z,,,,90,,,13,0,,0,0,,0,2,0,8252,,,,1,1,0.0,1,-472,316,788,45,True,,1
13,0,0,0,90,DC,Everton,Southampton,3,1,2021-08-14,16380,2021,475516,0,0,0,0,0,0,0,0,,,,0,6,0,,,0.5,,,338,,,4,,3,0,1.3,,10.0,,2021-08-14T14:00:00Z,,,,90,,,8,0,,0,0,,0,1,0,7152,,,,1,3,2.0,1,0,0,0,45,False,,0
14,0,1,0.12193728983402252,90,DC,Southampton,Leeds,0,2,2021-05-18,14802,2020,472322,0.05054233595728874,0,2,0,0.12193728983402252,0.18828235566616058,0.18828235566616058,0,,,,0,17,0,,,22.3,,,367,,,366,,2,0,8.1,,25.8,,2021-05-18T17:00:00Z,,,,90,,,10,0,,0,0,,0,37,0,19018,,,,2,0,33.0,1,-672,317,989,46,True,,0
15,0,0,0,90,DC,Southampton,Fulham,3,1,2021-05-15,14792,2020,470976,0,0,0,0,0,0.06586741656064987,0.06586741656064987,0,,,,0,15,0,,,1.5,,,367,,,357,,1,0,2.1,,19.8,,2021-05-15T14:00:00Z,,,,90,,,8,0,,0,0,,0,36,0,19778,,,,1,3,0.0,2,1419,1736,317,46,True,,0
