,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,83,MC,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555434,0.05281195044517517,0,1,0,0,0.10817676037549973,0.05536481365561485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.03764640539884567,88,MC,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553313,0.11746116727590561,0,2,0,0.03764640539884567,0.4040692150592804,0.2681221067905426,0.0,0.0,9.0,1.0,23.9,47.0,85.0,0.0,0.0,4.6,9.2,2022-10-02T15:30:00Z,82.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,128982.0,0.0,0.0,13.0,3.0,32484.0,42375.0,9891.0,52.0,False,0.0
2,1,2,0.8018079400062561,70,MC,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550339,0,0,0,1,0.8018079400062561,0.28437361121177673,0.28437361121177673,0.0,3.0,26.0,1.0,3.1,47.0,71.0,0.0,1.0,10.0,45.4,2022-09-16T19:00:00Z,66.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,95288.0,0.0,1.0,51.0,10.0,4981.0,8710.0,3729.0,52.0,True,1.0
3,0,0,0,90,AMC,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547434,0.08989055454730988,1,1,0,0,0.08989055454730988,0,1.0,0.0,15.0,0.0,11.8,47.0,51.0,1.0,0.0,4.8,23.8,2022-09-03T16:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,86293.0,1.0,1.0,12.0,5.0,-12099.0,1792.0,13891.0,52.0,True,0.0
4,0,0,0,90,MC,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546274,0.22684861719608307,0,2,0,0,0.22684861719608307,0,0.0,0.0,10.0,0.0,23.6,47.0,41.0,2.0,0.0,4.4,20.0,2022-08-31T18:30:00Z,90.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,97152.0,1.0,2.0,0.0,1.0,-18904.0,1343.0,20247.0,53.0,False,1.0
5,0,1,0.022970052435994148,23,Sub,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545248,0.06745223701000214,0,1,0,0.022970052435994148,0.09042228758335114,0,0.0,0.0,4.0,0.0,11.8,47.0,32.0,1.0,0.0,2.7,6.4,2022-08-28T13:00:00Z,24.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,114625.0,1.0,0.0,9.0,1.0,-27037.0,2052.0,29089.0,53.0,True,0.0
6,0,0,0,90,MC,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542447,0.04559662565588951,0,1,0,0,0.07192565500736237,0.026329033076763153,0.0,0.0,14.0,0.0,12.6,47.0,22.0,3.0,0.0,2.0,7.6,2022-08-20T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,139775.0,1.0,3.0,0.0,2.0,-19268.0,8863.0,28131.0,54.0,False,0.0
7,0,0,0,90,MC,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540344,0.07799352705478668,0,1,0,0,0.2095227986574173,0.13152927160263062,0.0,0.0,14.0,0.0,18.5,47.0,12.0,1.0,0.0,3.8,13.4,2022-08-13T11:30:00Z,90.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,154255.0,1.0,2.0,6.0,2.0,-28430.0,4260.0,32690.0,55.0,True,0.0
8,0,2,0.058885879814624786,49,MC,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539416,0.1369110494852066,0,2,0,0.058885879814624786,0.15921376645565033,0.07671184092760086,0.0,0.0,11.0,0.0,22.3,47.0,2.0,1.0,0.0,4.0,10.0,2022-08-06T14:00:00Z,45.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,172950.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,55.0,False,1.0
9,0,0,0,86,MC,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537932,0,0,0,0,0,0.06013134494423866,0.06013134494423866,0.0,0.0,10.0,0.0,0.0,51.0,379.0,3.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,82.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,436865.0,2.0,3.0,0.0,2.0,-38140.0,5078.0,43218.0,47.0,False,0.0
10,0,1,0.022226402536034584,73,MC,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536809,0,0,0,0,0.022226402536034584,0.07612819969654083,0.0539017990231514,0.0,0.0,17.0,0.0,3.1,51.0,171.0,1.0,0.0,2.4,11.2,2022-05-19T19:00:00Z,71.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,462479.0,1.0,1.0,10.0,2.0,-56787.0,12816.0,69603.0,47.0,True,0.0
