,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,5,Sub,Brighton,Norwich,0,0,2022-04-02,16685,2021,522732,0,0,0,0,0,0,0,0,0,3,0,0.0,75,301,0,0,0.4,4.0,2022-04-02T14:00:00Z,5,15,0,0,0,0,31,0,61334,0,0,0.0,1,-1034,1214,2248,45,True,0
1,0,0,0,10,Sub,Brighton,Tottenham,0,2,2022-03-16,16528,2021,520734,0,0,0,0,0,0,0,0,0,4,0,0.6,75,153,0,0,0.7,2.0,2022-03-16T19:30:00Z,12,17,0,0,0,0,29,0,66111,2,0,4.0,1,-682,2712,3394,45,True,0
2,0,0,0,62,MC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517569,0.13870330154895782,0,1,0,0,0.13870330154895782,0,0,0,7,0,19.7,75,276,2,0,3.7,13.0,2022-03-05T15:00:00Z,58,14,0,0,0,0,28,0,65138,1,2,4.0,1,-3886,1242,5128,45,False,0
3,0,1,0.046312544494867325,65,MC,Brighton,Aston Villa,0,2,2022-02-26,16638,2021,516112,0.022924896329641342,0,1,0,0.046312544494867325,0.06923744082450867,0,0,0,9,0,15.7,75,263,1,0,4.4,7.8,2022-02-26T15:30:00Z,62,2,0,0,0,0,27,0,71024,2,0,20.0,2,-1162,1955,3117,45,True,0
4,0,0,0,57,MR,Brighton,Burnley,0,3,2022-02-19,16628,2021,514181,0,0,0,0,0,0,0,0,0,9,0,2.9,75,253,2,0,1.6,7.0,2022-02-19T15:00:00Z,54,5,0,0,0,0,26,0,70484,3,0,6.0,1,1014,5538,4524,45,True,0
5,0,3,0.38055336475372314,90,AMC,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513778,0.3140730857849121,0,1,0,0.38055336475372314,1.0639443397521973,0.3693178594112396,0,0,7,0,12.9,75,174,2,0,6.0,9.8,2022-02-15T20:15:00Z,90,13,0,0,0,0,25,0,70766,0,2,37.0,2,4537,7768,3231,45,False,0
6,0,3,0.3088546097278595,90,MC,Watford,Brighton,0,2,2022-02-12,16625,2021,512693,0.29353129863739014,0,1,0,0.3088546097278595,0.4822499752044678,0,0,0,14,1,17.5,75,250,0,0,9.4,23.2,2022-02-12T15:00:00Z,90,18,0,0,0,0,25,0,70766,2,0,53.0,3,4537,7768,3231,45,False,0
7,0,1,0.017743278294801712,90,AMC,Leicester,Brighton,1,1,2022-01-23,16602,2021,510224,0,0,0,0,0.017743278294801712,0.23917348682880402,0.2214302122592926,0,0,16,0,6.9,75,227,1,0,3.3,15.6,2022-01-23T14:00:00Z,90,9,0,0,0,0,23,0,66754,1,1,10.0,2,-2008,2783,4791,45,False,0
8,0,1,0.09475582838058472,90,FW,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508923,0,0,0,0,0.09475582838058472,0.5504902005195618,0.45573437213897705,0,0,14,0,5.5,75,232,1,0,2.3,7.8,2022-01-18T20:00:00Z,90,6,0,0,0,0,22,0,75339,1,1,10.0,2,-29,7074,7103,45,True,0
9,0,2,0.530659556388855,90,AMC,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507825,0,0,0,0,0.530659556388855,0.530659556388855,0,0,0,3,0,12.3,75,212,1,0,5.4,11.6,2022-01-14T20:00:00Z,90,7,0,0,0,0,22,0,75339,1,1,30.0,2,-29,7074,7103,45,True,0
