,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,3,Sub,Fulham,Newcastle United,1,4,2022-10-01,18285,2022,552390,0,0,0,0,0,0,0,0,0,3,0,0.8,372,84,1,0,0.6,1.0,2022-10-01T14:00:00Z,7,9,0,0,0,0,9,0,3195,4,1,4.0,1,-35,149,184,44,False,0
1,0,0,0,14,DL,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503374,0,0,0,0,0,0,0,0,0,5,0,0.0,311,169,0,0,0.1,1.0,2021-12-16T20:00:00Z,14,11,0,0,0,0,17,0,11762,1,3,0.0,1,27,822,795,42,False,0
2,0,0,0,64,DL,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502263,0.026890233159065247,0,1,0,0,0.08254258334636688,0.055652350187301636,0,0,6,0,11.2,311,157,2,0,1.9,7.8,2021-12-12T14:00:00Z,61,9,0,0,0,0,16,0,12225,0,4,0.0,0,3135,3753,618,42,False,1
3,0,0,0,90,DL,Newcastle United,Burnley,1,0,2021-12-04,16520,2021,499946,0,0,0,0,0,0.1080983430147171,0.1080983430147171,0,0,19,1,1.5,311,145,0,0,2.4,20.2,2021-12-04T15:00:00Z,90,5,0,0,0,0,15,0,8349,0,1,2.0,6,288,604,316,42,True,0
4,0,0,0,90,DL,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498644,0,0,0,0,0,0.02017948403954506,0.02017948403954506,0,0,6,0,0.8,311,138,1,0,1.1,9.8,2021-11-30T19:30:00Z,90,15,0,0,0,0,14,0,8003,1,1,0.0,2,128,391,263,42,True,0
5,0,0,0,3,Sub,Manchester United,Newcastle United,4,1,2021-09-11,16410,2021,480372,0,0,0,0,0,0.05987533554434776,0.05987533554434776,0,0,3,0,0.3,311,38,1,0,0.1,0.6,2021-09-11T14:00:00Z,6,13,0,0,0,0,4,0,9578,1,4,0.0,1,-1485,472,1957,44,False,0
6,0,0,0,1,Sub,Newcastle United,Manchester City,3,4,2021-05-14,14791,2020,470654,0,0,0,0,0,0,0,0,0,3,0,0.3,513,356,0,0,0.1,1.0,2021-05-14T19:00:00Z,6,12,0,0,0,0,36,0,92826,4,3,0.0,1,-1232,853,2085,41,True,0
7,0,1,0.03883187100291252,90,DL,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452589,0,0,0,0,0.03883187100291252,0.8821026086807251,0.8432707786560059,0,0,14,0,2.2,513,255,1,0,3.9,17.2,2021-02-27T20:00:00Z,90,20,0,0,0,0,26,0,112591,1,1,20.0,2,2444,12050,9606,42,True,0
8,0,0,0,90,DL,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451556,0,0,0,0,0,0.020952191203832626,0.020952191203832626,0,0,4,0,1.3,513,245,3,0,0.4,2.2,2021-02-21T19:00:00Z,90,13,0,0,0,0,25,0,109986,1,3,0.0,1,-1496,4028,5524,42,False,0
9,0,0,0,90,DL,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450122,0.050620973110198975,0,1,0,0,0.19153842329978943,0.14091745018959045,0,0,6,0,11.6,513,231,2,0,3.0,16.6,2021-02-15T20:00:00Z,90,5,0,0,0,0,24,0,110800,0,2,2.0,1,-4585,4673,9258,42,False,0
10,0,0,0,90,DL,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447666,0,0,0,0,0,0.4303113520145416,0.4303113520145416,0,0,15,0,0.5,513,225,2,0,1.5,14.2,2021-02-06T15:00:00Z,90,16,0,0,0,0,23,0,115456,2,3,0.0,1,-8794,4254,13048,42,True,0
11,0,0,0,90,DL,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446770,0.08555887639522552,0,2,0,0,0.2966742515563965,0.2966742515563965,0,0,15,0,28.6,513,217,2,0,4.6,17.6,2021-02-02T20:15:00Z,90,6,0,0,0,0,22,0,124581,2,1,0.0,1,14329,17284,2955,42,True,0
12,0,0,0,90,DL,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445396,0.43427127599716187,1,1,0,0,0.8068110942840576,0.37253981828689575,1,2,40,1,16.7,513,203,0,0,4.6,27.0,2021-01-30T12:30:00Z,90,7,0,0,0,0,21,0,109083,2,0,2.0,11,-5840,2113,7953,42,False,0
13,0,1,0.05909048393368721,90,DL,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444955,0.022654956206679344,0,1,0,0.05909048393368721,0.09968363493680954,0.017938192933797836,0,0,11,0,11.7,513,196,2,0,3.0,14.2,2021-01-26T18:00:00Z,90,10,0,0,0,0,20,0,114842,2,1,4.0,1,-8590,3994,12584,42,True,0
14,0,0,0,90,DL,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444401,0,0,0,0,0,0.035560742020606995,0.035560742020606995,0,0,2,0,1.1,513,99,2,0,0.3,0.0,2021-01-23T20:00:00Z,90,2,0,0,0,0,19,0,118026,0,2,4.0,1,-27104,441,27545,43,False,0
15,0,0,0,90,DL,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443051,0,0,0,0,0,0,0,0,0,6,0,1.0,513,179,3,0,1.0,9.2,2021-01-18T20:00:00Z,90,1,0,0,0,0,19,0,118026,0,3,0.0,1,-27104,441,27545,43,False,0
16,0,0,0,3,Sub,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438735,0,0,0,0,0,0,0,0,0,3,0,0.0,513,155,0,0,0.0,0.0,2020-12-30T20:00:00Z,4,11,0,0,0,0,16,0,190118,0,0,0.0,1,-13457,5495,18952,43,True,0
17,0,0,0,22,Sub,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438211,0,0,0,0,0,0,0,0,0,4,0,0.8,513,145,0,0,0.3,1.8,2020-12-26T20:00:00Z,24,12,0,0,0,0,15,0,202733,0,2,0.0,1,-27219,10273,37492,43,False,0
18,0,0,0,90,DL,Leeds,Newcastle United,5,2,2020-12-16,14558,2020,434658,0,0,0,0,0,0.049630798399448395,0.049630798399448395,0,0,9,0,0.7,513,122,5,0,1.2,9.6,2020-12-16T18:00:00Z,90,10,0,0,0,0,13,0,207878,2,5,2.0,0,7086,17779,10693,43,False,0
19,0,0,0,70,DL,Newcastle United,West Bromwich Albion,2,1,2020-12-12,14550,2020,433025,0,0,0,0,0,0,0,0,0,1,0,1.0,513,116,1,0,0.9,8.2,2020-12-12T15:00:00Z,68,18,0,0,0,0,12,0,202764,1,2,0.0,1,34021,40533,6512,43,True,1
20,0,1,0.021654270589351654,90,DL,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429246,0.07984666526317596,0,2,0,0.021654270589351654,0.15822133421897888,0.09826898574829102,0,0,23,1,26.0,513,92,0,0,5.6,22.6,2020-11-27T20:00:00Z,90,6,0,0,0,0,10,0,160124,2,0,7.0,6,4749,13712,8963,43,False,0
21,0,0,0,90,DL,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427648,0,0,0,0,0,0.17026260495185852,0.17026260495185852,0,0,5,0,5.0,513,85,2,0,1.7,11.8,2020-11-21T12:30:00Z,90,5,0,0,0,0,9,0,152916,2,0,0.0,1,-1460,13681,15141,43,True,0
22,0,0,0,90,DL,Southampton,Newcastle United,2,0,2020-11-06,14512,2020,425998,0.06258270144462585,0,2,0,0,0.06258270144462585,0,0,0,22,0,29.7,513,76,2,0,5.1,20.8,2020-11-06T20:00:00Z,90,16,0,0,0,0,8,0,154266,0,2,0.0,1,-5268,5809,11077,43,False,0
