,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DMC,Manchester City,Southampton,4,0,2022-10-08,18298,2022,554140,0.015113514848053455,0,1,0,0,0.03845955803990364,0.02334604412317276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.0987592488527298,90,MC,Southampton,Everton,1,2,2022-10-01,18290,2022,552307,0.48183131217956543,0,2,0,0.0987592488527298,0.3326822817325592,0.2865637540817261,0.0,,,,0.0,20.0,0.0,,,37.4,,,407.0,,,89.0,,2.0,0.0,7.1,,17.6,,2022-10-01T14:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,9.0,0.0,909663.0,,,,2.0,1.0,16.0,2.0,-83238.0,30178.0,113416.0,65.0,True,,0.0
2,0,2,0.06303883343935013,90,DMC,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550354,0.0156268160790205,0,1,0,0.06303883343935013,0.06303883343935013,0,0.0,,,,0.0,10.0,0.0,,,19.6,,,407.0,,,71.0,,1.0,0.0,4.7,,11.6,,2022-09-16T19:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,8.0,0.0,1076486.0,,,,0.0,1.0,16.0,1.0,128342.0,165505.0,37163.0,65.0,False,,1.0
3,0,2,0.13314443826675415,90,DMC,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547203,0.050679922103881836,0,2,0,0.13314443826675415,0.4270991086959839,0.3676842749118805,0.0,,,,0.0,18.0,0.0,,,32.4,,,407.0,,,60.0,,1.0,0.0,6.9,,21.8,,2022-09-03T14:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,6.0,0.0,908760.0,,,,0.0,1.0,15.0,2.0,15272.0,105516.0,90244.0,65.0,False,,0.0
4,0,0,0,90,AMC,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545955,0.26603350043296814,0,1,0,0,0.4824393093585968,0.4824393093585968,0.0,,,,0.0,0.0,0.0,,,16.3,,,407.0,,,50.0,,1.0,0.0,1.6,,0.0,,2022-08-30T18:45:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,5.0,0.0,878749.0,,,,1.0,2.0,0.0,1.0,-92396.0,19198.0,111594.0,65.0,True,,1.0
5,0,0,0,90,DMC,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544159,0.1636819839477539,0,4,0,0,0.3976716995239258,0.3720094561576843,0.0,,,,0.0,19.0,0.0,,,67.8,,,407.0,,,39.0,,1.0,0.0,9.4,,24.2,,2022-08-27T11:30:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,4.0,0.0,965151.0,,,,1.0,0.0,2.0,2.0,-32033.0,57187.0,89220.0,65.0,True,,0.0
6,0,0,0,90,DMC,Leicester,Southampton,1,2,2022-08-20,18226,2022,542388,0.7358779907226562,1,4,0,0,0.39529162645339966,0.39529162645339966,1.0,,,,2.0,31.0,0.0,,,59.8,,,407.0,,,26.0,,1.0,0.0,9.2,,32.4,,2022-08-20T14:00:00Z,,,,90.0,,,10.0,0.0,,0.0,0.0,,0.0,3.0,0.0,971090.0,,,,2.0,1.0,0.0,7.0,-32738.0,90397.0,123135.0,65.0,False,,0.0
7,0,1,0.034206777811050415,90,MC,Southampton,Leeds,2,2,2022-08-13,18215,2022,540592,0,0,0,0,0.034206777811050415,0.03618669882416725,0.03618669882416725,0.0,,,,0.0,8.0,0.0,,,3.2,,,407.0,,,19.0,,2.0,0.0,1.4,,9.6,,2022-08-13T14:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,2.0,0.0,987759.0,,,,2.0,2.0,1.0,2.0,130490.0,169232.0,38742.0,65.0,True,,0.0
8,1,2,0.05786276236176491,90,MC,Tottenham,Southampton,4,1,2022-08-06,18207,2022,539506,0.12780749797821045,0,3,1,0.05786276236176491,0.1413804143667221,0,0.0,,,,2.0,33.0,0.0,,,56.1,,,407.0,,,8.0,,4.0,1.0,12.9,,49.2,,2022-08-06T14:00:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,1.0,0.0,717828.0,,,,1.0,4.0,24.0,9.0,0.0,0.0,0.0,65.0,False,,0.0
9,1,3,0.8558617830276489,90,MC,Leicester,Southampton,4,1,2022-05-22,16752,2021,537876,0,0,0,0,0.09469294548034668,0.16267044842243195,0.13672590255737305,0.0,,,,0.0,29.0,0.0,,,0.0,,,341.0,,,377.0,,4.0,1.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,38.0,0.0,482522.0,,,,1.0,4.0,0.0,7.0,-17129.0,12891.0,30020.0,64.0,False,,0.0
10,0,1,0.038546208292245865,90,MC,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536753,0,0,0,0,0.038546208292245865,0.016933586448431015,0.016933586448431015,0.0,,,,0.0,14.0,0.0,,,1.5,,,341.0,,,366.0,,2.0,0.0,2.5,,15.4,,2022-05-17T18:45:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,37.0,0.0,489573.0,,,,2.0,1.0,8.0,2.0,-54839.0,8398.0,63237.0,64.0,True,,0.0
11,0,3,0.22563834488391876,90,MC,Brentford,Southampton,3,0,2022-05-07,16734,2021,534220,0.09520868211984634,0,3,0,0.22563834488391876,0.3389819860458374,0.3234710991382599,0.0,,,,0.0,18.0,0.0,,,45.1,,,341.0,,,352.0,,3.0,0.0,8.8,,17.8,,2022-05-07T14:00:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,36.0,0.0,544054.0,,,,0.0,3.0,25.0,2.0,-69013.0,24642.0,93655.0,65.0,False,,0.0
12,0,1,0.031737081706523895,90,MC,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530532,0.12368207424879074,1,1,0,0.031737081706523895,0.031737081706523895,0,1.0,,,,0.0,24.0,0.0,,,20.8,,,341.0,,,346.0,,2.0,0.0,4.5,,23.0,,2022-04-30T14:00:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,35.0,0.0,630049.0,,,,2.0,1.0,1.0,5.0,70776.0,92652.0,21876.0,64.0,True,,0.0
