,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.014664387330412865,90,DR,Watford,Leicester,1,5,2022-05-15,16738,2021,536054,0.6752225160598755,0,1,0,0.014664387330412865,0.6752225160598755,0.6752225160598755,0,0,26,0,18.4,400,368,5,0,3.6,16.8,2022-05-15T13:00:00Z,90,9,0,0,0,0,37,0,4533,5,1,1.0,0,324,412,88,42,True,0
1,0,0,0,90,DR,Watford,Everton,0,0,2022-05-11,16674,2021,534803,0,0,0,0,0,0,0,0,2,28,1,3.1,400,299,0,0,2.5,21.4,2022-05-11T18:45:00Z,90,8,0,0,0,0,36,0,4113,0,0,0.0,8,-21,68,89,42,True,0
2,0,0,0,90,DR,Manchester City,Watford,5,1,2022-04-23,16707,2021,528655,0.027758367359638214,0,1,0,0,0.06048198416829109,0.06048198416829109,0,0,9,0,10.8,400,339,5,0,2.8,17.6,2022-04-23T14:00:00Z,90,12,0,0,0,0,34,0,4073,1,5,0.0,0,28,104,76,42,False,0
3,0,2,0.033898767083883286,64,DR,Manchester United,Watford,0,0,2022-02-26,16643,2021,516062,0,0,0,0,0.033898767083883286,0.05044584721326828,0.05044584721326828,0,0,19,1,0.4,400,268,0,0,1.6,7.0,2022-02-26T15:00:00Z,62,13,0,0,0,0,27,0,4139,0,0,9.0,6,-103,17,120,43,False,0
4,0,0,0,12,Sub,West Ham,Watford,1,0,2022-02-08,16610,2021,512115,0,0,0,0,0,0,0,0,0,5,0,0.2,400,235,0,0,0.3,3.0,2022-02-08T19:45:00Z,12,19,0,0,0,0,24,0,4345,0,1,0.0,1,-213,45,258,43,False,0
5,0,0,0,68,DR,Newcastle United,Watford,1,1,2022-01-15,16591,2021,508096,0.053279414772987366,0,1,0,0,0.10114719718694687,0.10114719718694687,0,0,8,0,18.2,400,216,1,0,3.9,21.2,2022-01-15T15:00:00Z,65,14,0,0,0,0,22,0,4713,1,1,0.0,2,248,579,331,43,False,0
6,0,0,0,90,DL,Brentford,Watford,2,1,2021-12-10,16527,2021,501331,0,0,0,0,0,0,0,0,0,11,0,0.5,400,152,2,0,1.3,12.6,2021-12-10T20:00:00Z,90,3,0,0,0,0,16,0,3914,1,2,0.0,1,19,114,95,43,False,0
7,0,1,0.026289457455277443,17,Sub,Watford,Manchester City,1,3,2021-12-04,16523,2021,500158,0,0,0,0,0.026289457455277443,0,0,0,0,2,0,0.1,400,148,0,0,0.2,0.8,2021-12-04T17:30:00Z,19,12,0,0,0,0,15,0,3819,3,1,1.0,1,-64,38,102,43,True,0
8,0,0,0,1,Sub,Watford,Chelsea,1,2,2021-12-01,16509,2021,499304,0,0,0,0,0,0.045432694256305695,0.045432694256305695,0,0,1,0,0.8,400,135,0,0,0.2,0.0,2021-12-01T19:30:00Z,5,6,0,0,0,0,14,0,3866,2,1,2.0,1,-40,43,83,43,True,0
9,0,0,0,84,DR,Watford,Southampton,0,1,2021-10-30,16474,2021,492183,0,0,0,0,0,0.1397234946489334,0.1397234946489334,0,0,8,0,1.8,400,99,1,0,1.0,8.6,2021-10-30T14:00:00Z,81,16,0,0,0,0,10,0,3963,1,0,0.0,2,-61,144,205,44,True,0
10,0,0,0,80,DR,Everton,Watford,2,5,2021-10-23,16461,2021,489979,0,0,0,0,0,0.4562593400478363,0.4562593400478363,0,0,5,0,1.2,400,86,2,0,0.9,8.2,2021-10-23T14:00:00Z,75,8,0,0,0,0,9,0,3923,5,2,0.0,1,-19,94,113,44,False,0
11,0,0,0,33,Sub,Watford,Liverpool,0,5,2021-10-16,16455,2021,487845,0.10353804379701614,0,1,0,0,0.11233831942081451,0.008800272829830647,0,0,8,0,14.1,400,80,1,0,3.0,15.4,2021-10-16T11:30:00Z,34,11,0,0,0,0,8,0,3885,5,0,0.0,1,-157,61,218,44,True,0
12,0,0,0,19,Sub,Watford,Newcastle United,1,1,2021-09-25,16427,2021,484769,0,0,0,0,0,0,0,0,0,4,0,0.6,400,60,0,0,0.5,4.8,2021-09-25T14:00:00Z,23,14,0,0,0,0,6,0,4069,1,1,0.0,1,-162,114,276,44,True,0
13,0,1,0.01828899420797825,29,Sub,Norwich,Watford,1,3,2021-09-18,16418,2021,482169,0,0,0,0,0.01828899420797825,0.39471837878227234,0.37642937898635864,0,0,3,0,1.1,400,47,0,0,0.6,4.2,2021-09-18T14:00:00Z,31,15,0,0,0,0,5,0,4119,3,1,1.0,1,-30,305,335,44,False,0
14,0,0,0,90,DR,Watford,Wolverhampton Wanderers,0,2,2021-09-11,16412,2021,480294,0,0,0,0,0,0.056018613278865814,0.056018613278865814,0,0,14,0,2.3,400,40,2,0,2.2,17.8,2021-09-11T14:00:00Z,90,20,0,0,0,0,4,0,3993,2,0,2.0,1,-315,238,553,44,True,0
15,0,0,0,38,Sub,Tottenham,Watford,1,0,2021-08-29,16404,2021,479415,0,0,0,0,0,0.22969241440296173,0.22969241440296173,0,0,3,0,0.4,400,27,0,0,1.3,12.4,2021-08-29T13:00:00Z,39,17,0,0,0,0,3,0,4074,0,1,0.0,1,-553,64,617,44,False,0
16,0,1,0.014036504551768303,82,DR,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401363,0,0,0,0,0.014036504551768303,0.3008788228034973,0.28684231638908386,0,0,7,0,2.2,593,300,1,0,3.2,20.8,2020-06-20T16:30:00Z,80,20,0,0,0,0,39,0,16833,2,0,9.0,2,5795,11100,5305,40,True,0
17,0,0,0,90,DR,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387767,0,0,0,0,0,0.4889502227306366,0.4889502227306366,0,0,12,0,0.2,593,281,1,0,1.1,10.6,2020-03-07T15:00:00Z,90,1,0,0,0,0,29,0,8746,0,1,0.0,2,3092,3838,746,40,False,0
18,0,0,0,90,DR,West Ham,Southampton,3,1,2020-02-29,11922,2019,387507,0,0,0,0,0,0,0,0,0,9,0,0.1,593,280,1,0,1.6,15.4,2020-02-29T15:00:00Z,90,16,0,0,0,0,28,0,5844,1,3,0.0,2,1927,2249,322,40,True,0
19,0,0,0,90,DR,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387387,0,0,0,0,0,0.08711265027523041,0.08711265027523041,0,0,9,0,4.6,593,266,3,0,2.9,24.8,2020-02-24T20:00:00Z,90,10,0,0,0,0,27,0,2303,2,3,0.0,1,216,424,208,40,False,0
20,0,0,0,90,DR,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386553,0,0,0,0,0,0.015023124404251575,0.015023124404251575,0,0,11,0,3.6,593,180,2,0,1.0,6.4,2020-01-29T19:45:00Z,90,10,0,0,0,0,24,0,464,2,0,0.0,1,55,83,28,40,True,0
21,,,,,,,,,,2020-01-10,,,,,,,,,,,0,0,0,0,0.0,593,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,15,0,0,0,0,22,0,0,0,1,0.0,0,0,0,0,40,False,0
22,,,,,,,,,,2020-01-18,,,,,,,,,,,0,0,0,0,0.0,593,230,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,8,0,0,0,0,23,0,280,1,1,0.0,0,88,107,19,40,True,0
23,,,,,,,,,,2020-01-22,,,,,,,,,,,0,0,0,0,0.0,593,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,9,0,0,0,0,24,0,464,1,4,0.0,0,55,83,28,40,False,0
24,,,,,,,,,,2020-02-01,,,,,,,,,,,0,0,0,0,0.0,593,250,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,4,0,0,0,0,25,0,1619,3,3,0.0,0,860,1054,194,40,True,0
25,,,,,,,,,,2020-02-19,,,,,,,,,,,0,0,0,0,0.0,593,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,11,0,0,0,0,26,0,1846,0,2,0.0,0,115,314,199,40,False,0
26,,,,,,,,,,2020-06-23,,,,,,,,,,,0,0,0,0,0.0,593,309,0,0,0.0,0.0,2020-06-23T19:15:00Z,0,17,0,0,0,0,40,0,24679,0,2,0.0,0,6904,10208,3304,40,False,0
27,,,,,,,,,,2020-07-01,,,,,,,,,,,0,0,0,0,0.0,593,320,0,0,0.0,0.0,2020-07-01T19:15:00Z,0,6,0,0,0,0,41,0,20601,2,3,0.0,0,-2441,663,3104,40,True,0
28,,,,,,,,,,2020-07-05,,,,,,,,,,,0,0,0,0,0.0,593,326,0,0,0.0,0.0,2020-07-05T13:15:00Z,0,13,0,0,0,0,42,0,16825,2,2,0.0,0,-3637,37,3674,40,False,0
29,,,,,,,,,,2020-07-08,,,,,,,,,,,0,0,0,0,0.0,593,340,0,0,0.0,0.0,2020-07-08T17:00:00Z,0,5,0,0,0,0,43,0,15250,1,0,0.0,0,-1879,16,1895,40,True,0
30,,,,,,,,,,2020-07-11,,,,,,,,,,,0,0,0,0,0.0,593,346,0,0,0.0,0.0,2020-07-11T11:30:00Z,0,14,0,0,0,0,44,0,13690,4,0,0.0,0,-1540,20,1560,40,False,0
31,,,,,,,,,,2020-07-17,,,,,,,,,,,0,0,0,0,0.0,593,360,0,0,0.0,0.0,2020-07-17T19:00:00Z,0,18,0,0,0,0,45,0,11996,1,3,0.0,0,-1062,12,1074,40,True,0
32,,,,,,,,,,2020-07-22,,,,,,,,,,,0,0,0,0,0.0,593,365,0,0,0.0,0.0,2020-07-22T17:00:00Z,0,12,0,0,0,0,46,0,11733,1,1,0.0,0,-987,39,1026,40,False,0
33,,,,,,,,,,2020-07-26,,,,,,,,,,,0,0,0,0,0.0,593,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,9892,1,1,0.0,0,-927,34,961,40,True,0
34,,,,,,,,,,2021-08-14,,,,,,,,,,,0,0,0,0,0.0,400,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,4345,2,3,0.0,0,0,0,0,45,True,0
35,,,,,,,,,,2021-08-21,,,,,,,,,,,0,0,0,0,0.0,400,12,0,0,0.0,0.0,2021-08-21T16:30:00Z,0,4,0,0,0,0,2,0,4391,0,2,0.0,0,-696,43,739,45,False,0
36,,,,,,,,,,2021-10-02,,,,,,,,,,,0,0,0,0,0.0,400,65,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,10,0,0,0,0,7,0,3959,0,1,0.0,0,-159,58,217,44,False,0
37,,,,,,,,,,2021-11-07,,,,,,,,,,,0,0,0,0,0.0,400,101,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,1,0,0,0,0,11,0,3972,0,1,0.0,0,-39,70,109,43,False,0
38,,,,,,,,,,2021-11-20,,,,,,,,,,,0,0,0,0,0.0,400,119,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,13,0,0,0,0,12,0,3950,1,4,0.0,0,-79,58,137,43,True,0
39,,,,,,,,,,2021-11-28,,,,,,,,,,,0,0,0,0,0.0,400,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,3878,2,4,0.0,0,-109,18,127,43,False,0
40,,,,,,,,,,2021-12-28,,,,,,,,,,,0,0,0,0,0.0,400,200,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,19,0,0,0,0,20,0,4031,4,1,0.0,0,29,73,44,43,True,0
41,,,,,,,,,,2022-01-01,,,,,,,,,,,0,0,0,0,0.0,400,210,0,0,0.0,0.0,2022-01-01T15:00:00Z,0,17,0,0,0,0,21,0,4032,1,0,0.0,0,-3,114,117,43,True,0
42,,,,,,,,,,2022-01-21,,,,,,,,,,,0,0,0,0,0.0,400,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,15,0,0,0,0,23,0,4560,3,0,0.0,0,212,437,225,43,True,0
43,,,,,,,,,,2022-02-05,,,,,,,,,,,0,0,0,0,0.0,400,164,0,0,0.0,0.0,2022-02-05T18:00:00Z,0,5,0,0,0,0,23,0,4560,0,0,0.0,0,212,437,225,43,False,0
44,,,,,,,,,,2022-02-12,,,,,,,,,,,0,0,0,0,0.0,400,250,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,4,0,0,0,0,25,0,4292,2,0,0.0,0,-76,39,115,43,True,0
45,,,,,,,,,,2022-02-19,,,,,,,,,,,0,0,0,0,0.0,400,252,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,2,0,0,0,0,26,0,4219,1,0,0.0,0,-94,31,125,43,False,0
46,,,,,,,,,,2022-02-23,,,,,,,,,,,0,0,0,0,0.0,400,178,0,0,0.0,0.0,2022-02-23T19:30:00Z,0,7,0,0,0,0,26,0,4219,4,1,0.0,0,-94,31,125,43,True,0
47,,,,,,,,,,2022-03-06,,,,,,,,,,,0,0,0,0,0.0,400,279,0,0,0.0,0.0,2022-03-06T14:00:00Z,0,1,0,0,0,0,28,0,4220,3,2,0.0,0,35,106,71,43,True,0
