,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,7,MC,Swansea,Stoke,1,2,2018-05-13,7491,2017,240084,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.3,0.0,0.0,337.0,0.0,0.0,378.0,0.0,0.0,0.0,0.1,22158.0,0.2,0.0,2018-05-13T14:00:00Z,13 May 15:00,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,98247.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-1370.0,597.0,1967.0,51.0,False,0.0,0.0
1,0,1,0.12456344813108444,90,MC,Stoke,Crystal Palace,1,2,2018-05-05,7481,2017,237184,0,0,0,0,0.12456344813108444,0.33473506569862366,0.33473506569862366,0.0,29.0,0.0,0.0,0.0,5.0,0.0,2.0,24.0,1.5,0.0,0.0,337.0,0.0,0.0,368.0,2.0,2.0,0.0,2.3,21338.0,10.0,0.0,2018-05-05T11:30:00Z,05 May 12:30,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,0.0,99493.0,0.0,0.0,1.0,2.0,1.0,11.0,2.0,-2411.0,647.0,3058.0,51.0,True,0.0,0.0
2,0,0,0,90,MC,Liverpool,Stoke,0,0,2018-04-28,7472,2017,235536,0,0,0,0,0,0,0,0.0,32.0,0.0,0.0,0.0,21.0,1.0,6.0,23.0,2.0,1.0,0.0,337.0,0.0,0.0,354.0,0.0,0.0,0.0,2.7,20494.0,25.4,0.0,2018-04-28T11:30:00Z,28 Apr 12:30,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,36.0,0.0,102040.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,-2824.0,442.0,3266.0,51.0,False,0.0,0.0
3,0,0,0,90,MC,Stoke,Burnley,1,1,2018-04-22,7466,2017,234770,0.01272799726575613,0,1,0,0,0.1228180080652237,0.1228180080652237,0.0,39.0,0.0,0.0,0.0,11.0,0.0,8.0,31.0,11.7,2.0,0.0,337.0,0.0,0.0,348.0,3.0,1.0,0.0,2.9,19928.0,17.6,1.0,2018-04-22T12:30:00Z,22 Apr 13:30,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,35.0,0.0,104848.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,-235.0,1679.0,1914.0,51.0,True,0.0,0.0
4,0,0,0,90,MC,West Ham,Stoke,1,1,2018-04-16,7458,2017,233199,0.06459516286849976,0,1,0,0,0.05389542132616043,0.05389542132616043,0.0,32.0,0.0,0.0,0.0,8.0,0.0,6.0,21.0,12.1,1.0,0.0,337.0,0.0,0.0,340.0,4.0,1.0,0.0,3.0,19366.0,15.8,1.0,2018-04-16T19:00:00Z,16 Apr 20:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,34.0,0.0,104231.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,-2386.0,2085.0,4471.0,51.0,False,0.0,0.0
5,0,1,0.06466437876224518,90,MC,Stoke,Tottenham,1,2,2018-04-07,7446,2017,230437,0.06256303191184998,0,1,0,0.06466437876224518,0.12722741067409515,0,0.0,40.0,0.0,0.0,0.0,15.0,0.0,3.0,27.0,20.1,2.0,0.0,337.0,0.0,0.0,328.0,3.0,2.0,0.0,5.7,18569.0,17.4,1.0,2018-04-07T14:00:00Z,07 Apr 15:00,0.0,0.0,90.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,11.0,0.0,33.0,0.0,107134.0,0.0,2.0,0.0,2.0,1.0,19.0,2.0,-3535.0,1547.0,5082.0,51.0,True,0.0,0.0
6,0,0,0,90,MC,Arsenal,Stoke,3,0,2018-04-01,7429,2017,226992,0.05376891791820526,0,1,0,0,0.06549022346735,0.06549022346735,0.0,36.0,0.0,0.0,0.0,10.0,0.0,3.0,31.0,21.3,1.0,0.0,337.0,0.0,0.0,311.0,1.0,3.0,0.0,3.7,17932.0,15.4,1.0,2018-04-01T12:30:00Z,01 Apr 13:30,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,32.0,0.0,110533.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,-6189.0,2147.0,8336.0,51.0,False,0.0,1.0
7,0,1,0.08263254165649414,90,MC,Stoke,Everton,1,2,2018-03-17,7425,2017,223990,0.5638352632522583,1,1,0,0.08263254165649414,0.2180810272693634,0.13544848561286926,1.0,57.0,1.0,0.0,2.0,28.0,0.0,2.0,45.0,13.8,1.0,0.0,337.0,0.0,0.0,307.0,1.0,2.0,0.0,6.3,17468.0,27.2,1.0,2018-03-17T15:00:00Z,17 Mar 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,31.0,0.0,124743.0,1.0,2.0,0.0,2.0,1.0,22.0,7.0,3094.0,5954.0,2860.0,51.0,True,0.0,0.0
8,0,0,0,90,MC,Stoke,Manchester City,0,2,2018-03-12,7416,2017,223520,0.011930285021662712,0,1,0,0,0,0,0.0,24.0,0.0,0.0,0.0,11.0,0.0,4.0,19.0,13.8,1.0,0.0,337.0,0.0,0.0,298.0,1.0,2.0,0.0,2.6,17031.0,12.2,1.0,2018-03-12T20:00:00Z,12 Mar 20:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,0.0,112899.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,-3298.0,1807.0,5105.0,51.0,True,0.0,1.0
9,0,0,0,90,MC,Southampton,Stoke,0,0,2018-03-03,7405,2017,220961,0,0,0,0,0,0.16787777841091156,0.16787777841091156,0.0,33.0,0.0,0.0,0.0,16.0,1.0,7.0,28.0,12.1,2.0,0.0,337.0,0.0,0.0,287.0,0.0,0.0,0.0,2.6,16398.0,13.4,0.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,29.0,0.0,108527.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,246.0,3893.0,3647.0,51.0,False,0.0,0.0
10,0,0,0,90,MC,Leicester,Stoke,1,1,2018-02-24,7396,2017,218980,0.05199667811393738,1,2,0,0,0.05199667811393738,0,1.0,26.0,0.0,0.0,0.0,13.0,0.0,6.0,19.0,24.2,1.0,0.0,337.0,0.0,0.0,276.0,2.0,1.0,0.0,5.9,15768.0,34.8,2.0,2018-02-24T12:30:00Z,24 Feb 12:30,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,108146.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,-6489.0,2124.0,8613.0,51.0,False,0.0,1.0
11,0,0,0,90,MC,Stoke,Brighton,1,1,2018-02-10,7385,2017,215221,0.01717449352145195,0,1,0,0,0.028881866484880447,0.011707372963428497,0.0,62.0,0.0,0.0,0.0,5.0,0.0,4.0,48.0,20.7,0.0,0.0,337.0,0.0,0.0,267.0,1.0,1.0,0.0,3.9,15141.0,12.2,1.0,2018-02-10T15:00:00Z,10 Feb 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,27.0,0.0,114336.0,6.0,0.0,0.0,1.0,1.0,6.0,2.0,-5599.0,4219.0,9818.0,51.0,True,0.0,0.0
12,0,1,0.047210223972797394,90,MC,Bournemouth,Stoke,2,1,2018-02-03,7370,2017,214826,0,0,0,0,0.047210223972797394,0.14650394022464752,0.09929372370243073,0.0,34.0,0.0,0.0,0.0,14.0,0.0,4.0,27.0,6.0,0.0,0.0,337.0,0.0,0.0,252.0,3.0,2.0,0.0,3.8,14516.0,14.0,0.0,2018-02-03T15:00:00Z,03 Feb 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,26.0,0.0,119627.0,1.0,3.0,0.0,1.0,2.0,18.0,2.0,2115.0,8801.0,6686.0,51.0,False,0.0,0.0
13,0,1,0.08088934421539307,90,AMC,Stoke,Watford,0,0,2018-01-31,7368,2017,215550,0,0,0,0,0.08088934421539307,0.18514879047870636,0.1042594462633133,0.0,26.0,0.0,0.0,0.0,5.0,1.0,3.0,20.0,2.3,1.0,0.0,337.0,0.0,0.0,249.0,3.0,0.0,0.0,2.0,13903.0,11.2,0.0,2018-01-31T20:00:00Z,31 Jan 20:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0,0.0,117232.0,3.0,1.0,1.0,0.0,0.0,6.0,3.0,31097.0,37162.0,6065.0,51.0,True,0.0,0.0
14,1,1,0.12821733951568604,90,AMC,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209259,0.04631974548101425,0,1,1,0.12821733951568604,0.17453709244728088,0,0.0,29.0,0.0,0.0,3.0,32.0,1.0,4.0,21.0,12.8,0.0,0.0,337.0,0.0,0.0,238.0,2.0,0.0,1.0,8.6,13300.0,49.8,1.0,2018-01-20T15:00:00Z,20 Jan 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,85062.0,2.0,2.0,0.0,0.0,2.0,23.0,11.0,-1400.0,3559.0,4959.0,51.0,True,1.0,0.0
15,0,1,0.02298864722251892,90,MC,Manchester United,Stoke,3,0,2018-01-15,7344,2017,208445,0.03607304021716118,0,1,0,0.02298864722251892,0.5337709188461304,0.5107822418212891,0.0,46.0,0.0,0.0,0.0,14.0,0.0,2.0,42.0,13.7,1.0,0.0,337.0,0.0,0.0,226.0,1.0,3.0,0.0,3.0,12702.0,8.4,1.0,2018-01-15T20:00:00Z,15 Jan 20:00,0.0,0.0,90.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,86239.0,1.0,0.0,0.0,0.0,3.0,8.0,2.0,-3594.0,4399.0,7993.0,51.0,False,0.0,0.0
16,0,0,0,90,MC,Stoke,Newcastle United,0,1,2018-01-01,7337,2017,206636,0.01441098004579544,0,1,0,0,0,0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,14.7,1.0,0.0,337.0,0.0,1.0,218.0,2.0,1.0,0.0,1.5,12050.0,0.0,1.0,2018-01-01T15:00:00Z,01 Jan 15:00,0.0,0.0,90.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,22.0,0.0,89421.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,3856.0,9077.0,5221.0,51.0,True,0.0,1.0
17,0,1,0.09147842228412628,90,AMC,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205657,0.2043975591659546,1,3,0,0.09147842228412628,0.21118904650211334,0,1.0,42.0,0.0,0.0,1.0,23.0,0.0,5.0,35.0,39.2,1.0,0.0,337.0,0.0,0.0,194.0,2.0,1.0,0.0,13.6,10938.0,49.2,3.0,2017-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,77059.0,5.0,1.0,0.0,1.0,1.0,48.0,6.0,7634.0,9207.0,1573.0,51.0,False,0.0,0.0
18,1,1,0.4601761996746063,90,AMC,Stoke,West Bromwich Albion,3,1,2017-12-23,7306,2017,205450,0.5579591393470764,1,1,1,0.4601761996746063,1.042378306388855,0.02424294874072075,1.0,33.0,1.0,0.0,2.0,41.0,0.0,2.0,26.0,24.5,2.0,0.0,337.0,0.0,0.0,188.0,0.0,1.0,1.0,12.3,10353.0,65.2,1.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,68811.0,2.0,0.0,0.0,1.0,3.0,33.0,12.0,-1560.0,817.0,2377.0,51.0,True,0.0,0.0
