,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.07820940762758255,1,Sub,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554737,0,0,0,0,0.07820940762758255,0.07820940762758255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.10874006152153015,62,FW,Brentford,Leeds,5,2,2022-09-03,18257,2022,547239,0,0,0,0,0.10874006152153015,0.10874006152153015,0,0.0,0.0,-1.0,0.0,2.7,242.0,52.0,3.0,0.0,1.4,0.0,2022-09-03T14:00:00Z,58.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,35752.0,2.0,5.0,14.0,1.0,-2801.0,3702.0,6503.0,53.0,False,0.0
2,0,2,0.52496737241745,49,Sub,Leeds,Everton,1,1,2022-08-30,18245,2022,545988,0,0,0,0,0.52496737241745,0.6236438751220703,0.09867650270462036,0.0,0.0,-3.0,0.0,2.2,242.0,45.0,0.0,0.0,3.1,1.4,2022-08-30T19:00:00Z,44.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,37768.0,1.0,1.0,27.0,1.0,-3892.0,1782.0,5674.0,54.0,True,0.0
3,0,1,0.01670883037149906,5,Sub,Brighton,Leeds,1,0,2022-08-27,18234,2022,544426,0,0,0,0,0.01670883037149906,0.01670883037149906,0,0.0,0.0,3.0,0.0,0.3,242.0,34.0,0.0,0.0,1.0,1.4,2022-08-27T14:00:00Z,8.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,40997.0,0.0,1.0,8.0,1.0,-3315.0,3173.0,6488.0,54.0,False,0.0
4,0,0,0,5,Sub,Leeds,Chelsea,3,0,2022-08-21,18228,2022,543085,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.1,242.0,25.0,0.0,0.0,0.0,0.0,2022-08-21T13:00:00Z,7.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,42521.0,0.0,3.0,0.0,1.0,-12330.0,1002.0,13332.0,54.0,True,0.0
5,0,0,0,4,Sub,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539438,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.3,242.0,5.0,0.0,0.0,0.1,0.2,2022-08-06T14:00:00Z,6.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,57638.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,55.0,True,0.0
6,0,0,0,73,FW,Brentford,Leeds,1,2,2022-05-22,16747,2021,537712,0,0,0,0,0,0.010190636850893497,0.010190636850893497,0.0,0.0,0.0,1.0,0.0,577.0,372.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,70.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,391056.0,2.0,1.0,0.0,2.0,39661.0,55974.0,16313.0,47.0,False,0.0
7,0,3,0.6486418843269348,90,FW,Leeds,Brighton,1,1,2022-05-15,16743,2021,536089,0.33774569630622864,1,2,0,0.6486418843269348,0.8881434798240662,0.4837764501571655,1.0,0.0,12.0,0.0,22.3,577.0,363.0,1.0,0.0,8.7,15.6,2022-05-15T13:00:00Z,90.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,325496.0,1.0,1.0,49.0,5.0,2557.0,27502.0,24945.0,47.0,True,0.0
8,0,0,0,7,Sub,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534755,0.3594069480895996,0,1,0,0,0.3594069480895996,0,0.0,0.0,8.0,0.0,15.3,577.0,323.0,1.0,0.0,1.9,4.0,2022-05-11T18:30:00Z,12.0,6.0,0.0,0.0,0.0,0.0,36.0,0.0,336656.0,3.0,0.0,0.0,1.0,5625.0,33215.0,27590.0,47.0,True,0.0
9,0,0,0,28,FW,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533476,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,1.3,577.0,351.0,2.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,28.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,336656.0,1.0,2.0,0.0,1.0,5625.0,33215.0,27590.0,47.0,False,0.0
10,0,2,0.31789955496788025,21,Sub,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530718,0.5193670988082886,0,1,0,0.31789955496788025,0.8372666239738464,0,0.0,0.0,3.0,0.0,13.5,577.0,343.0,2.0,0.0,6.2,5.2,2022-04-30T16:30:00Z,28.0,12.0,0.0,0.0,0.0,0.0,35.0,0.0,326023.0,4.0,0.0,43.0,1.0,-327.0,16367.0,16694.0,47.0,True,0.0
