,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.11160822957754135,90,DC,Rennes,Nantes,3,0,2022-10-09,19746,2022,555020,0,0,0,0,0.11160822957754135,0.042317721992731094,0.042317721992731094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,Strasbourg,Rennes,1,3,2022-10-01,19735,2022,552469,0,0,0,0,0,0.0874732956290245,0.0874732956290245,0.0,,,,0.0,0.0,0.0,,,0.0,,,442.0,,,81.0,,0.0,0.0,0.0,,0.0,,2022-10-01T11:30:00Z,,,,0.0,,,1.0,0.0,,0.0,0.0,,0.0,9.0,0.0,5202.0,,,,1.0,3.0,0.0,0.0,-219.0,0.0,219.0,40.0,False,,0.0
2,0,1,0.10949397832155228,90,DC,Marseille,Rennes,1,1,2022-09-18,19725,2022,551244,0,0,0,0,0.10949397832155228,0.045822594314813614,0.045822594314813614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Rennes,Auxerre,5,0,2022-09-11,19716,2022,549869,0,0,0,0,0,0.1225530207157135,0.1225530207157135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.07532726228237152,90,DC,Troyes,Rennes,1,1,2022-09-04,19707,2022,548076,0,0,0,0,0.07532726228237152,0.29928019642829895,0.29928019642829895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,0.11286777257919312,90,DC,Rennes,Brest,3,1,2022-08-31,19696,2022,546554,0,0,0,1,0.11286777257919312,0.05838653817772865,0.05838653817772865,0.0,,,,0.0,0.0,0.0,,,0.0,,,442.0,,,47.0,,0.0,0.0,0.0,,0.0,,2022-08-31T18:45:00Z,,,,0.0,,,19.0,0.0,,0.0,0.0,,0.0,5.0,0.0,6322.0,,,,1.0,1.0,0.0,0.0,-470.0,0.0,470.0,40.0,False,,0.0
6,0,0,0,90,DC,Lens,Rennes,2,1,2022-08-27,19684,2022,544909,0,0,0,0,0,0.43902772665023804,0.43902772665023804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Monaco,Rennes,1,1,2022-08-13,19659,2022,540750,0,0,0,0,0,0.2682884931564331,0.2682884931564331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.06607912480831146,90,DC,Rennes,Lorient,0,1,2022-08-07,19656,2022,540035,0,0,0,0,0.06607912480831146,0.20786124467849731,0.20786124467849731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,1,Sub,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536011,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.1,,,374.0,,,367.0,,0.0,0.0,0.0,,0.2,,2022-05-15T11:00:00Z,,,,1.0,,,5.0,0.0,,0.0,0.0,,0.0,37.0,0.0,5898.0,,,,0.0,1.0,0.0,1.0,7.0,46.0,39.0,42.0,True,,0.0
