,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,22,Sub,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554097,0,0,0,0,0,0.0998036339879036,0.0998036339879036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.17083722352981567,90,MC,Newcastle United,Bournemouth,1,1,2022-09-17,18275,2022,550679,0,0,0,0,0.17083722352981567,0.09276657551527023,0,0.0,0.0,5.0,0.0,5.4,371.0,77.0,1.0,0.0,3.8,4.0,2022-09-17T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,115027.0,1.0,1.0,29.0,1.0,31203.0,36542.0,5339.0,60.0,True,1.0
2,0,3,0.23388953506946564,90,MC,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547280,0.12299780547618866,0,2,0,0.23388953506946564,0.7426283955574036,0.6196305751800537,0.0,0.0,10.0,1.0,29.1,371.0,57.0,0.0,0.0,12.3,14.6,2022-09-03T14:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,69142.0,0.0,0.0,79.0,3.0,6325.0,14100.0,7775.0,60.0,True,0.0
3,0,0,0,90,MC,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546451,0,0,0,0,0,0.0642860010266304,0.0642860010266304,0.0,0.0,14.0,0.0,10.8,371.0,48.0,2.0,0.0,3.1,20.4,2022-08-31T19:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,59240.0,1.0,2.0,0.0,2.0,-6705.0,2911.0,9616.0,60.0,False,0.0
4,0,2,0.10582711547613144,90,MC,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545097,0.18481890857219696,0,3,0,0.10582711547613144,0.2921874523162842,0.2274980992078781,0.0,0.0,10.0,0.0,41.3,371.0,40.0,1.0,0.0,9.3,26.2,2022-08-28T13:00:00Z,90.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,64140.0,1.0,1.0,25.0,2.0,-7801.0,4294.0,12095.0,60.0,False,0.0
5,0,0,0,90,MC,Newcastle United,Manchester City,3,3,2022-08-21,18230,2022,543266,0.20048455893993378,0,2,0,0,0.3771103322505951,0.17662577331066132,0.0,0.0,9.0,0.0,22.0,371.0,28.0,3.0,0.0,4.7,20.8,2022-08-21T15:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,68717.0,3.0,3.0,4.0,1.0,-10528.0,5823.0,16351.0,60.0,True,1.0
6,0,0,0,90,MC,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540692,0.037612784653902054,0,1,0,0,0.12178178876638412,0.08416900038719177,0.0,0.0,10.0,1.0,14.0,371.0,14.0,0.0,0.0,3.0,14.2,2022-08-13T14:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,77813.0,0.0,0.0,2.0,2.0,16737.0,23292.0,6555.0,60.0,False,1.0
7,0,3,0.24106530845165253,90,MC,Newcastle United,Nottingham Forest,2,0,2022-08-06,18206,2022,539457,0.2680679261684418,1,3,0,0.24106530845165253,1.1179773807525635,0.948830246925354,1.0,0.0,28.0,1.0,46.1,371.0,7.0,0.0,0.0,11.1,39.0,2022-08-06T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,42379.0,0.0,2.0,26.0,6.0,0.0,0.0,0.0,60.0,True,0.0
8,0,0,0,10,MC,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537761,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,310.0,374.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,10.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,163263.0,2.0,1.0,0.0,1.0,44551.0,51423.0,6872.0,59.0,False,0.0
9,0,2,0.11745382100343704,90,MC,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536721,0.04032003879547119,0,1,0,0.11745382100343704,0.3672802746295929,0.20950639247894287,1.0,0.0,11.0,1.0,12.8,310.0,365.0,0.0,0.0,4.5,9.2,2022-05-16T19:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,110657.0,0.0,2.0,23.0,5.0,8595.0,17134.0,8539.0,58.0,True,0.0
10,0,0,0,90,MC,Manchester City,Newcastle United,5,0,2022-05-08,16727,2021,533742,0,0,0,0,0,0.035400182008743286,0.035400182008743286,0.0,0.0,7.0,0.0,2.8,310.0,359.0,5.0,0.0,1.6,10.8,2022-05-08T15:30:00Z,90.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,101400.0,0.0,5.0,2.0,2.0,-2388.0,13574.0,15962.0,58.0,False,0.0
11,0,0,0,90,FW,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530116,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,2.8,310.0,345.0,1.0,0.0,1.0,3.2,2022-04-30T11:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,35.0,0.0,105401.0,1.0,0.0,4.0,1.0,17934.0,25125.0,7191.0,58.0,True,1.0
12,2,3,0.7957696318626404,69,FW,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528719,0,0,0,2,0.7957696318626404,0.7957696318626404,0,0.0,3.0,62.0,1.0,5.6,310.0,340.0,0.0,2.0,13.2,69.8,2022-04-23T14:00:00Z,66.0,15.0,0.0,0.0,0.0,0.0,34.0,0.0,85915.0,3.0,0.0,57.0,13.0,-830.0,5837.0,6667.0,58.0,False,0.0
