,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0.16434404253959656,79,MC,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555435,0,0,0,0,0.16434404253959656,0.09463819861412048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,0.04953502118587494,90,MC,Leeds,Aston Villa,0,0,2022-10-02,18286,2022,553314,0,0,0,0,0.04953502118587494,0.13613756000995636,0.08660254627466202,0.0,0.0,11.0,1.0,4.5,37.0,85.0,0.0,0.0,3.8,16.2,2022-10-02T15:30:00Z,90.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,81742.0,0.0,0.0,17.0,3.0,-3570.0,1614.0,5184.0,53.0,False,0.0
2,0,0,0,90,MC,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550340,0.021344304084777832,0,1,0,0,0.021344304084777832,0,0.0,0.0,15.0,1.0,13.1,37.0,71.0,0.0,0.0,3.5,20.2,2022-09-16T19:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,85148.0,0.0,1.0,2.0,3.0,-715.0,2037.0,2752.0,53.0,True,0.0
3,0,0,0,67,MC,Aston Villa,Manchester City,1,1,2022-09-03,18258,2022,547432,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0.2,37.0,51.0,1.0,0.0,0.7,6.6,2022-09-03T16:30:00Z,64.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,90210.0,1.0,1.0,0.0,2.0,-12511.0,1495.0,14006.0,53.0,True,0.0
4,0,0,0,75,MC,Arsenal,Aston Villa,2,1,2022-08-31,18247,2022,546275,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.8,37.0,41.0,1.0,0.0,0.1,0.6,2022-08-31T18:30:00Z,72.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,101867.0,1.0,2.0,0.0,1.0,-17185.0,1061.0,18246.0,54.0,False,1.0
5,0,2,0.02570389211177826,90,MC,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545242,0,0,0,0,0.02570389211177826,0.1527358740568161,0.12703198194503784,0.0,0.0,13.0,0.0,13.2,37.0,32.0,1.0,0.0,3.6,14.0,2022-08-28T13:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,117721.0,1.0,0.0,9.0,2.0,-29910.0,1885.0,31795.0,54.0,True,0.0
6,0,0,0,75,MC,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542448,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,3.8,37.0,22.0,3.0,0.0,0.6,2.6,2022-08-20T14:00:00Z,72.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,146141.0,1.0,3.0,0.0,1.0,-17747.0,8593.0,26340.0,55.0,False,1.0
7,0,2,0.056847430765628815,90,MC,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540345,0.6558329463005066,0,2,0,0.056847430765628815,1.3482450246810913,1.3482450246810913,0.0,0.0,17.0,0.0,31.4,37.0,12.0,1.0,0.0,6.1,20.2,2022-08-13T11:30:00Z,90.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,159025.0,1.0,2.0,9.0,2.0,-12772.0,7247.0,20019.0,55.0,True,0.0
8,0,3,0.04115986078977585,90,MC,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539417,0,0,0,0,0.04115986078977585,0.10135906934738159,0.06019921228289604,0.0,0.0,16.0,0.0,4.0,37.0,2.0,2.0,0.0,3.1,9.6,2022-08-06T14:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,159781.0,0.0,2.0,17.0,2.0,0.0,0.0,0.0,55.0,False,0.0
9,0,0,0,90,MC,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537933,0,0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,35.0,379.0,3.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,99822.0,2.0,3.0,0.0,2.0,-5356.0,2277.0,7633.0,56.0,False,0.0
