,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.024443523958325386,27,DC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125196,0,0,0,0,0.024443523958325386,0.024443523958325386,0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,75.0,0.0,0.0,373.0,1.0,1.0,0.0,1.2,23080.0,0.6,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,27.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,85973.0,0.0,0.0,0.0,1.0,5.0,10.0,1.0,18510.0,18902.0,392.0,52.0,True,0.0,0.0
1,1,3,0.720887303352356,90,DC,Chelsea,Watford,4,3,2017-05-15,3414,2016,132399,0,0,0,1,0.720887303352356,0.05330933630466461,0.05330933630466461,0.0,30.0,0.0,0.0,0.0,23.0,0.0,5.0,27.0,0.2,0.0,0.0,75.0,1.0,0.0,273.0,0.0,3.0,1.0,8.7,22101.0,38.4,0.0,2017-05-15T19:00:00Z,15 May 20:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,67118.0,0.0,1.0,2.0,3.0,4.0,48.0,7.0,160.0,244.0,84.0,52.0,True,0.0,0.0
2,0,0,0,5,Sub,Chelsea,Middlesbrough,3,0,2017-05-08,3493,2016,134854,0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,75.0,0.0,0.0,354.0,0.0,0.0,0.0,0.1,21362.0,0.8,0.0,2017-05-08T19:00:00Z,08 May 20:00,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,66924.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,-42.0,51.0,93.0,52.0,True,0.0,0.0
3,0,0,0,3,Sub,Chelsea,Southampton,4,2,2017-04-25,3473,2016,134167,0,0,0,0,0,0.1291380673646927,0.1291380673646927,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,334.0,0.0,1.0,0.0,0.0,19929.0,0.2,0.0,2017-04-25T18:45:00Z,25 Apr 19:45,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,66865.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,-86.0,53.0,139.0,52.0,True,0.0,0.0
4,0,0,0,4,Sub,Chelsea,Everton,5,0,2016-11-05,2691,2016,127999,0,0,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.2,0.0,0.0,75.0,0.0,0.0,104.0,1.0,0.0,0.0,0.0,5814.0,0.0,0.0,2016-11-05T17:30:00Z,05 Nov 17:30,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,86293.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,-5606.0,375.0,5981.0,53.0,True,0.0,0.0
5,0,1,0.03662445768713951,90,DC,Swansea,Chelsea,2,2,2016-09-11,499,2016,126205,0.4951874315738678,0,1,0,0.03662445768713951,0.1812053769826889,0.1812053769826889,0.0,57.0,1.0,0.0,0.0,11.0,0.0,6.0,50.0,11.1,0.0,0.0,75.0,0.0,0.0,39.0,2.0,2.0,0.0,4.1,1690.0,12.2,1.0,2016-09-11T15:00:00Z,11 Sep 16:00,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,206174.0,1.0,0.0,1.0,2.0,2.0,18.0,0.0,4162.0,21474.0,17312.0,55.0,False,0.0,1.0
6,0,2,0.6442158818244934,90,DC,Chelsea,Burnley,3,0,2016-08-27,485,2016,125692,0,0,0,0,0.6442158818244934,0,0,0.0,65.0,0.0,1.0,0.0,21.0,1.0,4.0,59.0,0.0,0.0,0.0,75.0,0.0,0.0,21.0,1.0,0.0,0.0,4.0,1140.0,16.4,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,191033.0,0.0,0.0,1.0,0.0,3.0,24.0,6.0,3170.0,16123.0,12953.0,55.0,True,0.0,0.0
7,0,0,0,90,DC,Watford,Chelsea,1,2,2016-08-20,476,2016,125621,0,0,0,0,0,0,0,0.0,58.0,0.0,0.0,0.0,18.0,0.0,8.0,55.0,1.2,0.0,0.0,75.0,0.0,0.0,17.0,0.0,1.0,0.0,2.4,600.0,22.4,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,175460.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,7574.0,14106.0,6532.0,55.0,False,0.0,0.0
8,0,1,0.11506050080060959,90,DC,Chelsea,West Ham,2,1,2016-08-15,470,2016,124952,0.04508814588189125,0,1,0,0.11506050080060959,0.14804163575172424,0.1029534861445427,0.0,70.0,0.0,0.0,0.0,14.0,0.0,3.0,65.0,10.6,0.0,0.0,75.0,0.0,0.0,10.0,0.0,1.0,0.0,2.8,75.0,13.6,1.0,2016-08-15T19:00:00Z,15 Aug 20:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,138107.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,55.0,True,0.0,0.0
9,0,0,0,90,DC,Sunderland,Chelsea,3,2,2016-05-07,442,2015,62767,0,0,0,0,0,0.058175649493932724,0.058175649493932724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,90,DC,Chelsea,Tottenham,2,2,2016-05-02,436,2015,62945,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.05578476935625076,90,DC,Chelsea,West Ham,2,2,2016-03-19,376,2015,66088,0,0,0,0,0.05578476935625076,0.03490202873945236,0.03490202873945236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.034639228135347366,37,DC,Chelsea,Newcastle United,5,1,2016-02-13,337,2015,60853,0,0,0,0,0.034639228135347366,0.12240854650735855,0.12240854650735855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,0.21487951278686523,90,DC,Chelsea,Manchester United,1,1,2016-02-07,330,2015,61954,0.014658243395388126,0,1,0,0.21487951278686523,0.5076095461845398,0.38602861762046814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,DC,Watford,Chelsea,0,0,2016-02-03,320,2015,60071,0,0,0,0,0,0.19546017050743103,0.19546017050743103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,90,DC,Arsenal,Chelsea,0,1,2016-01-24,310,2015,59412,0,0,0,0,0,0.06666421890258789,0.06666421890258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,1,0.49147263169288635,90,DC,Chelsea,Everton,3,3,2016-01-16,295,2015,61898,0,0,0,1,0.49147263169288635,1.3450342416763306,0.8535615801811218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,DC,Chelsea,West Bromwich Albion,2,2,2016-01-13,287,2015,59975,0,0,0,0,0,0.13274520635604858,0.13274520635604858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,90,DC,Crystal Palace,Chelsea,0,3,2016-01-03,279,2015,61034,0,0,0,0,0,0.7854127883911133,0.7854127883911133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1,0.33181554079055786,90,DC,Manchester United,Chelsea,0,0,2015-12-28,267,2015,59106,0,0,0,0,0.33181554079055786,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1,0.047985535115003586,90,DC,Chelsea,Watford,2,2,2015-12-26,256,2015,60001,0,0,0,0,0.047985535115003586,0.029418515041470528,0.029418515041470528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,DC,Chelsea,Sunderland,3,1,2015-12-19,244,2015,61647,0,0,0,0,0,0.21313709020614624,0.21313709020614624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,56,DC,Leicester,Chelsea,2,1,2015-12-15,240,2015,59631,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
