,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Chelsea,Sunderland,5,1,2017-05-21,3512,2016,125209,0,0,0,0,0,0.010952559299767017,0.010952559299767017,0.0,29.0,0.0,0.0,0.0,9.0,0.0,16.0,25.0,0.3,0.0,0.0,635.0,1.0,0.0,373.0,2.0,5.0,0.0,3.1,23640.0,30.8,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,38.0,0.0,12724.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,324.0,873.0,549.0,39.0,False,0.0,0.0
1,0,0,0,30,Sub,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129418,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,635.0,0.0,0.0,232.0,0.0,0.0,0.0,0.8,14395.0,8.2,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,34.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3971.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2407.0,2559.0,152.0,40.0,False,0.0,0.0
2,0,0,0,65,DC,Arsenal,Aston Villa,4,0,2016-05-15,451,2015,57651,0,0,0,0,0,0.07361344993114471,0.07361344993114471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,DC,Aston Villa,Newcastle United,0,0,2016-05-07,440,2015,63632,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,90,DC,Watford,Aston Villa,3,2,2016-04-30,430,2015,63535,0,0,0,0,0,0.09170874953269958,0.09170874953269958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,90,DC,Aston Villa,Southampton,2,4,2016-04-23,421,2015,63082,0,0,0,0,0,0.0956953912973404,0.0956953912973404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,90,DC,Manchester United,Aston Villa,1,0,2016-04-16,406,2015,62575,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,DC,Aston Villa,Bournemouth,1,2,2016-04-09,398,2015,66582,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.01148923859000206,90,DC,Aston Villa,Chelsea,0,4,2016-04-02,384,2015,67301,0,0,0,0,0.01148923859000206,0.22215121984481812,0.22215121984481812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.1250178962945938,90,DC,Swansea,Aston Villa,1,0,2016-03-19,379,2015,66763,0,0,0,0,0.1250178962945938,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
