,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.11304860562086105,70,FWR,Crystal Palace,Leeds,2,1,2022-10-09,18296,2022,554716,0.08524685353040695,0,2,0,0.11304860562086105,0.26508235931396484,0.13228821754455566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,FWR,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552278,0.42979440093040466,1,1,0,0,0.5859197378158569,0.15612535178661346,1.0,,,,0.0,19.0,0.0,,,15.9,,,159.0,,,83.0,,2.0,0.0,4.3,,27.2,,2022-10-01T14:00:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,9.0,0.0,26754.0,,,,2.0,1.0,0.0,5.0,-755.0,979.0,1734.0,54.0,True,,0.0
2,0,1,0.024306129664182663,90,FWR,Newcastle United,Crystal Palace,0,0,2022-09-03,18253,2022,547298,0.07463499158620834,0,2,0,0.024306129664182663,0.19564540684223175,0.09670428931713104,0.0,,,,0.0,5.0,1.0,,,22.9,,,159.0,,,57.0,,0.0,0.0,5.0,,18.4,,2022-09-03T14:00:00Z,,,,90.0,,,15.0,0.0,,0.0,0.0,,0.0,6.0,0.0,29128.0,,,,0.0,0.0,9.0,3.0,-2714.0,2437.0,5151.0,54.0,False,,0.0
3,0,0,0,13,Sub,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545864,0.06425384432077408,0,1,0,0,0.06425384432077408,0,0.0,,,,0.0,5.0,0.0,,,10.3,,,159.0,,,43.0,,1.0,0.0,1.4,,3.2,,2022-08-30T18:30:00Z,,,,14.0,,,4.0,0.0,,0.0,0.0,,0.0,5.0,0.0,30860.0,,,,1.0,1.0,0.0,1.0,211.0,3922.0,3711.0,55.0,True,,0.0
4,0,0,0,78,MR,Manchester City,Crystal Palace,4,2,2022-08-27,18237,2022,544449,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,0.4,,,159.0,,,37.0,,3.0,0.0,0.3,,2.6,,2022-08-27T14:00:00Z,,,,73.0,,,13.0,0.0,,0.0,0.0,,0.0,4.0,0.0,28905.0,,,,2.0,4.0,0.0,2.0,-4887.0,1768.0,6655.0,55.0,False,,0.0
5,0,2,0.19096416234970093,72,FWR,Crystal Palace,Aston Villa,3,1,2022-08-20,18223,2022,542433,0.0839156061410904,0,1,0,0.19096416234970093,0.3890882134437561,0.11420843005180359,0.0,,,,0.0,3.0,0.0,,,12.9,,,159.0,,,22.0,,1.0,0.0,5.7,,14.2,,2022-08-20T14:00:00Z,,,,69.0,,,2.0,0.0,,0.0,0.0,,0.0,3.0,0.0,32512.0,,,,1.0,3.0,30.0,2.0,542.0,5865.0,5323.0,55.0,True,,0.0
6,0,0,0,66,MR,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541893,0,0,0,0,0,0,0,0.0,,,,0.0,11.0,0.0,,,0.6,,,159.0,,,16.0,,1.0,0.0,1.3,,8.4,,2022-08-15T19:00:00Z,,,,62.0,,,12.0,0.0,,0.0,0.0,,0.0,2.0,0.0,29596.0,,,,1.0,1.0,4.0,2.0,-624.0,3777.0,4401.0,55.0,False,,0.0
7,0,1,0.06403308361768723,90,AMR,Crystal Palace,Arsenal,0,2,2022-08-05,18202,2022,539129,0.10922874510288239,0,3,0,0.06403308361768723,0.173261821269989,0.06403308361768723,0.0,,,,0.0,5.0,0.0,,,37.3,,,159.0,,,1.0,,2.0,0.0,7.4,,16.4,,2022-08-05T19:00:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,1.0,0.0,22658.0,,,,2.0,0.0,20.0,2.0,0.0,0.0,0.0,55.0,True,,0.0
8,1,2,0.9196994304656982,90,FWR,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536796,0,0,0,1,0.9196994304656982,1.0498559474945068,0.1301564872264862,0.0,,,,0.0,25.0,0.0,,,5.3,,,153.0,,,322.0,,3.0,1.0,8.4,,39.8,,2022-05-19T18:45:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,37.0,0.0,93134.0,,,,2.0,3.0,39.0,5.0,5740.0,11328.0,5588.0,58.0,False,,1.0
9,0,2,0.1033015102148056,90,FWR,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530547,0.02371838316321373,0,1,0,0.1033015102148056,0.15340229868888855,0.05254792794585228,0.0,,,,0.0,-1.0,0.0,,,18.0,,,153.0,,,346.0,,1.0,0.0,6.8,,9.4,,2022-04-30T14:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,35.0,0.0,87225.0,,,,2.0,1.0,41.0,2.0,-780.0,3973.0,4753.0,58.0,False,,0.0
