,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.03729110211133957,90,DMC,Arsenal,Liverpool,3,2,2022-10-09,18292,2022,555097,0.036747340112924576,0,1,0,0.03729110211133957,0.17960506677627563,0.14231397211551666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,62,MC,Liverpool,Brighton,3,3,2022-10-01,18288,2022,552337,0.5707306265830994,0,2,0,0,1.2011597156524658,0.9301272630691528,0.0,,,,0.0,16.0,0.0,,,27.3,,,275.0,,,87.0,,2.0,0.0,3.6,,6.2,,2022-10-01T14:00:00Z,,,,58.0,,,5.0,0.0,,0.0,0.0,,0.0,9.0,0.0,56161.0,,,,3.0,3.0,2.0,1.0,-2137.0,958.0,3095.0,53.0,True,,0.0
2,0,0,0,75,MC,Liverpool,Newcastle United,2,1,2022-08-31,18250,2022,546438,0.0965709462761879,0,1,0,0,0.6706554293632507,0.6706554293632507,0.0,,,,0.0,12.0,0.0,,,16.7,,,275.0,,,48.0,,1.0,0.0,2.9,,7.8,,2022-08-31T19:00:00Z,,,,70.0,,,15.0,0.0,,0.0,0.0,,0.0,5.0,0.0,96215.0,,,,1.0,2.0,4.0,2.0,-8139.0,3883.0,12022.0,54.0,True,,0.0
3,0,0,0,72,MC,Liverpool,Bournemouth,9,0,2022-08-27,18236,2022,544464,0,0,0,0,0,0.23175421357154846,0.23175421357154846,0.0,,,,0.0,12.0,1.0,,,4.9,,,275.0,,,36.0,,0.0,0.0,2.0,,10.8,,2022-08-27T14:00:00Z,,,,69.0,,,3.0,0.0,,0.0,0.0,,0.0,4.0,0.0,101342.0,,,,0.0,9.0,4.0,3.0,-15335.0,5319.0,20654.0,54.0,True,,0.0
4,0,1,0.04890315607190132,60,MC,Manchester United,Liverpool,2,1,2022-08-22,18231,2022,543838,0.058786626905202866,0,1,0,0.04890315607190132,0.17810507118701935,0.07041528820991516,0.0,,,,0.0,13.0,0.0,,,13.0,,,275.0,,,27.0,,2.0,0.0,3.0,,11.0,,2022-08-22T19:00:00Z,,,,58.0,,,14.0,0.0,,0.0,0.0,,0.0,3.0,0.0,111764.0,,,,1.0,2.0,6.0,1.0,-7669.0,11660.0,19329.0,55.0,False,,0.0
5,0,0,0,24,Sub,Liverpool,Crystal Palace,1,1,2022-08-15,18221,2022,541885,0.0194768775254488,0,1,0,0,0.08139604330062866,0.061919163912534714,0.0,,,,0.0,10.0,0.0,,,16.3,,,275.0,,,16.0,,0.0,0.0,2.4,,7.4,,2022-08-15T19:00:00Z,,,,27.0,,,7.0,0.0,,0.0,0.0,,0.0,2.0,0.0,110983.0,,,,1.0,1.0,0.0,1.0,-2268.0,10938.0,13206.0,55.0,True,,0.0
6,0,2,0.03935473412275314,90,MC,Fulham,Liverpool,2,2,2022-08-06,18203,2022,539203,0.5538455247879028,0,2,0,0.03935473412275314,1.2995939254760742,0.729066789150238,0.0,,,,0.0,14.0,0.0,,,29.8,,,275.0,,,4.0,,2.0,0.0,5.1,,8.2,,2022-08-06T11:30:00Z,,,,90.0,,,9.0,0.0,,0.0,0.0,,0.0,1.0,0.0,94154.0,,,,2.0,2.0,13.0,2.0,0.0,0.0,0.0,55.0,False,,0.0
7,0,0,0,90,MC,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537891,0.0634002611041069,0,1,0,0,0.6848719716072083,0.6214717030525208,0.0,,,,0.0,15.0,0.0,,,0.0,,,222.0,,,378.0,,1.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,38.0,0.0,166694.0,,,,1.0,3.0,0.0,2.0,2537.0,6910.0,4373.0,49.0,True,,0.0
8,0,0,0,41,Sub,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536773,0,0,0,0,0,0.25967881083488464,0.25967881083488464,0.0,,,,0.0,12.0,0.0,,,4.6,,,222.0,,,366.0,,0.0,0.0,1.4,,9.2,,2022-05-17T18:45:00Z,,,,45.0,,,16.0,0.0,,0.0,0.0,,0.0,37.0,0.0,162665.0,,,,2.0,1.0,0.0,1.0,-320.0,5217.0,5537.0,49.0,False,,0.0
9,0,0,0,61,Sub,Aston Villa,Liverpool,1,2,2022-05-10,16705,2021,534615,0.031834062188863754,0,1,0,0,0.18560196459293365,0.1537678986787796,0.0,,,,0.0,14.0,1.0,,,12.3,,,222.0,,,321.0,,0.0,0.0,2.3,,10.8,,2022-05-10T19:00:00Z,,,,60.0,,,2.0,0.0,,0.0,0.0,,0.0,36.0,0.0,163297.0,,,,2.0,1.0,0.0,3.0,4748.0,9260.0,4512.0,49.0,False,,0.0
10,0,2,0.04596621170639992,66,MC,Liverpool,Tottenham,1,1,2022-05-07,16728,2021,533098,0,0,0,0,0.04596621170639992,0.0838044062256813,0.0838044062256813,0.0,,,,0.0,13.0,0.0,,,7.5,,,222.0,,,358.0,,1.0,0.0,3.6,,8.2,,2022-05-07T18:45:00Z,,,,64.0,,,17.0,0.0,,0.0,0.0,,0.0,36.0,0.0,163297.0,,,,1.0,1.0,20.0,2.0,4748.0,9260.0,4512.0,49.0,True,,0.0
11,0,1,0.05833485722541809,71,MC,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530128,0.024289093911647797,0,1,0,0.05833485722541809,1.0677580833435059,1.043468952178955,0.0,,,,0.0,17.0,1.0,,,17.3,,,222.0,,,345.0,,0.0,0.0,2.6,,8.0,,2022-04-30T11:30:00Z,,,,68.0,,,14.0,0.0,,0.0,0.0,,0.0,35.0,0.0,157943.0,,,,1.0,0.0,1.0,3.0,-1113.0,3693.0,4806.0,49.0,False,,0.0
12,0,0,0,4,Sub,Liverpool,Everton,2,0,2022-04-24,16708,2021,529607,0.04411616176366806,0,1,0,0,0.07281770557165146,0.07281770557165146,0.0,,,,0.0,6.0,0.0,,,14.3,,,222.0,,,338.0,,0.0,0.0,2.0,,5.4,,2022-04-24T15:30:00Z,,,,8.0,,,8.0,0.0,,0.0,0.0,,0.0,34.0,0.0,158853.0,,,,0.0,2.0,0.0,1.0,-498.0,4618.0,5116.0,49.0,True,,0.0
13,0,2,0.04330557584762573,90,MC,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527532,0.021808968856930733,0,1,0,0.04330557584762573,0.964163064956665,0.964163064956665,0.0,,,,0.0,13.0,1.0,,,23.4,,,222.0,,,294.0,,0.0,0.0,3.8,,9.6,,2022-04-19T19:00:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,33.0,0.0,158395.0,,,,0.0,4.0,5.0,3.0,-2681.0,3317.0,5998.0,49.0,True,,0.0
14,0,1,0.01603080704808235,80,MC,Manchester City,Liverpool,2,2,2022-04-10,16690,2021,525530,0,0,0,0,0.01603080704808235,0.41357696056365967,0.41357696056365967,0.0,,,,0.0,10.0,0.0,,,5.3,,,222.0,,,316.0,,2.0,0.0,1.0,,3.4,,2022-04-10T15:30:00Z,,,,77.0,,,12.0,0.0,,0.0,0.0,,0.0,32.0,0.0,161320.0,,,,2.0,2.0,1.0,2.0,-3561.0,2301.0,5862.0,49.0,False,,0.0
15,0,0,0,90,MC,Liverpool,Watford,2,0,2022-04-02,16680,2021,522455,0.15673023462295532,0,2,0,0,0.7154988646507263,0.7154988646507263,0.0,,,,0.0,16.0,1.0,,,34.9,,,222.0,,,306.0,,0.0,0.0,4.9,,14.4,,2022-04-02T11:30:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,31.0,0.0,164814.0,,,,0.0,2.0,0.0,3.0,1286.0,6244.0,4958.0,50.0,True,,0.0
16,0,0,0,90,MC,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520772,0,0,0,0,0,0.16656841337680817,0.16656841337680817,0.0,,,,0.0,9.0,1.0,,,5.9,,,222.0,,,261.0,,0.0,0.0,1.0,,2.0,,2022-03-16T20:15:00Z,,,,90.0,,,1.0,0.0,,0.0,0.0,,0.0,29.0,0.0,170738.0,,,,2.0,0.0,2.0,3.0,8094.0,15139.0,7045.0,50.0,False,,0.0
17,0,1,0.08845675736665726,88,MC,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519106,0,0,0,0,0.08845675736665726,0.27156099677085876,0.1831042319536209,0.0,,,,0.0,14.0,1.0,,,3.7,,,222.0,,,283.0,,0.0,0.0,2.5,,10.2,,2022-03-12T12:30:00Z,,,,85.0,,,4.0,0.0,,0.0,0.0,,0.0,29.0,0.0,170738.0,,,,2.0,0.0,11.0,3.0,8094.0,15139.0,7045.0,50.0,False,,0.0
18,0,0,0,90,MC,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517762,0.05713435262441635,0,2,0,0,0.2323664426803589,0.20968787372112274,0.0,,,,0.0,12.0,1.0,,,28.8,,,222.0,,,274.0,,0.0,0.0,4.2,,11.4,,2022-03-05T17:30:00Z,,,,90.0,,,19.0,0.0,,0.0,0.0,,0.0,28.0,0.0,160202.0,,,,0.0,1.0,2.0,3.0,-1626.0,5971.0,7597.0,50.0,True,,0.0
