,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Everton,Manchester United,1,2,2022-10-09,18297,2022,555231,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,Southampton,Everton,1,2,2022-10-01,18290,2022,552315,0,0,0,0,0,0.3872295618057251,0.3872295618057251,0.0,,,,0.0,19.0,0.0,,,0.0,,,182.0,,,89.0,,1.0,0.0,4.2,,42.0,,2022-10-01T14:00:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,9.0,5.0,517177.0,,,,2.0,1.0,0.0,2.0,-4983.0,36791.0,41774.0,45.0,False,,1.0
2,0,0,0,90,GK,Everton,Liverpool,0,0,2022-09-03,18252,2022,546846,0,0,0,0,0,0,0,0.0,,,,2.0,33.0,1.0,,,0.0,,,182.0,,,55.0,,0.0,0.0,6.1,,60.8,,2022-09-03T11:30:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,6.0,8.0,527449.0,,,,0.0,0.0,0.0,9.0,-17343.0,17268.0,34611.0,45.0,True,,1.0
3,0,0,0,90,GK,Leeds,Everton,1,1,2022-08-30,18245,2022,545991,0,0,0,0,0,0.024054942652583122,0.024054942652583122,0.0,,,,0.0,17.0,0.0,,,0.0,,,182.0,,,45.0,,1.0,0.0,3.4,,34.0,,2022-08-30T19:00:00Z,,,,90.0,,,11.0,0.0,,0.0,0.0,,0.0,5.0,4.0,532658.0,,,,1.0,1.0,0.0,3.0,-16926.0,13266.0,30192.0,45.0,False,,0.0
4,0,0,0,90,GK,Brentford,Everton,1,1,2022-08-27,18233,2022,544535,0,0,0,0,0,0.1316387802362442,0.1316387802362442,0.0,,,,0.0,15.0,0.0,,,0.0,,,182.0,,,33.0,,1.0,0.0,3.7,,37.4,,2022-08-27T14:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,4.0,4.0,538466.0,,,,1.0,1.0,0.0,2.0,-7634.0,22407.0,30041.0,45.0,False,,1.0
5,0,0,0,90,GK,Everton,Nottingham Forest,1,1,2022-08-20,18224,2022,542341,0.244440957903862,1,1,0,0,0.40141889452934265,0.40141889452934265,1.0,,,,1.0,30.0,0.0,,,13.0,,,182.0,,,23.0,,1.0,0.0,5.7,,43.8,,2022-08-20T14:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,3.0,4.0,524261.0,,,,1.0,1.0,0.0,7.0,-21311.0,28918.0,50229.0,45.0,True,,0.0
6,0,0,0,90,GK,Aston Villa,Everton,2,1,2022-08-13,18212,2022,540354,0,0,0,0,0,0.13427555561065674,0.13427555561065674,0.0,,,,0.0,11.0,0.0,,,0.0,,,182.0,,,12.0,,2.0,0.0,1.2,,12.0,,2022-08-13T11:30:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,2.0,1.0,522367.0,,,,1.0,2.0,0.0,1.0,10786.0,39094.0,28308.0,45.0,False,,0.0
7,0,0,0,90,GK,Everton,Chelsea,0,1,2022-08-06,18208,2022,539607,0,0,0,0,0,0,0,0.0,,,,0.0,20.0,0.0,,,0.0,,,182.0,,,3.0,,1.0,0.0,3.5,,35.0,,2022-08-06T16:30:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,1.0,5.0,423510.0,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,True,,0.0
8,0,0,0,90,GK,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536774,0,0,0,0,0,0,0,0.0,,,,0.0,13.0,0.0,,,0.0,,,170.0,,,322.0,,2.0,0.0,2.8,,28.4,,2022-05-19T18:45:00Z,,,,90.0,,,7.0,0.0,,0.0,0.0,,0.0,37.0,3.0,793504.0,,,,2.0,3.0,0.0,2.0,119025.0,123221.0,4196.0,48.0,True,,0.0
9,0,0,0,90,GK,Everton,Brentford,2,3,2022-05-15,16744,2021,536224,0.023909199982881546,0,1,0,0,0.38418638706207275,0.3602771759033203,0.0,,,,0.0,20.0,0.0,,,0.0,,,170.0,,,362.0,,3.0,0.0,3.4,,34.0,,2022-05-15T15:30:00Z,,,,90.0,,,3.0,0.0,,0.0,0.0,,0.0,37.0,4.0,793504.0,,,,3.0,2.0,0.0,2.0,119025.0,123221.0,4196.0,48.0,True,,0.0
