,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,23,Sub,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347508,0,0,0,0,0,0.021998491138219833,0.021998491138219833,0.0,,,,0.0,7.0,0.0,,,5.1,,,78.0,,,36.0,,1.0,0.0,1.1,,5.8,,2019-08-31T14:00:00Z,,,,26.0,,,9.0,0.0,,0.0,0.0,,0.0,4.0,0.0,16242.0,,,,1.0,3.0,0.0,1.0,-2120.0,465.0,2585.0,49.0,False,,0.0
1,0,0,0,16,Sub,Bournemouth,Manchester City,1,3,2019-08-25,11671,2019,344492,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,78.0,,,22.0,,0.0,0.0,0.1,,1.0,,2019-08-25T13:00:00Z,,,,22.0,,,11.0,0.0,,0.0,0.0,,0.0,3.0,0.0,17966.0,,,,3.0,1.0,0.0,1.0,-4340.0,534.0,4874.0,49.0,True,,0.0
2,1,2,0.12695400416851044,71,MR,Crystal Palace,Bournemouth,5,3,2019-05-12,9574,2018,332276,0.045376770198345184,0,1,1,0.12695400416851044,0.17233076691627502,0.0737253800034523,0.0,27.0,0.0,0.0,0.0,26.0,0.0,2.0,23.0,18.5,4.0,0.0,38.0,0.0,0.0,373.0,0.0,4.0,1.0,9.6,21205.0,49.2,1.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,69.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,0.0,13629.0,6.0,0.0,0.0,3.0,5.0,28.0,7.0,150.0,230.0,80.0,49.0,False,0.0,0.0
3,0,1,0.01812090165913105,79,AMC,Bournemouth,Tottenham,1,0,2019-05-04,9565,2018,330048,0,0,0,0,0.01812090165913105,0.22033989429473877,0.20221899449825287,0.0,29.0,0.0,0.0,0.0,4.0,1.0,0.0,25.0,4.5,0.0,0.0,38.0,0.0,0.0,362.0,0.0,0.0,0.0,1.9,20589.0,5.8,0.0,2019-05-04T11:30:00Z,04 May 12:30,0.0,0.0,76.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,13442.0,2.0,0.0,0.0,0.0,1.0,9.0,3.0,-41.0,44.0,85.0,49.0,True,0.0,0.0
4,0,0,0,80,MR,Bournemouth,Newcastle United,2,2,2019-03-16,9506,2018,316399,0,0,0,0,0,0,0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,1.9,6.0,0.0,38.0,0.0,0.0,301.0,2.0,1.0,0.0,0.7,16839.0,3.4,0.0,2019-03-16T15:00:00Z,16 Mar 15:00,0.0,0.0,74.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,13686.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,64.0,211.0,147.0,50.0,True,0.0,1.0
5,0,0,0,4,Sub,Bournemouth,Manchester City,0,1,2019-03-02,9486,2018,305360,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,281.0,0.0,0.0,0.0,0.1,15648.0,1.0,0.0,2019-03-02T15:00:00Z,02 Mar 15:00,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,13284.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-38.0,107.0,145.0,50.0,True,0.0,0.0
6,0,1,0.05485169589519501,58,MR,Arsenal,Bournemouth,5,1,2019-02-27,9470,2018,305063,0,0,0,0,0.05485169589519501,0.05485169589519501,0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,1.3,0.0,0.0,38.0,0.0,0.0,271.0,1.0,3.0,0.0,1.8,15043.0,0.0,0.0,2019-02-27T19:45:00Z,27 Feb 19:45,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,13298.0,0.0,0.0,0.0,1.0,5.0,18.0,1.0,48.0,154.0,106.0,50.0,False,0.0,0.0
7,0,1,0.05519324541091919,90,MR,Bournemouth,Wolverhampton Wanderers,1,1,2019-02-23,9465,2018,304799,0.010572206228971481,0,1,0,0.05519324541091919,0.05519324541091919,0,0.0,26.0,0.0,0.0,0.0,9.0,0.0,1.0,20.0,18.6,2.0,0.0,38.0,0.0,0.0,262.0,1.0,1.0,0.0,3.9,14559.0,10.4,1.0,2019-02-23T15:00:00Z,23 Feb 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,13228.0,6.0,3.0,1.0,1.0,1.0,10.0,2.0,50.0,268.0,218.0,50.0,True,0.0,0.0
8,0,1,0.06560701131820679,61,MR,Liverpool,Bournemouth,3,0,2019-02-09,9455,2018,304566,0.05238558351993561,0,1,0,0.06560701131820679,0.1179925948381424,0.05238558351993561,0.0,17.0,0.0,0.0,0.0,-2.0,0.0,0.0,13.0,12.1,2.0,0.0,38.0,0.0,0.0,255.0,1.0,3.0,0.0,4.2,13959.0,3.6,1.0,2019-02-09T15:00:00Z,09 Feb 15:00,0.0,0.0,58.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,13009.0,7.0,0.0,0.0,0.0,3.0,26.0,1.0,-32.0,175.0,207.0,50.0,False,0.0,0.0
9,0,0,0,27,Sub,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304325,0.07352089881896973,0,1,0,0,0,0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,16.4,2.0,0.0,38.0,0.0,0.0,243.0,0.0,0.0,0.0,3.0,13305.0,5.4,1.0,2019-02-02T17:30:00Z,02 Feb 17:30,0.0,0.0,28.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,12963.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,143.0,260.0,117.0,50.0,False,0.0,0.0
