,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,48,MC,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554110,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,25,Sub,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552417,0.4641227722167969,0,2,0,0,0.5348032116889954,0.4573257267475128,0.0,0.0,7.0,0.0,26.9,83.0,82.0,0.0,0.0,3.1,3.8,2022-10-01T14:00:00Z,29.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,717768.0,0.0,0.0,0.0,1.0,-84716.0,18632.0,103348.0,45.0,False,0.0
2,0,0,0,65,MC,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551045,0,0,0,0,0,0.06464695930480957,0.06464695930480957,0.0,0.0,8.0,0.0,0.5,83.0,72.0,3.0,0.0,0.5,0.8,2022-09-18T11:00:00Z,62.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,772031.0,3.0,0.0,4.0,2.0,-86890.0,9926.0,96816.0,46.0,True,0.0
3,0,0,0,28,Sub,Brentford,Leeds,5,2,2022-09-03,18257,2022,547228,0,0,0,0,0,0,0,0.0,0.0,5.0,0.0,0.8,83.0,52.0,1.0,0.0,0.8,3.4,2022-09-03T14:00:00Z,31.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,991346.0,2.0,5.0,4.0,1.0,-54613.0,75002.0,129615.0,46.0,True,0.0
4,0,1,0.02328765206038952,21,Sub,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545882,0,0,0,0,0.02328765206038952,0.6399394273757935,0.6166517734527588,0.0,0.0,3.0,0.0,3.0,83.0,43.0,0.0,0.0,2.5,5.4,2022-08-30T18:30:00Z,22.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,1038041.0,1.0,1.0,17.0,1.0,-41351.0,115942.0,157293.0,46.0,False,0.0
5,0,1,0.03586922213435173,90,MC,Brentford,Everton,1,1,2022-08-27,18233,2022,544526,0.018449898809194565,0,1,0,0.03586922213435173,0.20650529861450195,0.17063607275485992,0.0,0.0,8.0,0.0,22.2,83.0,33.0,1.0,0.0,5.8,15.2,2022-08-27T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1068151.0,1.0,1.0,21.0,2.0,-12723.0,152562.0,165285.0,46.0,True,0.0
6,0,0,0,76,MC,Fulham,Brentford,3,2,2022-08-20,18225,2022,542417,0,0,0,0,0,0.27863848209381104,0.27863848209381104,0.0,0.0,2.0,0.0,1.6,83.0,24.0,2.0,0.0,0.7,1.2,2022-08-20T14:00:00Z,73.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,1086860.0,2.0,3.0,4.0,1.0,721012.0,800317.0,79305.0,46.0,False,1.0
7,1,1,0.024810394272208214,66,MC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540801,0,0,0,1,0.024810394272208214,0.024810394272208214,0,0.0,0.0,28.0,1.0,1.8,83.0,13.0,0.0,1.0,4.6,34.8,2022-08-13T16:30:00Z,61.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,296379.0,0.0,4.0,9.0,8.0,137097.0,161161.0,24064.0,45.0,True,0.0
8,1,1,0.034810300916433334,30,Sub,Leicester,Brentford,2,2,2022-08-07,18210,2022,539849,0,0,0,1,0.034810300916433334,0.034810300916433334,0,0.0,0.0,20.0,0.0,1.4,83.0,6.0,0.0,1.0,4.7,38.6,2022-08-07T13:00:00Z,31.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,84191.0,2.0,2.0,7.0,6.0,0.0,0.0,0.0,45.0,False,0.0
9,0,0,0,30,Sub,Brentford,Leeds,1,2,2022-05-22,16747,2021,537701,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,82.0,372.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,32.0,10.0,0.0,0.0,0.0,0.0,38.0,0.0,1075.0,2.0,1.0,0.0,1.0,37.0,57.0,20.0,53.0,True,0.0
