,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.10646000504493713,1,Sub,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411379,0,0,0,0,0.10646000504493713,0.10646000504493713,0,0,0,3,0,0.0,632,377,1,0,2.0,3.0,2020-07-26T15:00:00Z,3,11,0,0,0,0,47,0,211,0,5,17.0,1,-4,21,25,45,False,0
1,0,0,0,1,Sub,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408500,0,0,0,0,0,0,0,0,0,2,0,0.1,632,353,0,0,0.0,0.0,2020-07-14T19:15:00Z,1,6,0,0,0,0,45,0,189,0,1,0.0,1,-4,20,24,45,False,0
2,0,0,0,17,Sub,Norwich,West Ham,0,4,2020-07-11,11988,2019,407338,0,0,0,0,0,0,0,0,0,3,0,0.3,632,346,1,0,0.2,1.2,2020-07-11T11:30:00Z,20,19,0,0,0,0,44,0,172,4,0,0.0,1,19,46,27,45,True,0
3,0,0,0,5,Sub,Watford,Norwich,2,1,2020-07-07,11981,2019,406240,0,0,0,0,0,0,0,0,0,3,0,0.4,632,339,0,0,0.3,2.4,2020-07-07T17:00:00Z,7,18,0,0,0,0,43,0,144,1,2,0.0,1,7,36,29,45,False,0
4,0,0,0,1,Sub,Norwich,Southampton,0,3,2020-06-19,11937,2019,400728,0,0,0,0,0,0,0,0,0,3,0,0.0,632,297,0,0,0.0,0.0,2020-06-19T17:00:00Z,1,16,0,0,0,0,39,0,0,3,0,0.0,1,0,0,0,45,True,0
5,,,,,,,,,,2020-06-24,,,,,,,,,,,0,0,0,0,0.0,632,307,0,0,0.0,0.0,2020-06-24T17:00:00Z,0,8,0,0,0,0,40,0,68,1,0,0.0,0,45,56,11,45,True,0
6,,,,,,,,,,2020-07-01,,,,,,,,,,,0,0,0,0,0.0,632,311,0,0,0.0,0.0,2020-07-01T17:00:00Z,0,1,0,0,0,0,41,0,91,0,4,0.0,0,6,24,18,45,False,0
7,,,,,,,,,,2020-07-04,,,,,,,,,,,0,0,0,0,0.0,632,327,0,0,0.0,0.0,2020-07-04T11:30:00Z,0,4,0,0,0,0,42,0,127,1,0,0.0,0,21,37,16,45,True,0
8,,,,,,,,,,2020-07-18,,,,,,,,,,,0,0,0,0,0.0,632,366,0,0,0.0,0.0,2020-07-18T16:30:00Z,0,5,0,0,0,0,46,0,200,2,0,0.0,0,7,23,16,45,True,0
9,,,,,,,,,,2021-08-14,,,,,,,,,,,0,0,0,0,0.0,330,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,55,3,0,0.0,0,0,0,0,50,True,0
10,,,,,,,,,,2021-08-21,,,,,,,,,,,0,0,0,0,0.0,330,16,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,12,0,0,0,0,2,0,42,0,5,0.0,0,-13,0,13,50,False,0
11,,,,,,,,,,2021-08-28,,,,,,,,,,,0,0,0,0,0.0,330,26,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,9,0,0,0,0,3,0,37,2,1,0.0,0,-5,0,5,50,True,0
12,,,,,,,,,,2021-09-11,,,,,,,,,,,0,0,0,0,0.0,330,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,1,0,0,0,0,4,0,34,0,1,0.0,0,-3,0,3,50,False,0
13,,,,,,,,,,2021-09-18,,,,,,,,,,,0,0,0,0,0.0,330,47,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,18,0,0,0,0,5,0,33,3,1,0.0,0,-1,0,1,50,True,0
14,,,,,,,,,,2021-09-25,,,,,,,,,,,0,0,0,0,0.0,330,55,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,8,0,0,0,0,6,0,33,0,2,0.0,0,-1,0,1,50,False,0
15,,,,,,,,,,2021-10-02,,,,,,,,,,,0,0,0,0,0.0,330,62,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,5,0,0,0,0,7,0,33,0,0,0.0,0,0,0,0,50,False,0
16,,,,,,,,,,2021-10-16,,,,,,,,,,,0,0,0,0,0.0,330,78,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,4,0,0,0,0,8,0,32,0,0,0.0,0,-1,0,1,50,True,0
17,,,,,,,,,,2021-10-23,,,,,,,,,,,0,0,0,0,0.0,330,84,0,0,0.0,0.0,2021-10-23T11:30:00Z,0,6,0,0,0,0,9,0,32,0,7,0.0,0,0,0,0,50,False,0
18,,,,,,,,,,2021-10-31,,,,,,,,,,,0,0,0,0,0.0,330,97,0,0,0.0,0.0,2021-10-31T14:00:00Z,0,10,0,0,0,0,10,0,30,2,1,0.0,0,-2,0,2,50,True,0
19,,,,,,,,,,2021-11-06,,,,,,,,,,,0,0,0,0,0.0,330,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,3,0,0,0,0,11,0,30,2,1,0.0,0,0,0,0,50,False,0
20,,,,,,,,,,2021-11-20,,,,,,,,,,,0,0,0,0,0.0,330,117,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,16,0,0,0,0,12,0,28,1,2,0.0,0,-2,0,2,50,True,0
21,,,,,,,,,,2021-11-27,,,,,,,,,,,0,0,0,0,0.0,330,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,27,0,0,0.0,0,-1,0,1,50,True,0
22,,,,,,,,,,2021-11-30,,,,,,,,,,,0,0,0,0,0.0,330,138,0,0,0.0,0.0,2021-11-30T19:30:00Z,0,14,0,0,0,0,14,0,27,1,1,0.0,0,0,0,0,50,False,0
23,,,,,,,,,,2021-12-05,,,,,,,,,,,0,0,0,0,0.0,330,147,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,17,0,0,0,0,15,0,27,0,3,0.0,0,0,0,0,50,False,0
24,,,,,,,,,,2021-12-11,,,,,,,,,,,0,0,0,0,0.0,330,160,0,0,0.0,0.0,2021-12-11T17:30:00Z,0,13,0,0,0,0,16,0,27,1,0,0.0,0,0,0,0,50,True,0
25,,,,,,,,,,2021-12-14,,,,,,,,,,,0,0,0,0,0.0,330,167,0,0,0.0,0.0,2021-12-14T19:45:00Z,0,2,0,0,0,0,17,0,27,2,0,0.0,0,0,0,0,50,True,0
26,,,,,,,,,,2021-12-26,,,,,,,,,,,0,0,0,0,0.0,330,187,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,1,0,0,0,0,19,0,26,5,0,0.0,0,-1,0,1,50,True,0
27,,,,,,,,,,2021-12-28,,,,,,,,,,,0,0,0,0,0.0,330,194,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,7,0,0,0,0,20,0,26,0,3,0.0,0,0,0,0,50,False,0
28,,,,,,,,,,2022-01-12,,,,,,,,,,,0,0,0,0,0.0,330,179,0,0,0.0,0.0,2022-01-12T19:45:00Z,0,19,0,0,0,0,21,0,26,0,2,0.0,0,0,0,0,50,False,0
29,,,,,,,,,,2022-01-15,,,,,,,,,,,0,0,0,0,0.0,330,217,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,8,0,0,0,0,22,0,26,1,2,0.0,0,0,0,0,50,True,0
30,,,,,,,,,,2022-01-21,,,,,,,,,,,0,0,0,0,0.0,330,230,0,0,0.0,0.0,2022-01-21T20:00:00Z,0,18,0,0,0,0,23,0,26,3,0,0.0,0,0,0,0,50,False,0
31,,,,,,,,,,2022-02-09,,,,,,,,,,,0,0,0,0,0.0,330,234,0,0,0.0,0.0,2022-02-09T19:45:00Z,0,7,0,0,0,0,24,0,25,1,1,0.0,0,-1,0,1,50,True,0
32,,,,,,,,,,2022-02-12,,,,,,,,,,,0,0,0,0,0.0,330,248,0,0,0.0,0.0,2022-02-12T17:30:00Z,0,12,0,0,0,0,25,0,25,4,0,0.0,0,0,0,0,50,True,0
33,,,,,,,,,,2022-02-19,,,,,,,,,,,0,0,0,0,0.0,330,256,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,11,0,0,0,0,26,0,25,1,3,0.0,0,0,0,0,50,False,0
34,,,,,,,,,,2022-02-25,,,,,,,,,,,0,0,0,0,0.0,330,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,16,0,0,0,0,27,0,25,0,2,0.0,0,0,0,0,50,False,0
35,,,,,,,,,,2022-03-05,,,,,,,,,,,0,0,0,0,0.0,330,277,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,3,0,0,0,0,28,0,25,3,1,0.0,0,0,0,0,50,True,0
36,,,,,,,,,,2022-03-10,,,,,,,,,,,0,0,0,0,0.0,330,297,0,0,0.0,0.0,2022-03-10T19:30:00Z,0,6,0,0,0,0,28,0,25,3,1,0.0,0,0,0,0,50,True,0
37,,,,,,,,,,2022-03-13,,,,,,,,,,,0,0,0,0,0.0,330,287,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,10,0,0,0,0,29,0,25,1,2,0.0,0,0,0,0,50,False,0
38,,,,,,,,,,2022-04-02,,,,,,,,,,,0,0,0,0,0.0,330,301,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,4,0,0,0,0,31,0,25,0,0,0.0,0,0,0,0,50,False,0
39,,,,,,,,,,2022-04-10,,,,,,,,,,,0,0,0,0,0.0,330,318,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,5,0,0,0,0,32,0,25,0,2,0.0,0,0,0,0,50,True,0
40,,,,,,,,,,2022-04-16,,,,,,,,,,,0,0,0,0,0.0,330,324,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,13,0,0,0,0,33,0,25,2,3,0.0,0,0,0,0,50,False,0
41,,,,,,,,,,2022-04-23,,,,,,,,,,,0,0,0,0,0.0,330,340,0,0,0.0,0.0,2022-04-23T14:00:00Z,0,14,0,0,0,0,34,0,25,3,0,0.0,0,0,0,0,50,True,0
42,,,,,,,,,,2022-04-30,,,,,,,,,,,0,0,0,0,0.0,330,341,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,2,0,0,0,0,35,0,25,0,2,0.0,0,0,0,0,50,False,0
43,,,,,,,,,,2022-05-08,,,,,,,,,,,0,0,0,0,0.0,330,360,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,19,0,0,0,0,36,0,25,4,0,0.0,0,0,0,0,50,True,0
44,,,,,,,,,,2022-05-11,,,,,,,,,,,0,0,0,0,0.0,330,207,0,0,0.0,0.0,2022-05-11T18:45:00Z,0,9,0,0,0,0,36,0,25,0,3,0.0,0,0,0,0,50,False,0
45,,,,,,,,,,2022-05-15,,,,,,,,,,,0,0,0,0,0.0,330,370,0,0,0.0,0.0,2022-05-15T13:00:00Z,0,20,0,0,0,0,37,0,25,1,1,0.0,0,0,0,0,50,False,0
46,,,,,,,,,,2022-05-22,,,,,,,,,,,0,0,0,0,0.0,330,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,17,0,0,0,0,38,0,25,5,0,0.0,0,0,0,0,50,True,0
