,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,2,0.07036271691322327,90,ML,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332391,0.6461158990859985,1,2,0,0.07036271691322327,0.7118837237358093,0.021119901910424232,1,19,1,0,0,16,1,1,11,21.9,2,0,106,0,0,377,1,0,0,6.6,21273,28.2,2,2019-05-12T14:00:00Z,12 May 15:00,0,0,90,0,0,14,0,0,0,0,4,0,38,0,13527,2,0,1,2,0,16.0,5,-184,82,266,48,False,0,1
1,0,3,0.13975520431995392,84,ML,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330433,0.1336914449930191,0,2,0,0.13975520431995392,0.24339112639427185,0.10363592207431793,0,16,0,0,0,12,0,0,10,40.9,3,0,106,0,0,363,0,3,0,8.8,20657,10.8,2,2019-05-04T16:30:00Z,04 May 17:30,0,0,79,0,3,7,0,0,0,0,2,0,37,0,13732,3,1,1,3,2,36.0,2,-252,50,302,48,True,0,0
2,0,0,0,5,Sub,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326793,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,106,0,0,343,0,0,0,0.0,19226,0.0,0,2019-04-21T15:00:00Z,21 Apr 16:00,0,0,7,0,0,12,0,0,0,0,0,0,35,0,14114,0,0,0,2,0,0.0,1,-729,50,779,48,True,0,0
3,0,2,0.045812301337718964,90,AMR,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324276,0,0,0,0,0.045812301337718964,0.045812301337718964,0,0,18,0,0,0,2,0,0,11,5.2,1,0,106,0,0,332,1,2,0,2.2,18551,3.2,0,2019-04-13T14:00:00Z,13 Apr 15:00,0,0,90,0,0,4,0,0,0,0,2,0,34,0,14893,3,0,1,0,2,14.0,2,116,644,528,48,False,0,0
4,0,0,0,62,MR,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321896,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,5,1.3,1,0,106,0,0,325,0,2,0,0.6,17277,4.4,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,59,0,0,13,0,0,0,0,2,0,32,0,14774,1,2,0,0,2,0.0,1,-307,234,541,48,False,0,0
5,0,1,0.03328682854771614,90,AMR,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318503,0.021998025476932526,0,1,0,0.03328682854771614,0.055284854024648666,0,0,17,0,0,0,9,0,0,7,11.1,3,0,106,0,0,314,0,1,0,3.4,17276,9.0,1,2019-03-31T13:05:00Z,31 Mar 14:05,0,0,89,1,0,6,0,0,0,0,11,0,32,0,14774,2,0,1,2,1,14.0,2,-307,234,541,48,True,0,0
6,0,1,0.020596900954842567,90,AMR,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314574,1.3694416284561157,1,3,0,0.020596900954842567,1.3900386095046997,0,1,17,2,0,2,26,1,4,10,39.5,1,0,106,0,0,292,0,0,0,8.5,16322,34.4,3,2019-03-09T15:00:00Z,09 Mar 15:00,0,0,90,0,2,19,0,0,0,0,8,0,30,0,15328,5,0,0,0,2,11.0,8,-592,71,663,48,True,0,0
7,0,0,0,21,Sub,Cardiff,Everton,0,3,2019-02-26,9469,2018,305000,0,0,0,0,0,0.040165744721889496,0.040165744721889496,0,6,0,0,0,-4,0,1,5,0.8,0,0,106,0,0,272,2,1,0,0.1,15111,0.0,0,2019-02-26T19:45:00Z,26 Feb 19:45,0,0,22,0,0,8,0,0,0,0,1,0,28,0,16535,2,0,0,3,0,2.0,0,-450,116,566,48,True,0,1
8,0,1,0.022843854501843452,58,FWL,Cardiff,Watford,1,5,2019-02-22,9463,2018,304749,0,0,0,0,0.022843854501843452,0.0609578900039196,0.0381140373647213,0,18,0,0,0,1,0,3,11,1.8,0,0,106,0,0,264,0,1,0,2.4,14607,13.4,0,2019-02-22T19:45:00Z,22 Feb 19:45,0,0,55,1,0,18,0,0,0,0,3,0,27,0,16799,3,0,0,5,1,9.0,1,-644,232,876,48,True,0,0
9,0,2,0.5630943775177002,70,ML,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304307,0,0,0,0,0.5630943775177002,0.5630943775177002,0,0,10,0,1,0,5,1,0,6,1.7,0,0,106,0,0,243,1,0,0,5.0,13373,10.8,0,2019-02-02T17:30:00Z,02 Feb 17:30,0,0,68,0,0,2,0,0,0,0,1,0,25,0,17853,1,2,0,0,2,37.0,3,-1553,74,1627,48,True,0,0
10,0,0,0,5,Sub,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303778,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0.0,0,0,106,0,0,227,0,1,0,0.4,12211,2.0,0,2019-01-19T15:00:00Z,19 Jan 15:00,0,0,8,0,0,15,0,0,0,0,2,0,23,0,21012,3,1,0,0,3,2.0,1,-2897,439,3336,48,False,0,0
11,0,0,0,47,ML,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303108,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,5,0.6,2,0,106,0,0,203,0,3,0,0.2,11067,1.2,0,2019-01-01T17:30:00Z,01 Jan 17:30,0,0,45,1,0,17,0,0,0,0,2,0,21,0,24685,1,0,0,3,0,0.0,1,-1791,424,2215,48,True,0,0
12,0,3,0.16376738250255585,80,ML,Leicester,Cardiff,0,1,2018-12-29,9392,2018,291419,0.01615491323173046,0,1,0,0.16376738250255585,0.2288556545972824,0.04893336072564125,0,14,0,0,0,3,1,0,9,14.6,0,0,106,0,0,195,0,0,0,5.1,10499,5.4,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,77,0,0,11,0,0,0,0,6,0,20,0,26305,7,1,1,1,0,31.0,3,-3165,373,3538,48,False,0,0
13,0,2,0.08601562678813934,90,ML,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278954,0.10176878422498703,0,1,0,0.08601562678813934,0.1427367925643921,0,0,7,0,0,0,6,0,2,4,14.8,2,0,106,0,0,173,1,5,0,4.6,9366,9.2,1,2018-12-22T17:30:00Z,22 Dec 17:30,0,0,90,3,1,14,0,0,0,0,6,0,18,0,31849,4,1,1,5,1,22.0,2,-3325,663,3988,48,True,0,0
14,0,1,0.030769942328333855,49,ML,Watford,Cardiff,3,2,2018-12-15,9358,2018,278525,0,0,0,0,0.030769942328333855,0.030769942328333855,0,0,5,0,0,0,1,0,1,1,3.1,1,0,106,0,0,169,0,1,0,2.6,8804,1.0,0,2018-12-15T15:00:00Z,15 Dec 15:00,0,0,45,0,0,18,0,0,0,0,4,0,17,0,35149,4,0,0,2,3,22.0,1,-1721,1981,3702,48,False,0,0
15,0,1,0.07284729182720184,86,ML,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278261,0,0,0,0,0.07284729182720184,0.21011537313461304,0.1372680813074112,0,7,0,0,0,2,1,1,4,4.6,1,0,106,0,0,154,1,0,0,3.8,8245,6.0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,84,1,1,16,0,0,0,0,3,0,16,0,37273,5,0,0,0,1,27.0,3,3497,5581,2084,48,True,0,0
16,1,1,0.7683955430984497,23,Sub,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277971,0,0,0,1,0.7683955430984497,0,0,0,4,0,0,0,19,0,0,3,1.3,1,0,106,0,0,147,0,0,1,6.8,7687,34.0,0,2018-12-04T19:45:00Z,04 Dec 19:45,0,0,26,0,0,19,0,0,0,0,2,0,15,0,32794,3,0,0,1,3,33.0,6,-2653,890,3543,48,False,0,0
17,0,2,0.042765021324157715,68,FW,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277649,0.029338471591472626,0,1,0,0.042765021324157715,0.042765021324157715,0,0,8,0,0,0,4,0,0,3,15.5,2,0,106,0,0,132,0,1,0,3.4,7131,3.0,1,2018-11-30T20:00:00Z,30 Nov 20:00,0,0,65,0,1,20,0,0,0,0,1,0,14,0,35530,5,0,1,1,2,15.0,2,-1541,1329,2870,48,True,0,0
18,0,1,0.0867912545800209,22,Sub,Everton,Cardiff,1,0,2018-11-24,9321,2018,277502,0,0,0,0,0.0867912545800209,0.0867912545800209,0,0,3,0,0,0,2,0,0,1,1.3,0,0,106,0,0,124,1,0,0,2.3,6578,0.0,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,23,0,0,8,0,0,0,0,0,0,13,0,36807,0,0,0,0,1,22.0,1,-2794,2254,5048,48,False,0,0
19,0,3,0.09553541988134384,75,ML,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277097,0,0,0,0,0.09553541988134384,0.09553541988134384,0,0,19,0,0,0,2,0,0,15,3.6,0,0,106,0,0,112,0,1,0,0.9,6026,0.0,0,2018-11-10T12:30:00Z,10 Nov 12:30,0,0,71,0,0,3,0,0,0,0,4,0,12,0,39833,4,1,3,1,2,10.0,2,4047,7040,2993,48,True,0,0
20,0,0,0,88,ML,Cardiff,Leicester,0,1,2018-11-03,9302,2018,276930,0,0,0,0,0,0.020260736346244812,0.020260736346244812,0,8,0,0,0,2,0,0,5,1.1,2,0,106,0,0,103,2,1,0,1.4,5476,3.0,0,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,84,0,0,11,0,0,0,0,3,0,11,0,35422,5,0,0,1,0,10.0,2,5669,9222,3553,48,True,0,0
21,0,0,0,75,ML,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276554,0,0,0,0,0,0,0,0,12,0,0,0,4,0,3,5,0.8,2,0,106,0,0,96,0,2,0,0.8,4928,7.4,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,73,2,0,12,0,0,0,0,4,0,10,0,29448,4,0,0,1,4,0.0,2,8204,13066,4862,48,False,0,0
22,1,5,0.23464561998844147,87,ML,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276403,0,0,0,1,0.23464561998844147,0.26952096819877625,0.034875351935625076,0,14,0,0,0,22,0,0,6,1.8,1,0,106,0,0,83,1,2,1,10.9,4382,33.4,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,81,0,0,9,0,0,0,0,4,0,9,0,21326,3,1,2,2,4,74.0,7,10124,11910,1786,48,True,0,0
23,0,3,0.5577735900878906,90,ML,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276059,0,0,0,0,0.5577735900878906,0.5577735900878906,0,0,10,0,2,0,-3,0,0,9,3.5,1,0,106,0,0,79,1,1,0,5.0,3840,6.8,0,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,90,0,0,17,0,0,0,0,3,0,8,0,9978,3,0,1,0,1,40.0,2,2317,2956,639,48,False,0,0
24,1,6,0.36905282735824585,90,ML,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260381,0.028766365721821785,0,1,1,0.36905282735824585,0.37458717823028564,0.16040678322315216,0,10,0,0,1,24,0,0,7,19.2,4,0,106,0,0,63,1,2,1,11.8,3301,41.0,1,2018-09-30T15:00:00Z,30 Sep 16:00,0,0,90,0,2,4,0,0,0,0,2,0,7,0,7254,3,0,3,2,1,58.0,8,-508,91,599,48,True,0,0
25,0,0,0,13,Sub,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260137,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0.3,0,0,106,0,0,54,0,1,0,0.2,2763,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,15,1,0,13,0,0,0,0,0,0,6,0,7667,1,0,0,5,0,2.0,1,-1606,29,1635,48,True,0,0
26,0,3,0.12155463546514511,90,ML,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259319,0.010058526881039143,0,1,0,0.12155463546514511,0.2277693897485733,0.1062147468328476,0,13,0,0,0,6,1,2,6,11.1,2,0,106,0,0,24,0,0,0,3.6,1158,5.2,1,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,90,0,0,10,0,0,0,0,4,0,3,0,12063,5,1,2,0,0,20.0,3,-947,1310,2257,50,False,0,0
27,0,1,0.03173627331852913,81,FWL,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258999,0.09348063915967941,0,1,0,0.03173627331852913,0.149025559425354,0.05554492399096489,0,24,0,0,0,10,1,2,16,25.0,1,0,106,0,0,13,1,0,0,3.4,631,8.4,1,2018-08-18T11:30:00Z,18 Aug 12:30,0,0,77,0,2,15,0,0,0,0,4,0,2,0,12486,2,1,1,0,0,1.0,3,-2176,248,2424,50,True,0,0
28,0,2,0.1811245083808899,25,Sub,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258707,1.0737680196762085,0,2,0,0.1811245083808899,0.168182834982872,0,0,9,0,0,0,4,0,0,6,20.6,2,0,106,0,0,2,0,1,0,4.7,106,4.4,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,27,0,0,2,0,0,0,0,2,0,1,0,14017,2,0,1,0,2,22.0,1,0,0,0,50,False,0,0
29,,,,,,,,,,2018-09-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,106,0,0,33,0,0,0,0.0,1689,0.0,0,2018-09-02T12:30:00Z,02 Sep 13:30,0,0,0,0,0,1,0,0,0,0,0,0,4,0,11803,0,0,0,3,2,0.0,0,-654,1009,1663,49,True,0,0
30,,,,,,,,,,2018-09-15,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,106,0,0,42,0,0,0,0.0,2226,0.0,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,0,0,0,6,0,0,0,0,0,0,5,0,9223,0,0,0,1,4,0.0,0,-2588,166,2754,49,False,0,0
31,,,,,,,,,,2018-12-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,106,0,0,183,0,0,0,0.0,9931,0.0,0,2018-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,19,0,29439,0,0,0,0,0,0.0,0,-2517,747,3264,48,False,0,0
32,,,,,,,,,,2019-01-12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,106,0,0,213,0,0,0,0.0,11637,0.0,0,2019-01-12T15:00:00Z,12 Jan 15:00,0,0,0,0,0,10,0,0,0,0,0,0,22,0,23920,0,0,0,0,0,0.0,0,-1002,1657,2659,48,True,0,0
33,,,,,,,,,,2019-01-29,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,106,0,0,231,0,0,0,0.0,12790,0.0,0,2019-01-29T19:45:00Z,29 Jan 19:45,0,0,0,0,0,1,0,0,0,0,0,0,24,0,19548,0,0,0,1,2,0.0,0,-1540,155,1695,48,False,0,0
