,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,10,Sub,West Ham,Fulham,3,1,2022-10-09,18301,2022,554764,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.015409805811941624,90,MC,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473287,0,0,0,0,0.015409805811941624,0.10399974882602692,0.08858994394540787,0.0,,,,0.0,13.0,0.0,,,4.3,,,188.0,,,371.0,,2.0,0.0,2.1,,9.0,,2021-05-23T15:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,38.0,0.0,3124.0,,,,2.0,0.0,8.0,2.0,14.0,53.0,39.0,46.0,True,,0.0
2,0,1,0.05818323418498039,77,AMC,Southampton,Fulham,3,1,2021-05-15,14792,2020,470996,0,0,0,0,0.05818323418498039,0.47190001606941223,0.41371676325798035,0.0,,,,0.0,12.0,0.0,,,3.8,,,188.0,,,357.0,,2.0,0.0,1.0,,1.8,,2021-05-15T14:00:00Z,,,,75.0,,,16.0,0.0,,0.0,0.0,,0.0,36.0,0.0,3097.0,,,,1.0,3.0,4.0,2.0,26.0,56.0,30.0,46.0,False,,0.0
3,0,1,0.02327047847211361,23,Sub,Fulham,Burnley,0,2,2021-05-10,14777,2020,469818,0.032975926995277405,0,1,0,0.02327047847211361,0.16762769222259521,0.11138128489255905,0.0,,,,0.0,4.0,0.0,,,10.8,,,188.0,,,341.0,,0.0,0.0,1.7,,2.4,,2021-05-10T19:00:00Z,,,,24.0,,,4.0,0.0,,0.0,0.0,,0.0,35.0,0.0,3062.0,,,,2.0,0.0,4.0,1.0,-23.0,36.0,59.0,46.0,True,,0.0
4,0,0,0,11,Sub,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467120,0,0,0,0,0,0.015935730189085007,0.015935730189085007,0.0,,,,0.0,4.0,0.0,,,1.5,,,188.0,,,331.0,,0.0,0.0,0.4,,2.6,,2021-05-01T16:30:00Z,,,,12.0,,,5.0,0.0,,0.0,0.0,,0.0,34.0,0.0,3081.0,,,,0.0,2.0,0.0,1.0,26.0,62.0,36.0,46.0,False,,0.0
5,0,2,0.11813941597938538,3,Sub,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460406,0,0,0,0,0.11813941597938538,0.11813941597938538,0.10090993344783783,0.0,,,,0.0,0.0,0.0,,,0.3,,,188.0,,,290.0,,1.0,0.0,1.0,,0.0,,2021-04-04T15:30:00Z,,,,7.0,,,2.0,0.0,,0.0,0.0,,0.0,30.0,0.0,3017.0,,,,1.0,3.0,11.0,1.0,-40.0,10.0,50.0,46.0,False,,0.0
6,0,1,0.34119313955307007,16,Sub,Fulham,Manchester City,0,3,2021-03-13,14708,2020,456638,0,0,0,0,0.34119313955307007,0.42699265480041504,0.08579950779676437,0.0,,,,0.0,1.0,0.0,,,0.5,,,188.0,,,272.0,,0.0,0.0,2.3,,4.6,,2021-03-13T20:00:00Z,,,,17.0,,,12.0,0.0,,0.0,0.0,,0.0,28.0,0.0,3035.0,,,,3.0,0.0,18.0,1.0,-25.0,55.0,80.0,46.0,True,,0.0
7,0,0,0,1,Sub,Everton,Fulham,0,2,2021-02-14,14669,2020,449928,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,188.0,,,233.0,,0.0,0.0,0.0,,0.0,,2021-02-14T19:00:00Z,,,,1.0,,,7.0,0.0,,0.0,0.0,,0.0,24.0,0.0,2973.0,,,,2.0,0.0,0.0,0.0,-5.0,67.0,72.0,46.0,False,,1.0
8,0,0,0,10,Sub,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442430,0,0,0,0,0,0,0,0.0,,,,0.0,2.0,0.0,,,0.1,,,188.0,,,181.0,,0.0,0.0,0.1,,1.2,,2021-01-16T17:30:00Z,,,,11.0,,,5.0,0.0,,0.0,0.0,,0.0,19.0,0.0,2881.0,,,,1.0,0.0,0.0,1.0,13.0,64.0,51.0,46.0,True,,0.0
9,0,0,0,1,Sub,Tottenham,Fulham,1,1,2021-01-13,14589,2020,441954,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,188.0,,,157.0,,0.0,0.0,0.0,,0.0,,2021-01-13T20:15:00Z,,,,1.0,,,17.0,0.0,,0.0,0.0,,0.0,18.0,0.0,2840.0,,,,1.0,1.0,0.0,1.0,-82.0,21.0,103.0,46.0,False,,0.0
10,0,0,0,60,AMC,Leeds,Fulham,4,3,2020-09-19,14097,2020,415800,0,0,0,0,0,0.016441142186522484,0.016441142186522484,0.0,,,,0.0,4.0,0.0,,,4.3,,,188.0,,,13.0,,4.0,0.0,1.0,,3.8,,2020-09-19T14:00:00Z,,,,57.0,,,10.0,0.0,,0.0,0.0,,0.0,2.0,0.0,12390.0,,,,3.0,4.0,2.0,1.0,-1116.0,987.0,2103.0,50.0,False,,0.0
11,0,0,0,76,AMC,Fulham,Arsenal,0,3,2020-09-12,14086,2020,414508,0,0,0,0,0,0.04542940855026245,0.04542940855026245,0.0,,,,0.0,3.0,0.0,,,3.1,,,188.0,,,2.0,,3.0,0.0,1.1,,8.2,,2020-09-12T11:30:00Z,,,,74.0,,,1.0,0.0,,0.0,0.0,,0.0,1.0,0.0,11895.0,,,,3.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,True,,0.0
12,0,0,0,1,Sub,Tottenham,Watford,4,0,2017-04-08,3453,2016,133804,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.1,0.0,0.0,399.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,18927.0,0.0,0.0,2017-04-08T11:30:00Z,08 Apr 12:30,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,3616.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,30.0,109.0,79.0,42.0,True,0.0,0.0
13,0,1,0.08651961386203766,4,Sub,Tottenham,Hull,3,0,2016-12-15,3134,2016,131495,0,0,0,0,0.08651961386203766,0.08651961386203766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,1,Sub,Tottenham,Swansea,5,0,2016-12-03,3109,2016,128905,0,0,0,0,0,0.02391596883535385,0.02391596883535385,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.3,0.0,0.0,399.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,7942.0,0.0,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2583.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,-13.0,89.0,102.0,43.0,True,0.0,0.0
15,0,0,0,4,Sub,Tottenham,Liverpool,1,1,2016-08-27,481,2016,125896,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.7,1.0,0.0,399.0,0.0,0.0,27.0,0.0,0.0,0.0,0.2,1464.0,1.4,0.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,8.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2172.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,-105.0,82.0,187.0,45.0,True,0.0,0.0
16,0,0,0,1,Sub,Tottenham,Crystal Palace,1,0,2016-08-20,475,2016,125588,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.5,0.0,0.0,399.0,0.0,0.0,16.0,0.0,0.0,0.0,0.7,924.0,6.0,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2152.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-187.0,41.0,228.0,45.0,True,0.0,0.0
17,0,1,0.06146785616874695,42,Sub,Newcastle United,Tottenham,5,1,2016-05-15,454,2015,57770,0,0,0,0,0.06146785616874695,0.1993020474910736,0.13783419132232666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.09259182214736938,4,Sub,Tottenham,Swansea,2,1,2016-02-28,347,2015,66236,0,0,0,0,0.09259182214736938,0.09259182214736938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,15,Sub,Tottenham,Sunderland,4,1,2016-01-16,291,2015,59128,0,0,0,0,0,0.0161662008613348,0.0161662008613348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,1,Sub,Tottenham,Leicester,0,1,2016-01-14,290,2015,61302,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,1,Sub,Everton,Tottenham,1,1,2016-01-03,280,2015,61288,0.035438258200883865,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,4,Sub,Tottenham,West Ham,4,1,2015-11-22,209,2015,60974,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,1,Sub,Arsenal,Tottenham,1,1,2015-11-08,199,2015,59860,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,0.0248049795627594,1,Sub,Tottenham,Aston Villa,3,1,2015-11-03,190,2015,59018,0,0,0,0,0.0248049795627594,0.36910057067871094,0.34429559111595154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,2016-08-13,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2094.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0,0.0
26,,,,,,,,,,2016-09-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2242.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-84.0,220.0,304.0,45.0,False,0.0,0.0
27,,,,,,,,,,2016-09-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2595.0,0.0,0.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2268.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-51.0,183.0,234.0,44.0,True,0.0,0.0
28,,,,,,,,,,2016-09-24,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,3179.0,0.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2308.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-41.0,222.0,263.0,44.0,False,0.0,0.0
29,,,,,,,,,,2016-10-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,3765.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2268.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-77.0,114.0,191.0,44.0,True,0.0,0.0
