,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,3,Sub,Southampton,Huddersfield,1,1,2019-05-12,9569,2018,332410,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,342,0.0,0.0,378,0.0,0,0,0.0,21509.0,0.0,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,6,0.0,0.0,10,0,0.0,0,0,0.0,0,38,0,2717,0.0,0.0,0.0,1,1,0.0,1,-19,51,70,44,True,0.0,0
1,0,0,0,21,Sub,Watford,Southampton,1,1,2019-04-23,9499,2018,327331,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,342,0.0,0.0,308,0.0,1,0,0.0,19526.0,0.0,0.0,2019-04-23T18:45:00Z,23 Apr 19:45,0.0,0.0,23,1.0,0.0,18,0,0.0,0,0,2.0,0,35,0,2891,2.0,0.0,0.0,1,1,0.0,1,374,449,75,44,False,0.0,0
2,0,1,0.08767866343259811,47,AMC,Newcastle United,Southampton,3,1,2019-04-20,9539,2018,326223,0,0,0,0,0.08767866343259811,0.08767866343259811,0,0,9.0,0.0,0.0,0,1,0,1.0,3.0,0.4,0.0,0.0,342,0.0,0.0,348,0.0,2,0,2.0,19527.0,0.0,0.0,2019-04-20T16:30:00Z,20 Apr 17:30,0.0,0.0,45,0.0,0.0,15,0,0.0,0,0,4.0,0,35,0,2891,3.0,0.0,0.0,1,3,20.0,1,374,449,75,44,False,0.0,0
3,0,2,0.5615683197975159,63,AMC,Southampton,Wolverhampton Wanderers,3,1,2019-04-13,9529,2018,324183,0.698920726776123,1,1,0,0.5615683197975159,1.6727055311203003,0.41221651434898376,1,11.0,1.0,1.0,0,14,0,1.0,11.0,13.9,1.0,0.0,342,0.0,0.0,338,1.0,1,0,3.5,18793.0,14.2,1.0,2019-04-13T14:00:00Z,13 Apr 15:00,0.0,0.0,60,0.0,0.0,20,0,0.0,0,0,7.0,0,34,0,2438,2.0,0.0,2.0,1,3,7.0,5,-3,39,42,44,True,0.0,0
4,0,0,0,27,Sub,Southampton,Liverpool,1,3,2019-04-05,9520,2018,322335,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0,0,0,0.0,5.0,0.5,0.0,0.0,342,0.0,0.0,327,0.0,2,0,0.3,18268.0,0.2,0.0,2019-04-05T19:00:00Z,05 Apr 20:00,0.0,0.0,28,0.0,0.0,12,0,0.0,0,0,1.0,0,33,0,2439,3.0,0.0,0.0,3,1,2.0,1,-3,26,29,44,True,0.0,0
5,0,0,0,1,Sub,Brighton,Southampton,0,1,2019-03-30,9516,2018,317966,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0,3,0,0.0,1.0,1.1,0.0,0.0,342,0.0,0.0,312,0.0,0,0,0.3,17620.0,2.0,0.0,2019-03-30T15:00:00Z,30 Mar 15:00,0.0,0.0,1,0.0,0.0,3,0,0.0,0,0,1.0,0,32,0,2467,0.0,0.0,0.0,1,0,0.0,1,3,49,46,44,False,0.0,0
6,0,2,0.11954416334629059,43,Sub,Southampton,Tottenham,2,1,2019-03-09,9487,2018,314523,0,0,0,0,0.11954416334629059,0.11954416334629059,0,0,13.0,0.0,0.0,0,6,0,0.0,11.0,2.6,2.0,0.0,342,0.0,0.0,300,0.0,0,0,3.5,16558.0,5.4,0.0,2019-03-09T15:00:00Z,09 Mar 15:00,0.0,0.0,45,0.0,0.0,17,0,0.0,0,0,4.0,0,30,0,2432,0.0,0.0,0.0,1,2,27.0,1,12,65,53,44,True,0.0,0
7,0,2,0.10286293178796768,4,Sub,Southampton,Chelsea,2,3,2018-04-14,7455,2017,233051,0,0,0,0,0.10286293178796768,0.10286293178796768,0,0,5.0,0.0,0.0,0,2,0,0.0,3.0,0.6,0.0,0.0,323,0.0,0.0,337,0.0,0,0,4.3,19346.0,7.0,0.0,2018-04-14T11:30:00Z,14 Apr 12:30,0.0,0.0,7,0.0,0.0,5,0,0.0,0,0,0.0,0,34,0,4154,3.0,1.0,0.0,3,2,35.0,1,-10,70,80,43,True,0.0,0
8,0,1,0.059607017785310745,8,Sub,Arsenal,Southampton,3,2,2018-04-08,7439,2017,230265,0,0,0,0,0.059607017785310745,0.059607017785310745,0,0,11.0,0.0,0.0,0,1,0,1.0,7.0,4.0,0.0,0.0,323,0.0,0.0,321,0.0,1,0,2.3,18555.0,1.0,0.0,2018-04-08T13:15:00Z,08 Apr 14:15,0.0,0.0,10,0.0,0.0,1,0,0.0,0,0,1.0,0,33,0,4122,2.0,0.0,0.0,2,3,18.0,1,-57,46,103,43,False,0.0,0
9,0,2,0.054852575063705444,43,Sub,Newcastle United,Southampton,3,0,2018-03-10,7415,2017,222292,0.09801395237445831,0,1,0,0.054852575063705444,0.15286652743816376,0.09801395237445831,0,16.0,0.0,0.0,0,3,0,0.0,14.0,17.4,1.0,0.0,323,0.0,0.0,297,1.0,1,0,4.2,17017.0,7.8,1.0,2018-03-10T15:00:00Z,10 Mar 15:00,0.0,0.0,45,1.0,1.0,13,0,0.0,0,0,3.0,0,30,0,4298,2.0,0.0,0.0,0,3,17.0,1,329,424,95,43,False,0.0,0
10,0,3,0.19785362482070923,81,AMR,Southampton,Stoke,0,0,2018-03-03,7405,2017,220946,0.035212401300668716,0,1,0,0.19785362482070923,0.23306602239608765,0,0,23.0,0.0,0.0,0,7,1,0.0,20.0,16.2,1.0,0.0,323,0.0,0.0,287,0.0,0,0,8.7,16384.0,15.2,1.0,2018-03-03T15:00:00Z,03 Mar 15:00,0.0,0.0,75,1.0,0.0,15,0,0.0,0,0,1.0,0,29,0,4703,2.0,1.0,0.0,0,0,56.0,3,92,148,56,43,True,0.0,0
11,0,3,0.15084557235240936,21,Sub,Burnley,Southampton,1,1,2018-02-24,7398,2017,219149,0,0,0,0,0.15084557235240936,0.2718563973903656,0.12101081013679504,0,8.0,0.0,0.0,0,2,0,0.0,5.0,5.3,0.0,0.0,323,0.0,0.0,274,0.0,0,0,3.0,15754.0,1.6,0.0,2018-02-24T15:00:00Z,24 Feb 15:00,0.0,0.0,22,0.0,1.0,4,0,0.0,0,0,0.0,0,28,0,4594,0.0,0.0,2.0,1,1,23.0,1,24,152,128,43,False,0.0,0
12,0,0,0,1,Sub,Watford,Southampton,2,2,2018-01-13,7347,2017,207760,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,229,0.0,0,0,0.0,12688.0,0.0,0.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,1,0.0,0.0,18,0,0.0,0,0,0.0,0,23,0,4476,0.0,0.0,0.0,2,2,0.0,1,1,249,248,43,False,0.0,0
13,0,0,0,31,Sub,Southampton,Hull,0,0,2017-04-29,3484,2016,134469,0,0,0,0,0,0,0,0,10.0,0.0,0.0,0,4,0,0.0,9.0,1.9,0.0,0.0,604,0.0,0.0,345,1.0,0,0,0.5,21197.0,1.0,0.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,33,0.0,0.0,7,0,0.0,0,0,2.0,0,35,0,12257,0.0,1.0,0.0,0,0,2.0,1,-396,41,437,42,True,0.0,0
14,0,0,0,18,Sub,West Bromwich Albion,Southampton,0,1,2017-04-08,3454,2016,133930,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0,2,0,1.0,2.0,0.0,0.0,0.0,604,0.0,0.0,319,0.0,0,0,0.1,19132.0,1.2,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,20,0.0,0.0,19,0,0.0,0,0,2.0,0,32,0,13440,1.0,0.0,0.0,1,0,0.0,1,-187,297,484,42,False,0.0,0
15,0,0,0,13,Sub,Swansea,Southampton,2,1,2017-01-31,3365,2016,132284,0,0,0,0,0,0,0,0,11.0,0.0,0.0,0,2,0,0.0,7.0,1.0,0.0,0.0,604,0.0,0.0,226,0.0,0,0,1.4,13721.0,0.6,0.0,2017-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,15,0.0,0.0,16,0,0.0,0,0,0.0,0,23,0,15623,1.0,0.0,0.0,1,2,12.0,1,12,1531,1519,42,False,0.0,0
16,0,1,0.0541105680167675,9,Sub,Burnley,Southampton,1,0,2017-01-14,3345,2016,130216,0.029370298609137535,0,1,0,0.0541105680167675,0.08348086476325989,0,0,5.0,0.0,0.0,0,5,0,0.0,4.0,12.8,1.0,0.0,604,0.0,0.0,201,0.0,0,0,4.0,12456.0,6.2,1.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,11,0.0,0.0,3,0,0.0,0,0,0.0,0,21,0,15047,0.0,0.0,0.0,0,1,21.0,1,2317,5921,3604,42,False,0.0,0
17,0,0,0,14,Sub,Southampton,West Bromwich Albion,1,2,2016-12-31,3160,2016,130775,0,0,0,0,0,0,0,0,9.0,0.0,0.0,0,4,0,0.0,7.0,1.8,1.0,0.0,604,0.0,0.0,188,0.0,0,0,0.4,11210.0,0.2,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,17,0.0,0.0,19,0,0.0,0,0,3.0,0,19,0,8983,1.0,0.0,0.0,2,1,2.0,1,2147,3254,1107,42,True,0.0,0
18,0,1,0.06140638887882233,29,Sub,Crystal Palace,Southampton,3,0,2016-12-03,3106,2016,128425,0,0,0,0,0.06140638887882233,0.08827251940965652,0.02686612866818905,0,8.0,0.0,0.0,0,4,0,0.0,6.0,1.1,2.0,0.0,604,0.0,0.0,132,0.0,1,0,0.7,8147.0,0.2,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,32,0.0,0.0,5,0,0.0,0,0,2.0,0,14,0,7519,0.0,0.0,1.0,0,3,6.0,1,7131,7528,397,45,False,0.0,0
19,0,3,0.4477362632751465,85,FWL,Southampton,Everton,1,0,2016-11-27,2715,2016,128189,0.8260823488235474,1,1,0,0.4477362632751465,1.640287160873413,0.7441883683204651,1,33.0,1.0,1.0,0,27,1,1.0,28.0,19.6,5.0,0.0,604,0.0,0.0,128,1.0,0,0,9.2,7543.0,32.4,1.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,83,0.0,0.0,6,0,0.0,0,0,6.0,0,13,0,0,3.0,2.0,0.0,0,1,40.0,6,0,0,0,45,True,0.0,0
20,,,,,,,,,,2017-08-12,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,6,0.0,0,0,0.0,323.0,0.0,0.0,2017-08-12T14:00:00Z,12 Aug 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,1,0,2592,0.0,0.0,0.0,0,0,0.0,0,0,0,0,45,True,0.0,0
21,,,,,,,,,,2017-08-19,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,15,0.0,0,0,0.0,834.0,0.0,0.0,2017-08-19T14:00:00Z,19 Aug 15:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,2,0,2707,0.0,0.0,0.0,2,3,0.0,0,-250,90,340,45,True,0.0,0
22,,,,,,,,,,2017-08-26,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,24,0.0,0,0,0.0,1350.0,0.0,0.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,3,0,2627,0.0,0.0,0.0,0,0,0.0,0,-182,112,294,45,False,0.0,0
23,,,,,,,,,,2017-09-09,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,36,0.0,0,0,0.0,1881.0,0.0,0.0,2017-09-09T14:00:00Z,09 Sep 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,4,0,2551,0.0,0.0,0.0,2,0,0.0,0,-164,73,237,45,True,0.0,0
24,,,,,,,,,,2017-09-16,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,42,0.0,0,0,0.0,2425.0,0.0,0.0,2017-09-16T11:30:00Z,16 Sep 12:30,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,5,0,3361,0.0,0.0,0.0,1,0,0.0,0,609,1019,410,44,False,0.0,0
25,,,,,,,,,,2017-09-23,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,55,0.0,0,0,0.0,2971.0,0.0,0.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,6,0,4373,0.0,0.0,0.0,1,0,0.0,0,747,1563,816,44,True,0.0,0
