,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,GK,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554165,0,0,0,0,0,0.1431545615196228,0.1431545615196228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,GK,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552622,0,0,0,0,0,0.05618968605995178,0.05618968605995178,0.0,0.0,13.0,0.0,0.0,478.0,90.0,2.0,0.0,2.3,22.6,2022-10-01T16:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,9.0,3.0,624687.0,0.0,2.0,0.0,2.0,39986.0,68428.0,28442.0,50.0,False,0.0
2,0,0,0,90,GK,Wolverhampton Wanderers,Manchester City,0,3,2022-09-17,18274,2022,550427,0,0,0,0,0,0.05834152549505234,0.05834152549505234,0.0,0.0,19.0,0.0,0.0,478.0,80.0,3.0,0.0,2.7,27.0,2022-09-17T11:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,8.0,4.0,565753.0,3.0,0.0,0.0,2.0,-2192.0,22414.0,24606.0,50.0,True,0.0
3,0,0,0,90,GK,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547183,0,0,0,0,0,0,0,0.0,0.0,22.0,1.0,0.0,478.0,60.0,0.0,0.0,0.9,9.4,2022-09-03T14:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,6.0,1.0,542035.0,0.0,1.0,0.0,6.0,30677.0,58225.0,27548.0,50.0,True,0.0
4,0,0,0,90,GK,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546296,0,0,0,0,0,0.08001638203859329,0.08001638203859329,0.0,0.0,24.0,1.0,0.0,478.0,42.0,0.0,0.0,1.9,18.8,2022-08-31T18:30:00Z,90.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,495340.0,0.0,0.0,0.0,6.0,30225.0,55681.0,25456.0,50.0,False,0.0
5,0,0,0,90,GK,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545078,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,0.0,478.0,40.0,1.0,0.0,3.4,33.8,2022-08-28T13:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,4.0,5.0,447476.0,1.0,1.0,0.0,3.0,21558.0,53958.0,32400.0,50.0,True,0.0
6,0,0,0,90,GK,Tottenham,Wolverhampton Wanderers,1,0,2022-08-20,18222,2022,542135,0,0,0,0,0,0.036819007247686386,0.036819007247686386,0.0,0.0,14.0,0.0,0.0,478.0,29.0,1.0,0.0,2.3,22.8,2022-08-20T11:30:00Z,90.0,18.0,0.0,0.0,0.0,0.0,3.0,3.0,398294.0,0.0,1.0,0.0,3.0,31032.0,58999.0,27967.0,50.0,False,0.0
7,0,0,0,90,GK,Wolverhampton Wanderers,Fulham,0,0,2022-08-13,18216,2022,540615,0,0,0,0,0,0,0,0.0,3.0,43.0,1.0,0.0,478.0,20.0,0.0,0.0,4.8,48.4,2022-08-13T14:00:00Z,90.0,9.0,0.0,0.0,1.0,0.0,2.0,3.0,320020.0,0.0,0.0,0.0,15.0,-24857.0,7818.0,32675.0,50.0,True,0.0
8,0,0,0,90,GK,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539440,0,0,0,0,0,0.017455780878663063,0.017455780878663063,0.0,0.0,17.0,0.0,0.0,478.0,5.0,2.0,0.0,2.4,24.0,2022-08-06T14:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,323035.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,50.0,False,0.0
9,0,0,0,51,GK,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537898,0,0,0,0,0,0.7683336138725281,0.7683336138725281,0.0,0.0,7.0,0.0,0.0,475.0,378.0,1.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,45.0,11.0,0.0,0.0,0.0,0.0,38.0,1.0,734642.0,1.0,3.0,0.0,1.0,-49022.0,1511.0,50533.0,52.0,False,0.0
10,0,0,0,90,GK,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534885,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,475.0,330.0,5.0,0.0,0.0,0.0,2022-05-11T19:15:00Z,90.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,796078.0,5.0,1.0,0.0,0.0,-91228.0,8294.0,99522.0,52.0,True,0.0
11,0,0,0,90,GK,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534269,0,0,0,0,0,0,0,0.0,0.0,17.0,0.0,0.0,475.0,355.0,2.0,0.0,3.4,34.4,2022-05-07T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,36.0,4.0,796078.0,2.0,2.0,0.0,2.0,-91228.0,8294.0,99522.0,52.0,False,0.0
12,0,0,0,90,GK,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530472,0,0,0,0,0,0.025506189092993736,0.025506189092993736,0.0,0.0,23.0,0.0,0.0,475.0,350.0,3.0,0.0,3.7,37.0,2022-04-30T14:00:00Z,90.0,4.0,0.0,0.0,0.0,0.0,35.0,6.0,911336.0,3.0,0.0,0.0,3.0,-19645.0,10532.0,30177.0,53.0,True,0.0
13,0,0,0,90,GK,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529307,0,0,0,0,0,0.03266768530011177,0.03266768530011177,0.0,0.0,17.0,0.0,0.0,475.0,334.0,1.0,0.0,2.7,27.0,2022-04-24T13:00:00Z,90.0,5.0,0.0,0.0,0.0,0.0,34.0,4.0,927092.0,0.0,1.0,0.0,3.0,-20353.0,14634.0,34987.0,53.0,False,0.0
14,0,0,0,90,GK,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524199,0,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,475.0,317.0,1.0,0.0,1.6,16.2,2022-04-08T19:00:00Z,90.0,14.0,0.0,0.0,0.0,0.0,32.0,3.0,1086774.0,0.0,1.0,0.0,3.0,-11500.0,20148.0,31648.0,53.0,False,0.0
15,0,0,0,90,GK,Wolverhampton Wanderers,Aston Villa,2,1,2022-04-02,16676,2021,522831,0,0,0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,475.0,310.0,1.0,0.0,2.6,25.6,2022-04-02T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,31.0,4.0,1094878.0,1.0,2.0,0.0,3.0,-35489.0,30801.0,66290.0,53.0,True,0.0
16,0,0,0,90,GK,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520928,0,0,0,0,0,0.07608702778816223,0.07608702778816223,0.0,0.0,13.0,0.0,0.0,475.0,300.0,3.0,0.0,1.7,16.6,2022-03-18T20:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,30.0,2.0,1462924.0,3.0,2.0,0.0,1.0,94983.0,105041.0,10058.0,53.0,True,0.0
17,0,0,0,90,GK,Everton,Wolverhampton Wanderers,0,1,2022-03-13,16661,2021,519964,0,0,0,0,0,0.09731287509202957,0.09731287509202957,0.0,0.0,25.0,1.0,0.0,475.0,286.0,0.0,0.0,2.0,20.0,2022-03-13T14:00:00Z,90.0,8.0,0.0,0.0,0.0,0.0,29.0,2.0,1017347.0,1.0,0.0,0.0,6.0,-12268.0,42540.0,54808.0,53.0,False,0.0
18,0,0,0,90,GK,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518883,0,0,0,0,0,0.0771123617887497,0.0771123617887497,0.0,0.0,24.0,1.0,0.0,475.0,190.0,0.0,0.0,0.5,4.6,2022-03-10T19:30:00Z,90.0,18.0,0.0,0.0,0.0,0.0,28.0,0.0,1137043.0,0.0,4.0,0.0,6.0,259974.0,289031.0,29057.0,53.0,True,0.0
19,0,0,0,90,GK,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517604,0,0,0,0,0,0,0,0.0,0.0,21.0,0.0,0.0,475.0,280.0,2.0,0.0,4.7,47.2,2022-03-05T15:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,28.0,6.0,1137043.0,2.0,0.0,0.0,3.0,259974.0,289031.0,29057.0,53.0,True,0.0
20,0,0,0,90,GK,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516499,0,0,0,0,0,0.08498076349496841,0.08498076349496841,0.0,0.0,18.0,0.0,0.0,475.0,270.0,1.0,0.0,2.6,26.4,2022-02-27T14:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,27.0,3.0,746866.0,0.0,1.0,0.0,3.0,42568.0,59691.0,17123.0,52.0,False,0.0
21,0,0,0,90,GK,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515410,0,0,0,0,0,0.08431968092918396,0.08431968092918396,0.0,0.0,13.0,0.0,0.0,475.0,191.0,2.0,0.0,2.4,24.2,2022-02-24T19:45:00Z,90.0,1.0,1.0,0.0,0.0,0.0,26.0,4.0,761789.0,1.0,2.0,0.0,0.0,76520.0,98306.0,21786.0,52.0,False,0.0
22,0,0,0,90,GK,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514955,0,0,0,0,0,0,0,0.0,0.0,22.0,0.0,0.0,475.0,260.0,1.0,0.0,3.9,38.6,2022-02-20T16:30:00Z,90.0,9.0,0.0,0.0,0.0,0.0,26.0,6.0,761789.0,1.0,2.0,0.0,4.0,76520.0,98306.0,21786.0,52.0,True,0.0
23,0,0,0,90,GK,Tottenham,Wolverhampton Wanderers,0,2,2022-02-13,16624,2021,513315,0,0,0,0,0,0,0,0.0,2.0,38.0,1.0,0.0,475.0,249.0,0.0,0.0,5.9,59.0,2022-02-13T14:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,25.0,7.0,654573.0,2.0,0.0,0.0,10.0,-13085.0,20460.0,33545.0,52.0,False,0.0
24,0,0,0,90,GK,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512252,0,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,475.0,236.0,1.0,0.0,1.2,12.0,2022-02-10T19:45:00Z,90.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,670122.0,1.0,0.0,0.0,2.0,9975.0,45542.0,35567.0,52.0,True,0.0
25,0,0,0,90,GK,Brentford,Wolverhampton Wanderers,1,2,2022-01-22,16597,2021,509799,0,0,0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,475.0,222.0,1.0,0.0,0.8,8.2,2022-01-22T15:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,666350.0,2.0,1.0,0.0,1.0,116193.0,128610.0,12417.0,52.0,False,1.0
26,0,0,0,90,GK,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508136,0,0,0,0,0,0.1088135614991188,0.1088135614991188,0.0,2.0,33.0,0.0,0.0,475.0,220.0,1.0,0.0,6.8,68.0,2022-01-15T15:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,22.0,9.0,545898.0,1.0,3.0,0.0,7.0,147697.0,184525.0,36828.0,52.0,True,0.0
27,0,0,0,90,GK,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505890,0,0,0,0,0,0.02500894106924534,0.02500894106924534,0.0,0.0,24.0,1.0,0.0,475.0,208.0,0.0,0.0,1.1,11.0,2022-01-03T17:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,21.0,2.0,380890.0,1.0,0.0,0.0,5.0,21222.0,45790.0,24568.0,51.0,False,1.0
28,0,0,0,90,GK,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,503996,0,0,0,0,0,0,0,0.0,0.0,25.0,1.0,0.0,475.0,180.0,0.0,0.0,1.3,13.2,2021-12-19T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,18.0,1.0,380880.0,0.0,0.0,0.0,6.0,27111.0,41689.0,14578.0,51.0,True,0.0
29,0,0,0,90,GK,Brighton,Wolverhampton Wanderers,0,1,2021-12-15,16538,2021,503287,0,0,0,0,0,0,0,0.0,0.0,23.0,1.0,0.0,475.0,163.0,0.0,0.0,1.8,18.0,2021-12-15T19:30:00Z,90.0,4.0,0.0,0.0,0.0,0.0,17.0,2.0,340737.0,1.0,0.0,0.0,6.0,36090.0,46549.0,10459.0,51.0,False,0.0
30,0,0,0,90,GK,Manchester City,Wolverhampton Wanderers,1,0,2021-12-11,16534,2021,501383,0,0,0,0,0,0,0,0.0,0.0,27.0,0.0,0.0,475.0,159.0,1.0,0.0,6.8,67.6,2021-12-11T12:30:00Z,90.0,12.0,0.0,0.0,0.0,0.0,16.0,8.0,296792.0,0.0,1.0,0.0,4.0,40289.0,60531.0,20242.0,50.0,False,0.0
31,0,0,0,90,GK,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499914,0,0,0,0,0,0,0,0.0,0.0,16.0,0.0,0.0,475.0,150.0,1.0,0.0,2.3,23.0,2021-12-04T15:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,15.0,3.0,250279.0,1.0,0.0,0.0,3.0,-15552.0,26872.0,42424.0,50.0,True,0.0
32,0,0,0,90,GK,Wolverhampton Wanderers,Burnley,0,0,2021-12-01,16511,2021,498972,0,0,0,0,0,0.015162534080445766,0.015162534080445766,0.0,0.0,25.0,1.0,0.0,475.0,137.0,0.0,0.0,1.3,13.4,2021-12-01T19:30:00Z,90.0,5.0,0.0,0.0,0.0,0.0,14.0,1.0,266044.0,0.0,0.0,0.0,6.0,32380.0,39871.0,7491.0,50.0,True,0.0
33,0,0,0,90,GK,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497387,0,0,0,0,0,0,0,0.0,3.0,30.0,1.0,0.0,475.0,130.0,0.0,0.0,3.3,33.4,2021-11-27T15:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,13.0,4.0,229810.0,0.0,0.0,0.0,10.0,20638.0,26022.0,5384.0,50.0,False,0.0
34,0,0,0,90,GK,Wolverhampton Wanderers,West Ham,1,0,2021-11-20,16495,2021,495757,0,0,0,0,0,0.06116780266165733,0.06116780266165733,0.0,1.0,28.0,1.0,0.0,475.0,120.0,0.0,0.0,1.5,15.2,2021-11-20T15:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,12.0,3.0,204780.0,0.0,1.0,0.0,8.0,-10793.0,5727.0,16520.0,50.0,True,0.0
35,0,0,0,90,GK,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494035,0,0,0,0,0,0,0,0.0,0.0,18.0,0.0,0.0,475.0,105.0,2.0,0.0,3.4,33.6,2021-11-06T15:00:00Z,90.0,7.0,0.0,0.0,0.0,0.0,11.0,4.0,214570.0,0.0,2.0,0.0,2.0,-8620.0,4158.0,12778.0,50.0,False,0.0
