,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,0,0,11,Sub,Elche,Alaves,0,2,2021-05-11,15137,2020,469950,0.00803548377007246,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.18319550156593323,70,MC,Alaves,Levante,2,2,2021-05-08,15118,2020,468421,0.0264825951308012,0,1,0,0.18319550156593323,0.20967809855937958,0,0.0,0.0,5.0,1.0,5.4,468.0,344.0,0.0,0.0,6.5,9.2,2021-05-08T19:15:00Z,78.0,16.0,0.0,0.0,0.0,0.0,35.0,0.0,1194920.0,0.0,2.0,50.0,3.0,-96016.0,51615.0,147631.0,70.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,65,ML,Eibar,Alaves,3,0,2021-05-01,15114,2020,466874,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,74,MR,Valencia,Alaves,1,1,2021-04-24,15094,2020,465521,0,0,0,0,0,0.10151224583387375,0.10151224583387375,0.0,0.0,-2.0,0.0,14.8,468.0,324.0,0.0,0.0,6.2,4.6,2021-04-24T11:30:00Z,57.0,14.0,0.0,0.0,0.0,0.0,33.0,0.0,1459768.0,1.0,1.0,43.0,1.0,78923.0,132426.0,53503.0,70.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0.06686722487211227,83,MR,Alaves,Villarreal,2,1,2021-04-21,15078,2020,464676,0.5942000150680542,1,2,0,0.06686722487211227,0.5844986438751221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.01696024462580681,89,MR,Alaves,SD Huesca,1,0,2021-04-18,15098,2020,463647,0.07974479347467422,0,3,0,0.01696024462580681,0.11717148125171661,0.06298698484897614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.019779613241553307,76,MR,Athletic Club,Alaves,0,0,2021-04-10,15068,2020,461227,0.04103561118245125,0,1,0,0.019779613241553307,0.019779613241553307,0,0.0,0.0,0.0,0.0,14.9,468.0,303.0,1.0,0.0,6.7,0.0,2021-04-10T14:00:00Z,90.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,1316568.0,1.0,2.0,52.0,2.0,795867.0,806184.0,10317.0,69.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,4,0.14541664719581604,90,FW,Alaves,Celta Vigo,1,3,2021-04-04,15058,2020,460094,0.3822809159755707,0,3,0,0.14541664719581604,0.46938347816467285,0.0368899367749691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,72,MC,Atletico Madrid,Alaves,1,0,2021-03-21,15049,2020,458902,0.0235060453414917,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,1,Sub,Getafe,Alaves,0,0,2021-01-31,14981,2020,446079,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,468.0,208.0,0.0,0.0,0.0,0.0,2021-01-31T16:30:00Z,0.0,19.0,0.0,0.0,0.0,0.0,21.0,0.0,192952.0,3.0,1.0,0.0,0.0,-5603.0,558.0,6161.0,66.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
