,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0.12057484686374664,90,DMC,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554171,0.24072827398777008,0,2,0,0.12057484686374664,0.2798231840133667,0.2798231840133667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,MC,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552628,0.05358166620135307,0,1,0,0,0.2755679488182068,0.2219862937927246,0.0,0.0,11.0,0.0,15.1,503.0,90.0,2.0,0.0,2.3,8.2,2022-10-01T16:30:00Z,90.0,19.0,0.0,0.0,0.0,0.0,9.0,0.0,52478.0,0.0,2.0,0.0,1.0,-1558.0,1977.0,3535.0,48.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.04950929433107376,90,MC,Wolverhampton Wanderers,Manchester City,0,3,2022-09-17,18274,2022,550433,0,0,0,0,0.04950929433107376,0.05430077016353607,0.05430077016353607,0.0,0.0,10.0,0.0,5.0,503.0,80.0,3.0,0.0,2.9,16.0,2022-09-17T11:30:00Z,90.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,52997.0,3.0,0.0,8.0,2.0,-1617.0,560.0,2177.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,90,MC,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547190,0,0,0,0,0,0.05591258779168129,0.05591258779168129,0.0,0.0,13.0,1.0,4.2,503.0,60.0,0.0,0.0,1.7,12.8,2022-09-03T14:00:00Z,90.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,57602.0,0.0,1.0,0.0,2.0,-2875.0,2606.0,5481.0,49.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,0.21556788682937622,90,MC,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546301,0.0983617976307869,0,3,0,0.21556788682937622,0.6875369548797607,0.6157363057136536,0.0,0.0,17.0,1.0,43.5,503.0,42.0,0.0,0.0,9.7,25.6,2022-08-31T18:30:00Z,90.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,59502.0,0.0,0.0,28.0,3.0,-4326.0,2089.0,6415.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.020406754687428474,90,MC,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545084,0.052676357328891754,0,1,0,0.020406754687428474,0.052676357328891754,0,0.0,0.0,9.0,0.0,11.8,503.0,40.0,1.0,0.0,3.5,14.8,2022-08-28T13:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,62964.0,1.0,1.0,8.0,2.0,-6903.0,2499.0,9402.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,60,MC,Tottenham,Wolverhampton Wanderers,1,0,2022-08-20,18222,2022,542142,0.1456555426120758,0,4,0,0,0.26972976326942444,0.16488543152809143,0.0,0.0,13.0,0.0,51.8,503.0,29.0,0.0,0.0,6.3,10.8,2022-08-20T11:30:00Z,57.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,67449.0,0.0,1.0,0.0,1.0,-43339.0,298.0,43637.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,MC,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537905,0.03484245017170906,0,1,0,0,0.16841086745262146,0.1335684210062027,0.0,0.0,14.0,0.0,0.0,426.0,378.0,3.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,11.0,0.0,0.0,0.0,0.0,38.0,0.0,64717.0,1.0,3.0,0.0,2.0,-2264.0,634.0,2898.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,0.016833007335662842,90,MC,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536032,0.07038569450378418,0,3,0,0.016833007335662842,0.6393532752990723,0.6038832664489746,0.0,1.0,19.0,0.0,51.2,426.0,370.0,1.0,0.0,8.1,17.4,2022-05-15T13:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,37.0,0.0,67438.0,1.0,1.0,12.0,3.0,-1436.0,1927.0,3363.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,87,MC,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534893,0,0,0,0,0,0.1801532357931137,0.1801532357931137,0.0,0.0,8.0,0.0,1.4,426.0,330.0,5.0,0.0,0.5,3.4,2022-05-11T19:15:00Z,84.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,68475.0,5.0,1.0,0.0,2.0,-534.0,3105.0,3639.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
