,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0.14760908484458923,90,FW,Chelsea,Watford,2,1,2022-05-22,16750,2021,537793,0,0,0,0,0.14760908484458923,0.3539864122867584,0.3539864122867584,0,0,16,0,0.0,256,379,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,2,0,0,0,0,38,0,3780966,2,3,0.0,1,7370,61275,53905,72,True,0
1,0,1,0.14760908484458923,90,FW,Chelsea,Watford,2,1,2022-05-22,16750,2021,537793,0,0,0,0,0.14760908484458923,0.3539864122867584,0.3539864122867584,0,0,6,0,0.0,404,375,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,6,0,0,0,0,38,0,47154,1,2,0.0,2,1020,4734,3714,54,False,0
2,1,7,1.390376091003418,90,FW,Watford,Leicester,1,5,2022-05-15,16738,2021,536062,0,0,0,1,1.390376091003418,1.3074942827224731,0,0,0,13,0,27.8,256,369,2,0,5.0,13.8,2022-05-15T13:00:00Z,90,19,0,0,0,0,37,0,3682974,2,2,8.0,1,20489,65579,45090,72,False,0
3,1,7,1.390376091003418,90,FW,Watford,Leicester,1,5,2022-05-15,16738,2021,536062,0,0,0,1,1.390376091003418,1.3074942827224731,0,0,0,14,0,5.8,404,368,5,1,15.1,51.8,2022-05-15T13:00:00Z,90,9,0,0,0,0,37,0,42461,5,1,93.0,6,-3799,2461,6260,54,True,0
4,0,0,0,90,FW,Watford,Everton,0,0,2022-05-11,16674,2021,534811,0,0,0,0,0,0,0,1,0,23,0,5.8,256,330,1,0,5.6,19.8,2022-05-11T19:15:00Z,90,20,0,0,0,0,36,0,3777965,5,1,30.0,5,50898,83390,32492,72,False,0
5,0,0,0,90,FW,Watford,Everton,0,0,2022-05-11,16674,2021,534811,0,0,0,0,0,0,0,0,0,2,1,6.6,404,299,0,0,1.9,8.0,2022-05-11T18:45:00Z,90,8,0,0,0,0,36,0,50739,0,0,4.0,2,8069,11688,3619,54,True,0
6,0,1,0.08257342875003815,90,FW,Watford,Burnley,1,2,2022-04-30,16718,2021,530509,0.026838447898626328,0,1,0,0.08257342875003815,0.43134766817092896,0.3219358026981354,0,0,25,1,29.4,256,343,0,0,9.8,23.4,2022-04-30T16:30:00Z,90,10,0,0,0,0,35,0,3704415,4,0,45.0,5,11902,64671,52769,71,False,1
7,0,1,0.08257342875003815,90,FW,Watford,Burnley,1,2,2022-04-30,16718,2021,530509,0.026838447898626328,0,1,0,0.08257342875003815,0.43134766817092896,0.3219358026981354,0,0,6,0,17.5,404,348,2,0,6.3,25.0,2022-04-30T14:00:00Z,90,5,0,0,0,0,35,0,41357,2,1,20.0,2,137,2922,2785,54,True,0
8,0,1,0.15473900735378265,20,Sub,Manchester City,Watford,5,1,2022-04-23,16707,2021,528665,0,0,0,0,0.15473900735378265,0,0,0,0,7,0,11.3,256,339,1,0,4.8,15.0,2022-04-23T14:00:00Z,90,18,0,0,0,0,34,0,3694641,1,5,22.0,1,81029,112731,31702,71,True,1
9,0,1,0.15473900735378265,20,Sub,Manchester City,Watford,5,1,2022-04-23,16707,2021,528665,0,0,0,0,0.15473900735378265,0,0,0,0,-1,0,0.7,404,339,0,0,0.6,1.6,2022-04-23T14:00:00Z,22,12,0,0,0,0,34,0,41090,1,5,4.0,1,4192,9714,5522,54,False,0
10,0,2,0.07257893681526184,86,FW,Watford,Brentford,1,2,2022-04-16,16698,2021,526432,0,0,0,0,0.07257893681526184,0.22756361961364746,0.15498468279838562,0,0,9,0,5.3,404,328,1,0,3.6,2.2,2022-04-16T14:00:00Z,83,3,0,0,0,0,33,0,36808,2,1,28.0,2,1622,3853,2231,54,True,0
11,0,1,0.021393384784460068,83,FW,Watford,Leeds,0,3,2022-04-09,16686,2021,524640,0.2232532650232315,0,1,0,0.021393384784460068,0.24464665353298187,0,0,0,10,0,19.1,404,320,2,0,3.1,10.6,2022-04-09T14:00:00Z,80,10,0,0,0,0,32,0,35046,3,0,1.0,2,2463,3764,1301,54,True,0
12,0,1,0.35959571599960327,80,FW,Liverpool,Watford,2,0,2022-04-02,16680,2021,522473,0.2564571797847748,0,1,0,0.35959571599960327,0.64878910779953,0.03273618593811989,0,0,19,1,18.2,256,302,0,0,3.5,5.2,2022-04-02T14:00:00Z,90,5,0,0,0,0,31,0,3495355,2,0,12.0,6,181314,201535,20221,70,False,0
13,0,1,0.35959571599960327,80,FW,Liverpool,Watford,2,0,2022-04-02,16680,2021,522473,0.2564571797847748,0,1,0,0.35959571599960327,0.64878910779953,0.03273618593811989,0,0,6,0,11.4,404,306,1,0,1.9,3.2,2022-04-02T11:30:00Z,77,11,0,0,0,0,31,0,32305,0,2,4.0,2,-527,1290,1817,54,False,0
