,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,54,Sub,Everton,Watford,1,0,2017-05-12,3502,2016,135282,0.023126766085624695,0,1,0,0,0.12910813093185425,0.10598135739564896,0.0,17.0,0.0,0.0,0.0,8.0,0.0,3.0,14.0,14.3,0.0,0.0,479.0,0.0,0.0,363.0,1.0,1.0,0.0,2.5,22714.0,10.8,1.0,2017-05-12T18:45:00Z,12 May 19:45,0.0,0.0,54.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,48652.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,-397.0,150.0,547.0,42.0,False,0.0,0.0
1,0,1,0.011695672757923603,17,Sub,Leicester,Watford,3,0,2017-05-06,3495,2016,134976,0,0,0,0,0.011695672757923603,0.10455161333084106,0.09285594522953033,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.4,0.0,0.0,479.0,0.0,0.0,356.0,0.0,1.0,0.0,0.1,21787.0,0.0,0.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,19.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,49044.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,-534.0,64.0,598.0,42.0,False,0.0,0.0
2,0,0,0,1,Sub,Hull,Watford,2,0,2017-04-22,3474,2016,134207,0.017276490107178688,0,1,0,0,0.017276490107178688,0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,11.1,0.0,0.0,479.0,0.0,0.0,335.0,0.0,0.0,0.0,1.4,20387.0,2.4,1.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,49962.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-807.0,87.0,894.0,42.0,False,0.0,0.0
3,0,0,0,30,Sub,Tottenham,Watford,4,0,2017-04-08,3453,2016,133818,0,0,0,0,0,0,0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.8,0.0,0.0,479.0,0.0,0.0,318.0,1.0,0.0,0.0,0.1,19007.0,0.0,0.0,2017-04-08T11:30:00Z,08 Apr 12:30,0.0,0.0,32.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,51154.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,-549.0,122.0,671.0,42.0,False,0.0,0.0
4,0,0,0,1,Sub,Watford,Sunderland,1,0,2017-04-01,3439,2016,133202,0,0,0,0,0,0.0515301451086998,0.0515301451086998,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.5,0.0,0.0,479.0,0.0,0.0,300.0,0.0,0.0,0.0,0.2,17689.0,1.2,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,52077.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-649.0,360.0,1009.0,42.0,True,0.0,0.0
5,0,0,0,1,Sub,Watford,Middlesbrough,0,0,2017-01-14,3341,2016,131080,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,12331.0,0.0,0.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,68586.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7168.0,2642.0,9810.0,43.0,True,0.0,0.0
6,0,1,0.02611781843006611,87,Sub,Watford,Crystal Palace,1,1,2016-12-26,3145,2016,129901,0,0,0,0,0.02611781843006611,0.046178191900253296,0.046178191900253296,0.0,20.0,0.0,0.0,0.0,-1.0,0.0,1.0,16.0,2.2,0.0,0.0,479.0,0.0,0.0,180.0,0.0,1.0,0.0,0.6,10467.0,0.0,0.0,2016-12-26T12:30:00Z,26 Dec 12:30,0.0,0.0,81.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,80391.0,6.0,0.0,1.0,1.0,1.0,7.0,2.0,-798.0,2419.0,3217.0,43.0,True,0.0,0.0
7,0,0,0,58,ML,Sunderland,Watford,1,0,2016-12-17,3139,2016,128720,0,0,0,0,0,0,0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,4.7,0.0,0.0,479.0,0.0,0.0,167.0,0.0,1.0,0.0,0.7,9851.0,2.6,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,55.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,80891.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,-2581.0,574.0,3155.0,43.0,False,0.0,0.0
8,0,0,0,61,Sub,Manchester City,Watford,2,0,2016-12-15,3132,2016,131343,0,0,0,0,0,0.36032164096832275,0.36032164096832275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,DR,Watford,Everton,3,2,2016-12-10,3115,2016,130464,0,0,0,0,0,0.7584688663482666,0.7584688663482666,0.0,38.0,0.0,0.0,0.0,13.0,0.0,7.0,32.0,1.8,0.0,0.0,479.0,0.0,0.0,148.0,0.0,2.0,0.0,1.2,8627.0,10.2,0.0,2016-12-10T12:30:00Z,10 Dec 12:30,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,85227.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,-1631.0,1780.0,3411.0,44.0,True,0.0,0.0
10,0,1,0.09887716174125671,79,DR,West Bromwich Albion,Watford,3,1,2016-12-03,3110,2016,128992,0,0,0,0,0.09887716174125671,0.21738958358764648,0.11851242184638977,0.0,56.0,0.0,0.0,0.0,19.0,0.0,5.0,48.0,6.8,0.0,0.0,479.0,0.0,0.0,139.0,0.0,2.0,0.0,3.6,8022.0,11.4,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,76.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,86548.0,0.0,2.0,0.0,1.0,3.0,18.0,1.0,-3191.0,1919.0,5110.0,44.0,False,0.0,0.0
11,0,0,0,90,ML,Watford,Leicester,2,1,2016-11-19,2701,2016,128845,0,0,0,0,0,0.4194975197315216,0.4194975197315216,0.0,28.0,0.0,0.0,0.0,7.0,0.0,7.0,20.0,1.5,1.0,0.0,479.0,0.0,0.0,119.0,1.0,1.0,0.0,1.4,6817.0,12.6,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,93749.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,-296.0,5479.0,5775.0,44.0,True,0.0,1.0
12,0,0,0,1,Sub,Liverpool,Watford,6,1,2016-11-06,2693,2016,128066,0.10007931292057037,0,1,0,0,0.10007931292057037,0.10007931292057037,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,10.3,0.0,0.0,479.0,0.0,0.0,107.0,0.0,1.0,0.0,1.7,6218.0,2.2,1.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,93094.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,-6001.0,2103.0,8104.0,44.0,False,0.0,0.0
13,0,0,0,4,Sub,Watford,Hull,1,0,2016-10-29,2679,2016,127859,0.08726110309362411,0,1,0,0,0.08726110309362411,0.08726110309362411,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,11.0,0.0,0.0,479.0,0.0,0.0,99.0,0.0,0.0,0.0,1.5,5620.0,2.2,1.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,98584.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2723.0,5583.0,2860.0,44.0,True,0.0,0.0
14,0,1,0.029997853562235832,63,DR,Swansea,Watford,0,0,2016-10-22,543,2016,127418,0.015080536715686321,0,1,0,0.029997853562235832,0.04507838934659958,0,0.0,15.0,0.0,0.0,0.0,28.0,1.0,6.0,9.0,13.7,0.0,0.0,479.0,0.0,0.0,89.0,0.0,0.0,0.0,4.6,5026.0,10.6,1.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,62.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,95122.0,0.0,2.0,0.0,0.0,0.0,22.0,6.0,-2998.0,5229.0,8227.0,44.0,False,0.0,0.0
15,0,0,0,17,Sub,Middlesbrough,Watford,0,1,2016-10-16,538,2016,126882,0,0,0,0,0,0,0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.4,0.0,0.0,479.0,0.0,0.0,77.0,1.0,0.0,0.0,0.5,4434.0,4.6,0.0,2016-10-16T12:30:00Z,16 Oct 13:30,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,97186.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7577.0,13975.0,6398.0,44.0,False,0.0,0.0
16,0,1,0.015175577253103256,90,DR,Watford,Bournemouth,2,2,2016-10-01,525,2016,127431,0,0,0,0,0.015175577253103256,0.03883576765656471,0.023660188540816307,0.0,30.0,0.0,0.0,0.0,18.0,0.0,3.0,24.0,3.0,2.0,0.0,479.0,0.0,0.0,69.0,0.0,2.0,0.0,2.8,3845.0,16.8,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,87037.0,0.0,2.0,0.0,2.0,2.0,8.0,1.0,16963.0,23460.0,6497.0,44.0,True,0.0,0.0
17,0,0,0,42,Sub,Burnley,Watford,2,0,2016-09-26,520,2016,126603,0,0,0,0,0,0,0,0.0,35.0,0.0,0.0,0.0,12.0,0.0,0.0,30.0,1.0,0.0,0.0,479.0,0.0,0.0,60.0,0.0,1.0,0.0,0.9,3259.0,8.2,0.0,2016-09-26T19:00:00Z,26 Sep 20:00,0.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,67117.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,42135.0,48134.0,5999.0,44.0,False,0.0,0.0
18,1,1,0.3651951551437378,4,Sub,Watford,Manchester United,3,1,2016-09-18,507,2016,126477,0,0,0,1,0.3651951551437378,0.3651951551437378,0,1.0,5.0,0.0,0.0,2.0,27.0,0.0,0.0,4.0,0.5,0.0,0.0,479.0,0.0,0.0,50.0,0.0,0.0,1.0,5.1,2675.0,33.4,0.0,2016-09-18T11:00:00Z,18 Sep 12:00,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20072.0,0.0,0.0,0.0,1.0,3.0,17.0,12.0,-1497.0,209.0,1706.0,44.0,True,1.0,0.0
19,0,0,0,1,Sub,Watford,Chelsea,1,2,2016-08-20,476,2016,125616,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,479.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1004.0,0.2,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,25649.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-1702.0,461.0,2163.0,45.0,True,0.0,0.0
20,0,0,0,13,Sub,Southampton,Watford,1,1,2016-08-13,466,2016,125135,0,0,0,0,0,0,0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.3,0.0,0.0,479.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,479.0,3.4,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,24654.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,False,0.0,0.0
21,0,3,0.046669136732816696,41,Sub,Chievo,Bologna,0,0,2016-05-15,927,2015,114134,0.061847537755966187,0,1,0,0.046669136732816696,0.11841859668493271,0.020440012216567993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,1,0.02059844508767128,81,AMR,Bologna,AC Milan,0,1,2016-05-07,912,2015,113669,0,0,0,0,0.02059844508767128,0.135104700922966,0.11450625211000443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,1,0.013068201020359993,21,Sub,Empoli,Bologna,0,0,2016-05-01,905,2015,113017,0,0,0,0,0.013068201020359993,0.013068201020359993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,31,Sub,Bologna,Genoa,2,0,2016-04-24,895,2015,112475,0,0,0,0,0,0.03390116989612579,0.03390116989612579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2,0.025572745129466057,90,MR,Napoli,Bologna,6,0,2016-04-19,881,2015,111897,0,0,0,0,0.025572745129466057,0.025572745129466057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,0.051993414759635925,44,Sub,Bologna,Torino,0,1,2016-04-16,871,2015,111557,0.12508690357208252,0,1,0,0.051993414759635925,0.051993414759635925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,90,MR,Roma,Bologna,1,1,2016-04-11,870,2015,110785,0.4789371192455292,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,27,Sub,Inter,Bologna,2,1,2016-03-12,833,2015,109116,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,18,Sub,Bologna,Lazio,2,2,2016-01-17,744,2015,104976,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,7,Sub,Napoli,Fiorentina,3,0,2015-04-12,4845,2014,54219,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,0.027992945164442062,90,DR,Inter,Napoli,2,2,2014-10-19,5087,2014,48326,0,0,0,0,0.027992945164442062,0.08787386864423752,0.059880923479795456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,1,0.013630307279527187,90,DL,Napoli,Torino,2,1,2014-10-05,5078,2014,48063,0.32257553935050964,1,1,0,0.013630307279527187,0.6622520685195923,0.6486217975616455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,90,DR,Sassuolo,Napoli,0,1,2014-09-28,5141,2014,47822,0,0,0,0,0,0.21672028303146362,0.21672028303146362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,64,AMR,Udinese,Napoli,1,0,2014-09-21,5125,2014,47325,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2,0.027497978881001472,90,DL,Napoli,Chievo,0,1,2014-09-14,5113,2014,46973,0.07589908689260483,0,4,0,0.027497978881001472,0.23084375262260437,0.15675950050354004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1,0.3302572965621948,90,DL,Genoa,Napoli,1,2,2014-08-31,5155,2014,46596,0.6261983513832092,1,1,0,0.3302572965621948,1.1523722410202026,0.19591662287712097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,2016-08-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1544.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23833.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,-2775.0,388.0,3163.0,45.0,True,0.0,0.0
38,,,,,,,,,,2016-09-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,2094.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21332.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,-3107.0,455.0,3562.0,44.0,False,0.0,0.0
39,,,,,,,,,,2016-11-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,7418.0,0.0,0.0,2016-11-27T12:00:00Z,27 Nov 12:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,89496.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4531.0,2095.0,6626.0,44.0,True,0.0,0.0
40,,,,,,,,,,2016-12-14,,,,,,,,,,,0.0,28.0,0.0,0.0,0.0,9.0,0.0,4.0,21.0,1.1,0.0,0.0,479.0,0.0,0.0,157.0,1.0,2.0,0.0,0.8,9237.0,7.0,0.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,61.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,83346.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,-2025.0,623.0,2648.0,44.0,False,0.0,0.0
41,,,,,,,,,,2017-01-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,11085.0,0.0,0.0,2017-01-01T13:30:00Z,01 Jan 13:30,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,80823.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,163.0,3080.0,2917.0,43.0,True,0.0,0.0
42,,,,,,,,,,2017-01-03,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,11707.0,0.0,0.0,2017-01-03T20:00:00Z,03 Jan 20:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,75620.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-5298.0,1935.0,7233.0,43.0,False,0.0,0.0
