,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,16,Sub,Chelsea,Stoke,5,0,2017-12-30,7320,2017,206240,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,4,1.8,0,0,562,0,0,202,1,2,0,0.3,11695,1.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,19,0,0,5,0,0,0,0,0,0,21,0,25494,0,1,0,0,5,0.0,1,424,2821,2397,45,False,0,0
1,0,1,0.04176323860883713,20,Sub,West Bromwich Albion,Stoke,1,0,2017-02-04,3375,2016,130296,0,0,0,0,0.04176323860883713,0.04176323860883713,0,0,6,0,0,0,2,0,0,6,1.1,1,0,544,0,0,240,0,0,0,2.6,14304,1.2,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,22,0,0,19,0,0,0,0,0,0,24,0,3360,2,0,0,0,1,24.0,1,109,210,101,45,False,0,0
2,0,0,0,1,Sub,Stoke,Everton,1,1,2017-02-01,3369,2016,129236,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,544,0,0,230,0,0,0,0.0,13661,0.0,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,2,0,0,6,0,0,0,0,0,0,23,0,3221,1,0,0,1,1,0.0,1,6,122,116,45,True,0,0
3,0,0,0,16,Sub,Stoke,Manchester United,1,1,2017-01-21,3354,2016,131969,0.09213947504758835,0,1,0,0,0.09213947504758835,0,0,2,0,0,0,6,0,0,2,10.5,1,0,544,0,0,219,0,1,0,1.6,13027,5.0,1,2017-01-21T15:00:00Z,21 Jan 15:00,0,0,18,0,0,11,0,0,0,0,0,0,22,0,3181,1,1,0,1,1,0.0,1,-7,131,138,45,True,0,0
4,0,1,0.08561394363641739,1,Sub,Sunderland,Stoke,1,3,2017-01-14,3342,2016,130760,0,0,0,0,0.08561394363641739,0.08561394363641739,0,0,2,0,0,0,3,0,0,2,0.5,0,0,544,0,0,206,0,0,0,2.2,12396,0.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,2,0,0,15,0,0,0,0,0,0,21,0,3150,0,0,0,3,1,22.0,1,-115,133,248,45,False,0,0
5,0,0,0,1,Sub,Arsenal,Stoke,3,1,2016-12-10,3118,2016,129500,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0.0,1,0,544,0,0,141,0,0,0,0.1,8692,1.2,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,5,0,0,1,0,0,0,0,0,0,15,0,3356,1,0,0,1,3,0.0,1,47,252,205,45,False,0,0
6,,,,,,,,,,2017-10-28,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,99,0,0,0,0.0,5430,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,18,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0.0,0,0,0,0,45,False,0,0
7,,,,,,,,,,2017-11-04,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,106,0,0,0,0.0,5993,0.0,0,2017-11-04T12:30:00Z,04 Nov 12:30,0,0,0,0,0,9,0,0,0,0,0,0,11,0,3209,0,0,0,2,2,0.0,0,2685,4111,1426,45,True,0,0
8,,,,,,,,,,2017-11-20,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,113,0,0,0,0.0,6559,0.0,0,2017-11-20T20:00:00Z,20 Nov 20:00,0,0,0,0,0,3,0,0,0,0,0,0,12,0,7233,0,0,0,2,2,0.0,0,3090,5416,2326,45,False,0,0
9,,,,,,,,,,2017-11-25,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,121,0,0,0,0.0,7128,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,6,0,0,0,0,0,0,13,0,12509,0,0,0,1,2,0.0,0,4510,6939,2429,45,False,0,0
10,,,,,,,,,,2017-11-29,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,140,0,0,0,0.0,7698,0.0,0,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,0,0,0,10,0,0,0,0,0,0,14,0,16859,0,0,0,3,0,0.0,0,3780,5972,2192,45,True,0,0
11,,,,,,,,,,2017-12-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,148,0,0,0,0.0,8269,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,16,0,0,0,0,0,0,15,0,19324,0,0,0,1,2,0.0,0,1904,4526,2622,45,True,0,0
12,,,,,,,,,,2017-12-09,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,158,0,0,0,0.0,8843,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,17,0,0,0,0,0,0,16,0,22836,0,0,0,1,5,0.0,0,2549,5807,3258,45,False,0,0
13,,,,,,,,,,2017-12-12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,161,0,0,0,0.0,9420,0.0,0,2017-12-12T19:45:00Z,12 Dec 19:45,0,0,0,0,0,4,0,0,0,0,0,0,17,0,22823,0,0,0,0,1,0.0,0,-310,1928,2238,45,False,0,0
14,,,,,,,,,,2017-12-16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,178,0,0,0,0.0,9998,0.0,0,2017-12-16T16:00:00Z,16 Dec 16:00,0,0,0,0,0,20,0,0,0,0,0,0,18,0,22696,0,0,0,3,0,0.0,0,-370,1488,1858,45,True,0,0
15,,,,,,,,,,2017-12-23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,188,0,0,0,0.0,10578,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,19,0,0,0,0,0,0,19,0,23921,0,0,0,1,3,0.0,0,787,3321,2534,45,True,0,0
16,,,,,,,,,,2017-12-26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,194,0,0,0,0.0,11163,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,20,0,24790,0,0,0,1,1,0.0,0,593,2351,1758,45,False,0,0
17,,,,,,,,,,2018-01-01,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,218,0,0,0,0.0,12329,0.0,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,0,0,0,13,0,0,0,0,0,0,22,0,27542,0,0,0,1,0,0.0,0,1906,4614,2708,45,True,0,0
18,,,,,,,,,,2018-01-15,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,226,0,0,0,0.0,12927,0.0,0,2018-01-15T20:00:00Z,15 Jan 20:00,0,0,0,0,0,12,0,0,0,0,0,0,23,0,31285,0,0,0,0,3,0.0,0,3206,7659,4453,45,False,0,0
19,,,,,,,,,,2018-01-20,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,238,0,0,0,0.0,13525,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,8,0,0,0,0,0,0,24,0,37307,0,0,0,0,2,0.0,0,5426,8737,3311,45,True,0,0
20,,,,,,,,,,2018-01-31,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,249,0,0,0,0.0,14128,0.0,0,2018-01-31T20:00:00Z,31 Jan 20:00,0,0,0,0,0,18,0,0,0,0,0,0,25,0,42451,0,0,0,0,0,0.0,0,4276,8525,4249,45,True,0,0
21,,,,,,,,,,2018-02-03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,252,0,0,0,0.0,14741,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,2,0,0,0,0,0,0,26,0,39166,0,0,0,1,2,0.0,0,-3372,1094,4466,45,False,0,0
22,,,,,,,,,,2018-02-10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,267,0,0,0,0.0,15366,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,3,0,0,0,0,0,0,27,0,35371,0,0,0,1,1,0.0,0,-3809,187,3996,45,True,0,0
23,,,,,,,,,,2018-02-24,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,276,0,0,0,0.0,15993,0.0,0,2018-02-24T12:30:00Z,24 Feb 12:30,0,0,0,0,0,9,0,0,0,0,0,0,28,0,32545,0,0,0,1,1,0.0,0,-2849,162,3011,45,False,0,0
24,,,,,,,,,,2018-03-03,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,287,0,0,0,0.0,16623,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,29,0,31412,0,0,0,0,0,0.0,0,-1122,45,1167,45,False,0,0
25,,,,,,,,,,2018-03-12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,298,0,0,0,0.0,17256,0.0,0,2018-03-12T20:00:00Z,12 Mar 20:00,0,0,0,0,0,11,0,0,0,0,0,0,30,0,23721,0,0,0,2,0,0.0,0,-1013,48,1061,45,True,0,0
26,,,,,,,,,,2018-03-17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,307,0,0,0,0.0,17561,0.0,0,2018-03-17T15:00:00Z,17 Mar 15:00,0,0,0,0,0,7,0,0,0,0,0,0,31,0,21921,0,0,0,2,1,0.0,0,-1088,45,1133,45,True,0,0
27,,,,,,,,,,2018-04-01,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,562,0,0,311,0,0,0,0.0,18157,0.0,0,2018-04-01T12:30:00Z,01 Apr 13:30,0,0,0,0,0,1,0,0,0,0,0,0,32,0,21853,0,0,0,0,3,0.0,0,-814,54,868,45,False,0,0
