,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.02674887701869011,23,Sub,Manchester City,Bournemouth,4,0,2022-08-13,18214,2022,540584,0,0,0,0,0.02674887701869011,0.02674887701869011,0.02674887701869011,0.0,,,,0.0,2.0,0.0,,,0.3,,,58.0,,,17.0,,1.0,0.0,0.0,,0.0,,2022-08-13T14:00:00Z,,,,27.0,,,13.0,0.0,,0.0,0.0,,0.0,2.0,0.0,8333.0,,,,0.0,4.0,1.0,1.0,-1913.0,240.0,2153.0,50.0,False,,0.0
1,0,0,0,1,Sub,Bournemouth,Aston Villa,2,0,2022-08-06,18204,2022,539408,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,58.0,,,2.0,,0.0,0.0,0.0,,0.0,,2022-08-06T14:00:00Z,,,,1.0,,,2.0,0.0,,0.0,0.0,,0.0,1.0,0.0,9491.0,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,True,,0.0
2,1,1,0.05601577088236809,23,Sub,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411348,0.025173595175147057,0,1,1,0.05601577088236809,0.08118936419487,0,0.0,,,,0.0,24.0,0.0,,,11.2,,,77.0,,,375.0,,0.0,1.0,7.3,,40.8,,2020-07-26T15:00:00Z,,,,26.0,,,8.0,0.0,,0.0,0.0,,0.0,47.0,0.0,7686.0,,,,3.0,1.0,21.0,6.0,-967.0,1459.0,2426.0,58.0,False,,0.0
3,0,0,0,72,ML,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409761,0.08523289859294891,0,1,0,0,0.0703195333480835,0.0703195333480835,0.0,,,,0.0,8.0,0.0,,,15.3,,,77.0,,,362.0,,1.0,0.0,2.4,,6.8,,2020-07-19T13:00:00Z,,,,69.0,,,16.0,0.0,,0.0,0.0,,0.0,46.0,0.0,10455.0,,,,2.0,0.0,2.0,2.0,5522.0,6065.0,543.0,58.0,True,,0.0
4,0,1,0.031558021903038025,71,DR,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408670,0.05736707150936127,0,1,0,0.031558021903038025,0.1080922856926918,0.05072521045804024,0.0,,,,0.0,6.0,0.0,,,11.4,,,77.0,,,357.0,,2.0,0.0,4.2,,3.6,,2020-07-15T17:00:00Z,,,,68.0,,,11.0,0.0,,0.0,0.0,,0.0,45.0,0.0,3455.0,,,,1.0,2.0,27.0,2.0,1323.0,1557.0,234.0,58.0,False,,0.0
5,1,3,0.8453279137611389,39,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408211,0.47710803151130676,0,1,0,0.08415906131267548,0.08415906131267548,0,1.0,,,,2.0,34.0,0.0,,,17.8,,,77.0,,,342.0,,0.0,1.0,8.6,,39.0,,2020-07-12T18:00:00Z,,,,45.0,,,9.0,0.0,,0.0,0.0,,0.0,44.0,0.0,1971.0,,,,1.0,4.0,29.0,10.0,151.0,314.0,163.0,58.0,True,,1.0
6,0,1,0.01543812733143568,90,ML,Bournemouth,Tottenham,0,0,2020-07-09,11975,2019,407029,0.07857255637645721,0,2,0,0.01543812733143568,0.01543812733143568,0,0.0,,,,0.0,10.0,1.0,,,27.4,,,77.0,,,333.0,,0.0,0.0,4.8,,11.2,,2020-07-09T17:00:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,43.0,0.0,1795.0,,,,0.0,0.0,9.0,3.0,269.0,352.0,83.0,58.0,True,,0.0
7,1,4,0.43728700280189514,69,ML,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405146,0,0,0,1,0.43728700280189514,0.4248999357223511,0.3343988060951233,0.0,,,,0.0,28.0,0.0,,,2.1,,,77.0,,,325.0,,5.0,1.0,9.8,,37.4,,2020-07-04T14:00:00Z,,,,65.0,,,12.0,0.0,,0.0,0.0,,0.0,42.0,0.0,1467.0,,,,2.0,5.0,58.0,7.0,-70.0,39.0,109.0,58.0,False,,0.0
8,0,1,0.03776315972208977,26,Sub,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404384,0.09388712048530579,0,1,0,0.03776315972208977,0.062465932220220566,0.02470277063548565,0.0,,,,0.0,3.0,0.0,,,16.7,,,77.0,,,313.0,,1.0,0.0,4.4,,2.4,,2020-07-01T17:00:00Z,,,,28.0,,,13.0,0.0,,0.0,0.0,,0.0,41.0,0.0,1520.0,,,,4.0,1.0,25.0,1.0,-19.0,77.0,96.0,59.0,True,,0.0
9,0,0,0,70,ML,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402388,0.015039709396660328,0,1,0,0,0.03391830995678902,0.018878601491451263,0.0,,,,0.0,8.0,0.0,,,17.2,,,77.0,,,310.0,,1.0,0.0,2.7,,7.8,,2020-06-24T17:00:00Z,,,,65.0,,,20.0,0.0,,0.0,0.0,,0.0,40.0,0.0,1492.0,,,,0.0,1.0,2.0,2.0,-55.0,42.0,97.0,59.0,False,,0.0
10,0,2,0.14593654870986938,27,Sub,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401460,0.039347901940345764,0,2,0,0.14593654870986938,0.06815652549266815,0,0.0,,,,0.0,3.0,0.0,,,28.6,,,77.0,,,292.0,,0.0,0.0,5.0,,5.4,,2020-06-20T18:45:00Z,,,,29.0,,,7.0,0.0,,0.0,0.0,,0.0,39.0,0.0,1489.0,,,,2.0,0.0,16.0,1.0,344.0,724.0,380.0,59.0,True,,0.0
11,0,2,0.14415699243545532,72,ML,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387639,0,0,0,0,0.14415699243545532,0.19126617908477783,0.04710917919874191,0.0,,,,0.0,7.0,0.0,,,1.1,,,77.0,,,286.0,,2.0,0.0,3.3,,6.8,,2020-03-07T12:30:00Z,,,,67.0,,,10.0,0.0,,0.0,0.0,,0.0,29.0,0.0,906.0,,,,1.0,2.0,25.0,2.0,44.0,86.0,42.0,59.0,False,,0.0
12,0,0,0,21,Sub,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387490,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.5,,,77.0,,,272.0,,1.0,0.0,0.1,,0.2,,2020-02-29T15:00:00Z,,,,22.0,,,6.0,0.0,,0.0,0.0,,0.0,28.0,0.0,828.0,,,,2.0,2.0,0.0,1.0,18.0,46.0,28.0,59.0,True,,0.0
13,0,1,0.0786980390548706,19,Sub,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387231,0,0,0,0,0.0786980390548706,0.3320109248161316,0.3320109248161316,0.0,,,,0.0,3.0,0.0,,,1.3,,,77.0,,,262.0,,1.0,0.0,1.1,,1.2,,2020-02-22T15:00:00Z,,,,20.0,,,5.0,0.0,,0.0,0.0,,0.0,27.0,0.0,764.0,,,,0.0,3.0,8.0,1.0,16.0,49.0,33.0,59.0,False,,0.0
