,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,21,Sub,Bochum,Arminia Bielefeld,2,1,2022-05-06,17805,2021,531883,0.10456317663192749,0,1,0,0,0.10456317663192749,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0.3143960237503052,16,Sub,Borussia Dortmund,Bochum,3,4,2022-04-30,17803,2021,530470,0,0,0,1,0.3143960237503052,0.3143960237503052,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,595.0,,,350.0,,0.0,0.0,0.0,,0.0,,2022-04-30T14:00:00Z,,,,0.0,,,20.0,0.0,,0.0,0.0,,0.0,35.0,0.0,82652.0,,,,3.0,0.0,0.0,0.0,-1174.0,0.0,1174.0,44.0,False,,0.0
2,0,4,0.1618991494178772,31,Sub,Bochum,Augsburg,0,2,2022-04-24,17787,2021,529486,0,0,0,0,0.1618991494178772,0.1618991494178772,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,595.0,,,333.0,,0.0,0.0,0.0,,0.0,,2022-04-24T13:00:00Z,,,,0.0,,,16.0,0.0,,0.0,0.0,,0.0,34.0,0.0,83822.0,,,,2.0,2.0,0.0,0.0,-1125.0,0.0,1125.0,44.0,True,,0.0
3,0,1,0.009119286201894283,23,Sub,Freiburg,Bochum,3,0,2022-04-16,17781,2021,526244,0,0,0,0,0.009119286201894283,0.009119286201894283,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,595.0,,,327.0,,0.0,0.0,0.0,,0.0,,2022-04-16T11:30:00Z,,,,0.0,,,17.0,0.0,,0.0,0.0,,0.0,33.0,0.0,84718.0,,,,1.0,0.0,0.0,0.0,-1211.0,0.0,1211.0,44.0,False,,0.0
4,0,1,0.027674172073602676,28,Sub,Eintracht Frankfurt,Bochum,2,1,2022-03-13,17748,2021,520300,0,0,0,0,0.027674172073602676,0.027674172073602676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0.05484069511294365,17,Sub,Bochum,RasenBallsport Leipzig,0,1,2022-02-27,17724,2021,516677,0,0,0,0,0.05484069511294365,0.4987693130970001,0.443928599357605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,64,FW,VfB Stuttgart,Bochum,1,1,2022-02-19,17719,2021,514080,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,595.0,,,253.0,,0.0,0.0,0.0,,0.0,,2022-02-19T15:00:00Z,,,,0.0,,,5.0,0.0,,0.0,0.0,,0.0,26.0,0.0,101483.0,,,,3.0,0.0,0.0,0.0,-5583.0,0.0,5583.0,44.0,True,,0.0
7,1,2,0.8096832036972046,83,FW,Bochum,Bayern Munich,4,2,2022-02-12,17706,2021,512623,0.1571168750524521,0,2,0,0.051986921578645706,0.33273449540138245,0.12363068759441376,0.0,,,,0.0,0.0,0.0,,,0.0,,,595.0,,,250.0,,0.0,0.0,0.0,,0.0,,2022-02-12T15:00:00Z,,,,0.0,,,18.0,0.0,,0.0,0.0,,0.0,25.0,0.0,108054.0,,,,2.0,0.0,0.0,0.0,-4536.0,0.0,4536.0,44.0,False,,0.0
8,0,4,0.22048020362854004,89,FW,Hertha Berlin,Bochum,1,1,2022-02-04,17698,2021,510864,0.03779006376862526,0,1,0,0.22048020362854004,0.258270263671875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0.12434619665145874,57,FW,Bochum,FC Cologne,2,2,2022-01-22,17688,2021,509941,0.4825655519962311,1,3,0,0.12434619665145874,0.5909928679466248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0.07850088179111481,9,Sub,Mainz 05,Bochum,1,0,2022-01-15,17681,2021,508021,0.04062548279762268,0,1,0,0.07850088179111481,0.11912637203931808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.05609802529215813,20,Sub,Brighton,Leeds,0,0,2021-11-27,16498,2021,497585,0,0,0,0,0.05609802529215813,0.05609802529215813,0,0.0,,,,0.0,0.0,0.0,,,1.1,,,595.0,,,123.0,,0.0,0.0,0.1,,0.0,,2021-11-27T17:30:00Z,,,,22.0,,,10.0,0.0,,0.0,0.0,,0.0,13.0,0.0,80532.0,,,,0.0,0.0,3.0,1.0,13646.0,21732.0,8086.0,44.0,True,,0.0
12,0,0,0,8,Sub,Hoffenheim,Eintracht Frankfurt,1,2,2020-01-18,12557,2019,397700,0,0,0,0,0,0,0,0.0,,,,0.0,0.0,0.0,,,0.0,,,45.0,,,222.0,,0.0,0.0,0.0,,0.0,,2020-01-18T15:00:00Z,,,,0.0,,,2.0,0.0,,0.0,0.0,,0.0,23.0,0.0,5552.0,,,,1.0,1.0,0.0,0.0,-51.0,15.0,66.0,52.0,True,,0.0
13,0,1,0.5775130987167358,25,Sub,Hoffenheim,Borussia Dortmund,2,1,2019-12-20,12549,2019,371133,0,0,0,0,0.5775130987167358,0.5967021584510803,0.019189024344086647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,3,0.4122849702835083,28,Sub,Hoffenheim,Augsburg,2,4,2019-12-13,12531,2019,369449,0,0,0,1,0.4122849702835083,0.45640408992767334,0.04411910101771355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2,0.1899777203798294,61,FW,Hoffenheim,Fortuna Duesseldorf,1,1,2019-11-30,12518,2019,366132,0,0,0,0,0.1899777203798294,0.5295887589454651,0.3396110236644745,0.0,,,,0.0,0.0,0.0,,,0.0,,,45.0,,,134.0,,0.0,0.0,0.0,,0.0,,2019-11-30T15:00:00Z,,,,0.0,,,10.0,0.0,,0.0,0.0,,0.0,14.0,0.0,5976.0,,,,1.0,2.0,0.0,0.0,-87.0,11.0,98.0,52.0,False,,0.0
16,0,3,0.3556629419326782,90,FW,Hoffenheim,Mainz 05,1,5,2019-11-24,12506,2019,365606,0,0,0,0,0.3556629419326782,0.058975543826818466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,3,0.9079352021217346,90,FW,FC Cologne,Hoffenheim,1,2,2019-11-08,12498,2019,362716,0.032204993069171906,0,2,0,0.15015849471092224,0.2466602921485901,0.06429679691791534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,1,0.22610434889793396,69,FW,Hoffenheim,Paderborn,3,0,2019-11-01,12489,2019,361123,0,0,0,1,0.22610434889793396,0.7074272632598877,0.48132291436195374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
