,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,Sub,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540091,0,0,0,0,0,0,0,0,0,3,0,0.5,325,10,0,0,0.1,0.6,2022-08-07T15:30:00Z,1,19,0,0,0,0,1,0,45423,2,0,0.0,1,0,0,0,50,False,0
1,0,0,0,90,MC,Brentford,Leeds,1,2,2022-05-22,16747,2021,537708,0.016470173373818398,0,1,0,0,0.16023844480514526,0.16023844480514526,0,1,18,0,0.0,191,372,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,3,0,0,0,0,38,0,85763,2,1,0.0,2,425,1023,598,47,False,1
2,0,1,0.028485450893640518,90,MC,Leeds,Brighton,1,1,2022-05-15,16743,2021,536086,0.03285648301243782,0,1,0,0.028485450893640518,0.2686470150947571,0.24016158282756805,0,0,11,0,16.3,191,363,1,0,3.4,14.6,2022-05-15T13:00:00Z,90,4,0,0,0,0,37,0,85119,1,1,3.0,2,406,902,496,47,True,0
3,0,0,0,90,DMC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534748,0,0,0,0,0,0.057138968259096146,0.057138968259096146,0,0,10,0,1.1,191,323,3,0,1.2,10.4,2022-05-11T18:30:00Z,90,6,0,0,0,0,36,0,84694,3,0,0.0,1,723,1055,332,47,True,1
4,0,1,0.023158162832260132,90,DMC,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533472,0,0,0,0,0.023158162832260132,0,0,0,0,11,0,4.5,191,351,2,0,2.5,12.6,2022-05-08T13:00:00Z,90,1,0,0,0,0,36,0,84694,1,2,8.0,2,723,1055,332,47,False,0
5,0,0,0,90,MC,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530715,0,0,0,0,0,0.6209402084350586,0.6209402084350586,0,0,11,0,1.3,191,343,4,0,2.3,22.0,2022-04-30T16:30:00Z,90,12,0,0,0,0,35,0,83792,4,0,0.0,2,77,355,278,47,True,0
6,0,0,0,90,DMC,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529885,0,0,0,0,0,0.13392606377601624,0.13392606377601624,0,0,10,1,1.3,191,336,0,0,1.3,11.2,2022-04-25T19:00:00Z,90,7,0,0,0,0,34,0,83646,0,0,0.0,3,110,408,298,47,False,0
7,0,1,0.031937986612319946,29,Sub,Watford,Leeds,0,3,2022-04-09,16686,2021,524657,0,0,0,0,0.031937986612319946,0.031937986612319946,0,0,0,3,0,0.7,191,320,0,0,1.6,8.0,2022-04-09T14:00:00Z,31,18,0,0,0,0,32,0,83443,3,0,7.0,1,205,446,241,47,False,0
8,0,0,0,23,Sub,Leeds,Southampton,1,1,2022-04-02,16681,2021,522815,0,0,0,0,0,0,0,0,0,6,0,0.6,191,305,0,0,0.9,8.0,2022-04-02T14:00:00Z,24,16,0,0,0,0,31,0,83165,1,1,0.0,1,195,544,349,47,True,0
9,0,1,0.02118157409131527,58,MC,Leeds,Brentford,2,2,2021-12-05,16518,2021,500484,0,0,0,0,0.02118157409131527,0.06933078169822693,0.06933078169822693,0,0,7,0,4.5,191,143,1,0,0.7,1.4,2021-12-05T14:00:00Z,54,3,0,0,0,0,15,0,125643,2,2,1.0,1,-551,3605,4156,48,True,0
