,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,72,ML,West Ham,West Bromwich Albion,2,1,2021-01-19,14611,2020,443177,0.07807600498199463,1,2,0,0,0.0960380807518959,0.017962073907256126,1.0,,,,0.0,16.0,0.0,,,23.4,,,410.0,,,175.0,,2.0,0.0,4.6,,20.8,,2021-01-19T18:00:00Z,,,,69.0,,,19.0,0.0,,0.0,0.0,,0.0,19.0,0.0,2332.0,,,,1.0,2.0,2.0,5.0,10.0,45.0,35.0,53.0,False,,0.0
1,0,3,0.10924907773733139,70,AML,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442095,0.4882798492908478,0,1,0,0.10924907773733139,0.06897538155317307,0,0.0,,,,0.0,10.0,0.0,,,11.5,,,410.0,,,188.0,,2.0,0.0,2.6,,1.6,,2021-01-16T12:30:00Z,,,,68.0,,,20.0,0.0,,0.0,0.0,,0.0,19.0,0.0,2332.0,,,,3.0,2.0,13.0,2.0,10.0,45.0,35.0,53.0,False,,0.0
2,0,0,0,9,Sub,Newcastle United,West Bromwich Albion,2,1,2020-12-12,14550,2020,433046,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.3,,,410.0,,,116.0,,1.0,0.0,0.0,,0.0,,2020-12-12T15:00:00Z,,,,10.0,,,14.0,0.0,,0.0,0.0,,0.0,12.0,0.0,2329.0,,,,1.0,2.0,0.0,1.0,-48.0,17.0,65.0,53.0,False,,0.0
3,0,1,0.02725415863096714,42,Sub,Hull,Tottenham,1,7,2017-05-21,3513,2016,125232,0.3529740273952484,0,1,0,0.02725415863096714,0.380228191614151,0,0.0,8.0,1.0,0.0,0.0,8.0,0.0,1.0,4.0,14.5,1.0,0.0,647.0,0.0,0.0,374.0,1.0,4.0,0.0,3.3,23652.0,7.2,1.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,45.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0,10898.0,0.0,0.0,0.0,7.0,1.0,11.0,1.0,-1378.0,97.0,1475.0,55.0,True,0.0,0.0
4,0,2,0.06715214997529984,90,ML,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135251,0.04446680471301079,0,1,0,0.06715214997529984,0.12976743280887604,0.0626152902841568,0.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,23.5,2.0,0.0,647.0,0.0,0.0,362.0,1.0,4.0,0.0,5.7,22965.0,5.8,1.0,2017-05-14T11:00:00Z,14 May 12:00,0.0,0.0,90.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,12256.0,2.0,1.0,1.0,0.0,4.0,28.0,2.0,-2311.0,264.0,2575.0,55.0,False,0.0,0.0
5,0,0,0,90,ML,Hull,Sunderland,0,2,2017-05-06,3494,2016,134905,0.48647090792655945,0,2,0,0,0.1143839955329895,0.1143839955329895,0.0,31.0,2.0,0.0,0.0,11.0,0.0,3.0,20.0,27.2,1.0,0.0,647.0,0.0,0.0,355.0,1.0,2.0,0.0,4.7,21972.0,7.8,2.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,90.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,36.0,0.0,14537.0,4.0,0.0,0.0,2.0,0.0,12.0,1.0,1172.0,2186.0,1014.0,55.0,True,0.0,1.0
6,0,3,0.14195625483989716,84,AML,Southampton,Hull,0,0,2017-04-29,3484,2016,134479,0.02027600072324276,0,1,0,0.14195625483989716,0.05312640592455864,0,0.0,23.0,0.0,0.0,0.0,-2.0,1.0,2.0,21.0,19.3,0.0,0.0,647.0,0.0,0.0,345.0,2.0,0.0,0.0,3.2,21240.0,0.0,1.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,82.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,13275.0,5.0,0.0,2.0,0.0,0.0,13.0,3.0,-468.0,708.0,1176.0,55.0,False,0.0,0.0
7,0,0,0,90,AML,Hull,Watford,2,0,2017-04-22,3474,2016,134191,0.5720365047454834,0,2,0,0,0.496036559343338,0,0.0,17.0,1.0,0.0,0.0,12.0,1.0,2.0,13.0,30.8,2.0,0.0,647.0,0.0,0.0,335.0,1.0,0.0,0.0,4.4,20570.0,8.8,2.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,89.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,13687.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,-885.0,754.0,1639.0,55.0,True,0.0,0.0
8,0,1,0.0735078677535057,90,ML,Stoke,Hull,3,1,2017-04-15,3463,2016,134836,0.0332304947078228,0,1,0,0.0735078677535057,0.12979306280612946,0.05628519877791405,0.0,28.0,0.0,0.0,0.0,6.0,0.0,1.0,18.0,17.1,3.0,0.0,647.0,0.0,0.0,326.0,0.0,3.0,0.0,5.6,19837.0,9.0,1.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,90.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,14476.0,3.0,0.0,0.0,1.0,3.0,30.0,2.0,-308.0,972.0,1280.0,55.0,False,0.0,0.0
9,0,3,0.0921882688999176,90,ML,Manchester City,Hull,3,1,2017-04-08,3457,2016,133378,0.08150696754455566,0,1,0,0.0921882688999176,0.17369523644447327,0.08150696754455566,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,15.3,0.0,0.0,647.0,0.0,0.0,314.0,0.0,3.0,0.0,4.2,19175.0,0.0,1.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,14733.0,3.0,0.0,2.0,1.0,3.0,28.0,2.0,-3.0,1147.0,1150.0,55.0,False,0.0,0.0
