,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,10,Sub,Southampton,Aston Villa,1,0,2021-11-05,16484,2021,493631,0,0,0,0,0,0.02824227511882782,0.02824227511882782,0,0,2,0,1.0,49,109,0,0,0.1,0.4,2021-11-05T20:00:00Z,11,16,0,0,0,0,11,0,196279,0,1,0.0,1,25133,36445,11312,44,False,0
1,0,1,0.0572037547826767,3,Sub,Crystal Palace,Aston Villa,3,2,2021-05-16,14794,2020,471349,0,0,0,0,0.0572037547826767,0.0572037547826767,0,0,0,1,0,0.0,50,355,0,0,0.1,0.0,2021-05-16T11:00:00Z,5,6,0,0,0,0,36,0,634387,2,3,4.0,1,-5840,9539,15379,42,False,0
2,0,0,0,90,FW,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470505,0.083347849547863,0,2,0,0,0.12818299233913422,0.10322178900241852,0,0,7,1,21.8,50,180,0,0,3.6,4.6,2021-05-13T17:00:00Z,90,7,0,0,0,0,35,0,642887,0,0,10.0,2,308,20570,20262,42,True,0
3,0,0,0,12,Sub,Aston Villa,Manchester United,1,3,2021-05-09,14776,2020,469399,0.08225450664758682,0,1,0,0,0.08225450664758682,0,0,0,4,0,10.4,50,340,1,0,1.4,2.0,2021-05-09T13:05:00Z,13,13,0,0,0,0,35,0,642887,3,1,2.0,1,308,20570,20262,42,True,0
4,0,0,0,1,Sub,Everton,Aston Villa,1,2,2021-05-01,14769,2020,467209,0,0,0,0,0,0,0,0,0,2,0,0.0,50,333,0,0,0.1,1.0,2021-05-01T19:00:00Z,1,7,0,0,0,0,34,0,638208,2,1,0.0,1,-5890,10552,16442,42,False,0
5,1,3,0.8566321134567261,6,Sub,Aston Villa,West Bromwich Albion,2,2,2021-04-25,14756,2020,466352,0,0,0,1,0.8566321134567261,0.7233457565307617,0,0,0,27,0,1.3,50,320,0,1,9.5,35.2,2021-04-25T18:00:00Z,8,18,0,0,0,0,33,0,643668,2,2,58.0,5,-15917,9491,25408,42,True,0
6,0,1,0.04510637745261192,40,Sub,Aston Villa,Manchester City,1,2,2021-04-21,14746,2020,464714,0,0,0,0,0.04510637745261192,0,0,0,0,1,0,0.5,50,310,0,0,1.1,0.0,2021-04-21T19:15:00Z,45,12,0,0,0,0,32,0,659634,2,1,11.0,1,4789,26211,21422,42,True,0
7,0,0,0,19,Sub,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460391,0.4104345142841339,1,1,0,0,0.4217876195907593,0.011353100650012493,1,0,17,0,14.3,50,290,0,0,3.8,22.0,2021-04-04T15:30:00Z,23,8,0,0,0,0,30,0,625318,1,3,2.0,4,-10351,12251,22602,42,True,0
8,0,1,0.06148289144039154,10,Sub,Aston Villa,Tottenham,0,2,2021-03-21,14606,2020,458953,0.08297575265169144,0,1,0,0.06148289144039154,0.08297575265169144,0,0,0,6,0,10.6,50,170,0,0,3.7,4.4,2021-03-21T19:30:00Z,11,17,0,0,0,0,29,0,622075,2,0,22.0,1,-23727,7705,31432,43,True,0
9,0,0,0,11,Sub,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454759,0,0,0,0,0,0,0,0,0,2,0,0.1,50,259,0,0,0.3,3.0,2021-03-06T17:30:00Z,12,20,0,0,0,0,27,0,659006,0,0,0.0,1,1798,23205,21407,43,True,0
10,0,0,0,8,Sub,Sheffield United,Aston Villa,1,0,2021-03-03,14721,2020,453808,0,0,0,0,0,0.07781314849853516,0.07781314849853516,0,0,3,0,1.8,50,285,0,0,0.4,0.4,2021-03-03T18:00:00Z,9,15,0,0,0,0,26,0,661257,0,1,2.0,1,-910,45511,46421,43,False,0
