,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537745,0,0,0,0,0,0,0,0.0,,,,0.0,7.0,0.0,,,0.0,,,103.0,,,374.0,,2.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,14.0,0.0,,0.0,0.0,,0.0,38.0,0.0,20047.0,,,,2.0,1.0,0.0,1.0,1761.0,2213.0,452.0,40.0,True,,0.0
1,0,1,0.0177669208496809,90,DC,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536818,0,0,0,0,0.0177669208496809,0,0,0.0,,,,0.0,2.0,0.0,,,0.0,,,103.0,,,171.0,,1.0,0.0,1.3,,7.4,,2022-05-19T19:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,37.0,0.0,17557.0,,,,1.0,1.0,6.0,1.0,439.0,745.0,306.0,40.0,False,,1.0
2,0,2,0.10809595882892609,90,DC,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536015,0,0,0,0,0.10809595882892609,0.31102898716926575,0.31102898716926575,0.0,,,,0.0,8.0,0.0,,,0.1,,,103.0,,,367.0,,1.0,0.0,1.8,,7.6,,2022-05-15T11:00:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,37.0,0.0,17557.0,,,,0.0,1.0,10.0,2.0,439.0,745.0,306.0,40.0,False,,0.0
3,0,0,0,42,Sub,Burnley,Aston Villa,1,3,2022-05-07,16732,2021,534238,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.0,,,103.0,,,354.0,,1.0,0.0,0.7,,6.6,,2022-05-07T14:00:00Z,,,,43.0,,,2.0,0.0,,0.0,0.0,,0.0,36.0,0.0,16426.0,,,,3.0,1.0,0.0,1.0,-6.0,329.0,335.0,40.0,True,,0.0
4,0,0,0,4,Sub,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529304,0,0,0,0,0,0,0,0.0,,,,0.0,3.0,0.0,,,0.0,,,103.0,,,334.0,,0.0,0.0,0.0,,0.0,,2022-04-24T13:00:00Z,,,,5.0,,,20.0,0.0,,0.0,0.0,,0.0,34.0,0.0,16063.0,,,,0.0,1.0,0.0,1.0,30.0,294.0,264.0,40.0,True,,0.0
5,0,1,0.01239841990172863,90,DC,Burnley,Manchester City,0,2,2022-04-02,16684,2021,522750,0,0,0,0,0.01239841990172863,0.011780264787375927,0.011780264787375927,0.0,,,,0.0,7.0,0.0,,,0.1,,,103.0,,,302.0,,2.0,0.0,1.1,,6.8,,2022-04-02T14:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,31.0,0.0,15243.0,,,,2.0,0.0,4.0,1.0,158.0,339.0,181.0,40.0,True,,0.0
6,0,1,0.5170078873634338,90,DC,Burnley,Fulham,1,1,2021-02-17,14602,2020,450166,0,0,0,0,0.5170078873634338,0.07582235336303711,0.07582235336303711,0.0,,,,0.0,5.0,0.0,,,0.5,,,85.0,,,160.0,,1.0,0.0,1.1,,1.4,,2021-02-17T18:00:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,24.0,0.0,12766.0,,,,1.0,1.0,9.0,2.0,-115.0,268.0,383.0,43.0,True,,0.0
7,0,0,0,5,Sub,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449050,0,0,0,0,0,0,0,0.0,,,,0.0,4.0,0.0,,,0.0,,,85.0,,,232.0,,0.0,0.0,0.7,,7.0,,2021-02-13T15:00:00Z,,,,6.0,,,6.0,0.0,,0.0,0.0,,0.0,24.0,0.0,12766.0,,,,3.0,0.0,0.0,1.0,-115.0,268.0,383.0,43.0,False,,0.0
8,0,0,0,90,DC,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424494,0,0,0,0,0,0.3239760398864746,0.3239760398864746,0.0,,,,0.0,12.0,0.0,,,0.3,,,85.0,,,60.0,,3.0,0.0,1.8,,16.0,,2020-10-31T15:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,7.0,0.0,18056.0,,,,3.0,0.0,2.0,0.0,380.0,1367.0,987.0,45.0,True,,1.0
9,0,0,0,90,DC,Burnley,Tottenham,0,1,2020-10-26,14488,2020,424045,0,0,0,0,0,0.04523156210780144,0.04523156210780144,0.0,,,,0.0,5.0,0.0,,,0.3,,,85.0,,,52.0,,1.0,0.0,1.7,,16.6,,2020-10-26T20:00:00Z,,,,90.0,,,17.0,0.0,,0.0,0.0,,0.0,6.0,0.0,17251.0,,,,1.0,0.0,0.0,1.0,443.0,1533.0,1090.0,45.0,True,,1.0
