,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,24,DMR,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517608,0,0,0,0,0,0,0,0,0,2,0,0.7,443,280,1,0,0.0,0.0,2022-03-05T15:00:00Z,24,7,0,0,0,0,28,0,164206,2,0,0.0,1,2048,7351,5303,39,True,0
1,0,0,0,90,DMR,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516503,0,0,0,0,0,0.1068478599190712,0.1068478599190712,0,0,10,0,2.8,443,270,1,0,1.3,10.6,2022-02-27T14:00:00Z,90,19,0,0,0,0,27,0,162125,0,1,0.0,2,-2662,1612,4274,39,False,0
2,0,0,0,90,DMR,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,504000,0,0,0,0,0,0.26554223895072937,0.26554223895072937,0,0,27,1,1.9,443,180,0,0,2.0,16.4,2021-12-19T14:00:00Z,90,6,0,0,0,0,18,0,167768,0,0,2.0,6,-668,3813,4481,39,True,0
3,0,0,0,1,Sub,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499925,0,0,0,0,0,0,0,0,0,3,0,0.0,443,150,1,0,0.0,0.0,2021-12-04T15:00:00Z,1,11,0,0,0,0,15,0,164223,1,0,0.0,1,-918,4055,4973,39,True,0
4,0,0,0,1,Sub,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497399,0,0,0,0,0,0,0,0,0,2,0,0.0,443,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,1,15,0,0,0,0,13,0,164602,0,0,0.0,1,-1521,5441,6962,39,False,0
5,0,0,0,6,Sub,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,490017,0,0,0,0,0,0,0,0,0,3,0,0.0,443,87,1,0,0.0,0.0,2021-10-23T14:00:00Z,7,10,0,0,0,0,9,0,167987,1,1,0.0,1,-6843,904,7747,40,False,0
6,0,0,0,2,Sub,Southampton,Wolverhampton Wanderers,0,1,2021-09-26,16433,2021,485484,0,0,0,0,0,0,0,0,0,3,0,0.0,443,59,0,0,0.2,2.0,2021-09-26T13:00:00Z,3,16,0,0,0,0,6,0,187466,1,0,0.0,1,-12090,3581,15671,40,False,0
7,0,1,0.03382989764213562,90,DMR,Leicester,Wolverhampton Wanderers,1,0,2021-08-14,16381,2021,475545,0.08631426841020584,0,1,0,0.03382989764213562,0.1974177360534668,0.11110346764326096,0,0,6,0,16.7,443,5,1,0,3.6,13.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,134452,0,1,6.0,1,0,0,0,40,False,1
8,0,0,0,90,DR,Tottenham,Wolverhampton Wanderers,2,0,2021-05-16,14793,2020,471458,0.07017365097999573,0,1,0,0,0.4053105115890503,0.33513686060905457,0,0,16,0,10.8,545,358,2,0,3.1,20.6,2021-05-16T13:05:00Z,90,17,0,0,0,0,36,0,3796,0,2,0.0,1,2,37,35,44,False,0
9,0,0,0,90,DR,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469082,0,0,0,0,0,0.07941986620426178,0.07941986620426178,0,0,13,0,6.3,545,348,1,0,3.6,17.2,2021-05-09T11:00:00Z,90,3,0,0,0,0,35,0,3776,1,2,12.0,2,-15,40,55,44,True,0
10,0,0,0,1,Sub,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460680,0,0,0,0,0,0,0,0,0,4,0,0.2,545,298,0,0,0.1,1.2,2021-04-05T19:15:00Z,1,19,0,0,0,0,30,0,3678,3,2,0.0,1,-4,32,36,44,True,0
11,0,0,0,90,DMR,Manchester City,Wolverhampton Wanderers,4,1,2021-03-02,14720,2020,453565,0,0,0,0,0,0,0,0,0,4,0,1.9,545,284,4,0,2.0,18.0,2021-03-02T20:00:00Z,90,12,0,0,0,0,26,0,3653,1,4,0.0,0,-50,78,128,44,False,0
