,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,90,DC,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554104,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.023081516847014427,65,DR,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552404,0,0,0,0,0.023081516847014427,0.0833052322268486,0.0833052322268486,0.0,0.0,25.0,1.0,3.3,84.0,82.0,0.0,0.0,1.7,4.2,2022-10-01T14:00:00Z,60.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,5323.0,0.0,0.0,9.0,6.0,1106.0,1564.0,458.0,45.0,False,0.0
2,0,0,0,90,DC,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551038,0,0,0,0,0,0.3749319314956665,0.3749319314956665,0.0,0.0,10.0,0.0,0.5,84.0,72.0,3.0,0.0,0.7,6.4,2022-09-18T11:00:00Z,90.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3958.0,3.0,0.0,0.0,1.0,337.0,493.0,156.0,45.0,True,0.0
3,0,0,0,90,DR,Brentford,Leeds,1,2,2022-05-22,16747,2021,537689,0,0,0,0,0,0,0,0.0,0.0,10.0,0.0,0.0,483.0,372.0,2.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,90.0,10.0,0.0,0.0,0.0,0.0,38.0,0.0,68477.0,2.0,1.0,0.0,1.0,4106.0,6244.0,2138.0,44.0,True,0.0
4,0,0,0,63,DR,Everton,Brentford,2,3,2022-05-15,16744,2021,536239,0,0,0,0,0,0.3530685007572174,0.3530685007572174,0.0,0.0,5.0,0.0,2.7,483.0,362.0,2.0,0.0,0.7,3.8,2022-05-15T15:30:00Z,58.0,8.0,0.0,0.0,0.0,0.0,37.0,0.0,64566.0,3.0,2.0,0.0,-1.0,4698.0,6480.0,1782.0,44.0,False,1.0
5,1,1,0.6511004567146301,90,DR,Brentford,Southampton,3,0,2022-05-07,16734,2021,534201,0.14460588991641998,0,1,1,0.6511004567146301,0.9583867192268372,0.16268031299114227,0.0,2.0,38.0,1.0,11.2,483.0,352.0,0.0,1.0,8.4,49.4,2022-05-07T14:00:00Z,90.0,16.0,0.0,0.0,0.0,0.0,36.0,0.0,57896.0,0.0,3.0,23.0,14.0,-130.0,1932.0,2062.0,44.0,True,0.0
6,0,0,0,90,DC,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531706,0,0,0,0,0,0.07180134207010269,0.07180134207010269,0.0,0.0,12.0,0.0,4.4,483.0,344.0,3.0,0.0,1.1,6.6,2022-05-02T19:00:00Z,90.0,13.0,0.0,0.0,0.0,0.0,35.0,0.0,58282.0,0.0,3.0,0.0,1.0,-982.0,613.0,1595.0,44.0,False,0.0
7,0,0,0,90,DR,Watford,Brentford,1,2,2022-04-16,16698,2021,526438,0.6194708943367004,1,2,0,0,0.7484828233718872,0.12901191413402557,1.0,0.0,25.0,0.0,21.5,483.0,328.0,1.0,0.0,6.3,37.4,2022-04-16T14:00:00Z,90.0,18.0,0.0,0.0,0.0,0.0,33.0,0.0,60081.0,2.0,1.0,4.0,5.0,2504.0,3703.0,1199.0,44.0,False,0.0
8,0,1,0.06801678240299225,86,DR,Brentford,West Ham,2,0,2022-04-10,16693,2021,525121,0,0,0,0,0.06801678240299225,0.2427113652229309,0.2427113652229309,0.0,0.0,20.0,1.0,1.6,483.0,313.0,0.0,0.0,3.3,9.4,2022-04-10T13:00:00Z,82.0,19.0,0.0,0.0,0.0,0.0,32.0,0.0,57384.0,0.0,2.0,22.0,6.0,-445.0,872.0,1317.0,44.0,True,0.0
9,0,2,0.12488513439893723,90,DC,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522792,0,0,0,0,0.12488513439893723,0.6989632844924927,0.6989632844924927,0.0,0.0,9.0,0.0,0.7,483.0,303.0,1.0,0.0,6.6,22.6,2022-04-02T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,31.0,0.0,57667.0,4.0,1.0,43.0,2.0,-2331.0,1109.0,3440.0,44.0,False,0.0
