,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Swansea,West Bromwich Albion,2,1,2017-05-21,3518,2016,125357,0,0,0,0,0,0.08513225615024567,0.08513225615024567,0.0,22.0,0.0,0.0,0.0,12.0,0.0,1.0,18.0,0.0,0.0,0.0,357.0,1.0,0.0,379.0,0.0,1.0,0.0,2.5,23362.0,24.8,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,38.0,4.0,152890.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2518.0,4216.0,1698.0,39.0,True,0.0,0.0
1,0,0,0,90,GK,Swansea,Manchester City,1,1,2016-05-15,457,2015,57828,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,2017-08-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,2017-08-12T14:00:00Z,12 Aug 15:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,False,0.0,0.0
3,,,,,,,,,,2017-08-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,2017-08-19T11:30:00Z,19 Aug 12:30,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,61300.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1079.0,1072.0,2151.0,40.0,True,0.0,0.0
4,,,,,,,,,,2017-08-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1378.0,0.0,0.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,60794.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1570.0,860.0,2430.0,40.0,False,0.0,0.0
5,,,,,,,,,,2017-09-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1909.0,0.0,0.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,59716.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1814.0,788.0,2602.0,40.0,True,0.0,0.0
6,,,,,,,,,,2017-09-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,2453.0,0.0,0.0,2017-09-16T16:30:00Z,16 Sep 17:30,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,59159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-967.0,878.0,1845.0,40.0,False,0.0,0.0
7,,,,,,,,,,2017-09-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,2999.0,0.0,0.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,59817.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,2154.0,2121.0,40.0,True,0.0,0.0
8,,,,,,,,,,2017-09-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,3549.0,0.0,0.0,2017-09-30T14:00:00Z,30 Sep 15:00,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,60449.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,231.0,1701.0,1470.0,40.0,False,0.0,0.0
9,,,,,,,,,,2017-10-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,4103.0,0.0,0.0,2017-10-14T14:00:00Z,14 Oct 15:00,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,60384.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-375.0,1104.0,1479.0,40.0,True,0.0,0.0
