,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,DC,West Ham,Fulham,3,1,2022-10-09,18301,2022,554740,0,0,0,0,0,0.04828361049294472,0.04828361049294472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,90,DC,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552610,0,0,0,0,0,0.06860443949699402,0.06860443949699402,0.0,,,,0.0,21.0,1.0,,,0.1,,,461.0,,,90.0,,0.0,0.0,1.9,,18.8,,2022-10-01T16:30:00Z,,,,90.0,,,20.0,0.0,,0.0,0.0,,0.0,9.0,0.0,188205.0,,,,0.0,2.0,0.0,6.0,27403.0,40587.0,13184.0,45.0,True,,0.0
2,0,2,0.09534747153520584,90,DC,Everton,West Ham,1,0,2022-09-18,18277,2022,551396,0,0,0,0,0.09534747153520584,0.06272319704294205,0.06272319704294205,0.0,,,,0.0,12.0,0.0,,,0.5,,,461.0,,,75.0,,1.0,0.0,5.4,,16.0,,2022-09-18T13:15:00Z,,,,90.0,,,8.0,0.0,,0.0,0.0,,0.0,8.0,0.0,164483.0,,,,0.0,1.0,37.0,2.0,20170.0,30190.0,10020.0,45.0,False,,0.0
3,0,0,0,90,DC,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547263,0,0,0,0,0,0,0,0.0,,,,0.0,15.0,0.0,,,0.3,,,461.0,,,54.0,,2.0,0.0,2.2,,21.4,,2022-09-03T14:00:00Z,,,,90.0,,,6.0,0.0,,0.0,0.0,,0.0,6.0,0.0,133938.0,,,,1.0,2.0,0.0,1.0,-2657.0,7402.0,10059.0,45.0,False,,0.0
4,0,1,0.05093185231089592,90,DC,West Ham,Tottenham,1,1,2022-08-31,18249,2022,546408,0,0,0,0,0.05093185231089592,0.14840468764305115,0.14840468764305115,0.0,,,,0.0,10.0,0.0,,,0.3,,,461.0,,,47.0,,1.0,0.0,1.5,,10.4,,2022-08-31T18:45:00Z,,,,90.0,,,18.0,0.0,,0.0,0.0,,0.0,5.0,0.0,132250.0,,,,1.0,1.0,4.0,2.0,-2981.0,6032.0,9013.0,45.0,True,,0.0
5,0,0,0,90,DC,Aston Villa,West Ham,0,1,2022-08-28,18239,2022,545251,0,0,0,0,0,0.06045391783118248,0.06045391783118248,0.0,,,,3.0,30.0,1.0,,,0.2,,,461.0,,,32.0,,0.0,0.0,3.0,,29.8,,2022-08-28T13:00:00Z,,,,90.0,,,2.0,0.0,,0.0,0.0,,0.0,4.0,0.0,130609.0,,,,1.0,0.0,0.0,9.0,-14526.0,3586.0,18112.0,45.0,False,,0.0
6,0,2,0.13210979104042053,90,DC,West Ham,Brighton,0,2,2022-08-21,18229,2022,542918,0,0,0,0,0.13210979104042053,0.06574844568967819,0.06574844568967819,0.0,,,,0.0,12.0,0.0,,,0.9,,,461.0,,,30.0,,2.0,0.0,3.9,,14.0,,2022-08-21T13:00:00Z,,,,90.0,,,5.0,0.0,,0.0,0.0,,0.0,3.0,0.0,141072.0,,,,2.0,0.0,24.0,1.0,-6854.0,9189.0,16043.0,45.0,True,,0.0
7,0,1,0.06377439200878143,90,DC,Nottingham Forest,West Ham,1,0,2022-08-14,18219,2022,541269,0,0,0,0,0.06377439200878143,0.03215772286057472,0.03215772286057472,0.0,,,,0.0,10.0,0.0,,,0.1,,,461.0,,,18.0,,1.0,0.0,2.8,,11.8,,2022-08-14T13:00:00Z,,,,90.0,,,16.0,0.0,,0.0,0.0,,0.0,2.0,0.0,140835.0,,,,0.0,1.0,16.0,2.0,3785.0,14864.0,11079.0,45.0,False,,0.0
8,0,0,0,90,DC,West Ham,Manchester City,0,2,2022-08-07,18211,2022,540063,0,0,0,0,0,0,0,0.0,,,,0.0,8.0,0.0,,,0.2,,,461.0,,,10.0,,2.0,0.0,1.5,,13.0,,2022-08-07T15:30:00Z,,,,90.0,,,13.0,0.0,,0.0,0.0,,0.0,1.0,0.0,110499.0,,,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,45.0,True,,0.0
9,0,0,0,90,DC,Brighton,West Ham,3,1,2022-05-22,16748,2021,537731,0,0,0,0,0,0.051374588161706924,0.051374588161706924,0.0,,,,0.0,14.0,0.0,,,0.0,,,128.0,,,373.0,,3.0,0.0,0.0,,0.0,,2022-05-22T15:00:00Z,,,,90.0,,,4.0,0.0,,0.0,0.0,,0.0,38.0,0.0,110397.0,,,,1.0,3.0,0.0,1.0,3033.0,3878.0,845.0,54.0,False,,0.0
10,0,0,0,90,DC,West Ham,Manchester City,2,2,2022-05-15,16737,2021,536170,0,0,0,0,0,0,0,0.0,,,,0.0,12.0,0.0,,,0.0,,,128.0,,,369.0,,2.0,0.0,3.3,,32.8,,2022-05-15T13:00:00Z,,,,90.0,,,12.0,0.0,,0.0,0.0,,0.0,37.0,0.0,106567.0,,,,2.0,2.0,0.0,1.0,965.0,2019.0,1054.0,54.0,True,,0.0
