,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,Sub,West Bromwich Albion,Tottenham,0,1,2020-11-08,14513,2020,426731,0,0,0,0,0,0,0,0,0,1,0,0.8,421,77,0,0,0.1,0.2,2020-11-08T12:00:00Z,1,17,0,0,0,0,8,0,1973,1,0,0.0,1,-47,59,106,48,True,0
1,0,0,0,26,Sub,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423984,0.021378837525844574,0,1,0,0,0.07346635311841965,0.05208751931786537,0,0,7,0,11.3,421,51,0,0,2.0,7.0,2020-10-26T17:30:00Z,27,3,0,0,0,0,6,0,1989,1,1,2.0,1,-135,30,165,49,False,0
2,0,1,0.056204654276371,47,AMR,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419973,0,0,0,0,0.056204654276371,0.056204654276371,0,0,0,1,0,0.2,421,37,1,0,1.8,1.0,2020-10-04T11:00:00Z,45,16,0,0,0,0,4,0,2171,0,2,17.0,1,-226,84,310,49,False,0
3,0,0,0,16,Sub,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415595,0,0,0,0,0,0,0,0,0,3,0,0.0,421,12,0,0,0.0,0.2,2020-09-19T11:30:00Z,19,7,0,0,0,0,2,0,2409,2,5,0.0,1,-263,155,418,50,False,0
4,0,1,0.06261113286018372,20,Sub,West Bromwich Albion,Leicester,0,3,2020-09-13,14092,2020,414988,0,0,0,0,0.06261113286018372,0.06261113286018372,0,0,0,3,0,0.5,421,5,2,0,2.5,4.6,2020-09-13T13:00:00Z,22,9,0,0,0,0,1,0,2162,3,0,20.0,1,0,0,0,50,True,0
5,,,,,,,,,,2020-09-26,,,,,,,,,,,0,0,0,0,0.0,421,27,0,0,0.0,0.0,2020-09-26T16:30:00Z,0,5,0,0,0,0,3,0,2283,3,3,0.0,0,-346,99,445,50,True,0
6,,,,,,,,,,2020-10-19,,,,,,,,,,,0,0,0,0,0.0,421,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,4,0,0,0,0,5,0,2071,0,0,0.0,0,-178,50,228,49,True,0
7,,,,,,,,,,2020-11-02,,,,,,,,,,,0,0,0,0,0.0,421,61,0,0,0.0,0.0,2020-11-02T17:30:00Z,0,8,0,0,0,0,7,0,1967,0,2,0.0,0,-77,31,108,49,False,0
8,,,,,,,,,,2020-11-21,,,,,,,,,,,0,0,0,0,0.0,421,84,0,0,0.0,0.0,2020-11-21T20:00:00Z,0,13,0,0,0,0,9,0,1967,0,1,0.0,0,-63,56,119,48,False,0
9,,,,,,,,,,2020-11-28,,,,,,,,,,,0,0,0,0,0.0,421,97,0,0,0.0,0.0,2020-11-28T20:00:00Z,0,15,0,0,0,0,10,0,1941,0,1,0.0,0,-56,39,95,48,True,0
10,,,,,,,,,,2020-12-06,,,,,,,,,,,0,0,0,0,0.0,421,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,6,0,0,0,0,11,0,1890,5,1,0.0,0,-76,23,99,48,True,0
11,,,,,,,,,,2020-12-12,,,,,,,,,,,0,0,0,0,0.0,421,116,0,0,0.0,0.0,2020-12-12T15:00:00Z,0,14,0,0,0,0,12,0,1845,1,2,0.0,0,-67,11,78,48,False,0
