,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,42,Sub,West Ham,Fulham,3,1,2019-02-22,9457,2018,304738,0.013624735176563263,0,1,0,0,0.013624735176563263,0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,2.0,28.0,13.0,1.0,0.0,594.0,0.0,0.0,270.0,1.0,1.0,0.0,2.3,14999.0,6.2,1.0,2019-02-22T19:45:00Z,22 Feb 19:45,0.0,0.0,45.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,652.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,-83.0,98.0,181.0,50.0,False,0.0,0.0
1,0,2,0.08920203149318695,66,MR,Hull,Sunderland,0,2,2017-05-06,3494,2016,134902,0.074922114610672,0,1,0,0.08920203149318695,0.2126728743314743,0.06218922883272171,0.0,27.0,0.0,0.0,0.0,4.0,1.0,1.0,23.0,17.4,0.0,0.0,206.0,0.0,0.0,355.0,2.0,0.0,0.0,4.6,21494.0,4.8,1.0,2017-05-06T14:00:00Z,06 May 15:00,0.0,0.0,64.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,36.0,0.0,14340.0,3.0,1.0,1.0,2.0,0.0,24.0,3.0,4366.0,5240.0,874.0,52.0,True,0.0,0.0
2,0,0,0,90,AMR,Southampton,Hull,0,0,2017-04-29,3484,2016,134477,0,0,0,0,0,0.05312640592455864,0.05312640592455864,0.0,21.0,0.0,0.0,0.0,10.0,1.0,1.0,18.0,4.7,6.0,0.0,206.0,0.0,0.0,345.0,1.0,0.0,0.0,1.8,20799.0,7.4,0.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,89.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0,0.0,9873.0,5.0,1.0,0.0,0.0,0.0,6.0,3.0,2115.0,2565.0,450.0,52.0,False,0.0,0.0
3,1,3,1.2056540250778198,84,AMR,Hull,Watford,2,0,2017-04-22,3474,2016,134189,0,0,0,1,1.2056540250778198,1.1878597736358643,0,0.0,16.0,0.0,1.0,0.0,25.0,1.0,2.0,10.0,1.7,1.0,0.0,206.0,0.0,0.0,335.0,1.0,0.0,1.0,8.0,20083.0,33.6,0.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,81.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,7690.0,1.0,2.0,1.0,0.0,2.0,45.0,7.0,-383.0,526.0,909.0,52.0,True,1.0,1.0
4,0,2,0.09792008250951767,88,MR,Stoke,Hull,3,1,2017-04-15,3463,2016,134833,0.057420406490564346,0,2,0,0.09792008250951767,0.8130531907081604,0.7151330709457397,0.0,29.0,0.0,1.0,0.0,-3.0,0.0,1.0,21.0,32.6,0.0,0.0,206.0,0.0,0.0,326.0,1.0,3.0,0.0,7.2,19396.0,10.4,1.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,85.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,33.0,0.0,8042.0,5.0,0.0,0.0,1.0,3.0,29.0,1.0,229.0,909.0,680.0,52.0,False,0.0,1.0
5,0,0,0,90,MR,Manchester City,Hull,3,1,2017-04-08,3457,2016,133375,0,0,0,0,0,0.015765169635415077,0.015765169635415077,0.0,36.0,0.0,0.0,0.0,9.0,0.0,3.0,30.0,4.1,0.0,0.0,206.0,0.0,0.0,314.0,2.0,3.0,0.0,0.7,18734.0,0.6,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,32.0,0.0,7779.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,802.0,1230.0,428.0,52.0,False,0.0,0.0
6,1,1,0.6286343336105347,90,MR,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133523,0.07616060972213745,0,1,1,0.6286343336105347,0.7047949433326721,0,0.0,33.0,0.0,0.0,2.0,34.0,0.0,3.0,27.0,13.3,3.0,0.0,206.0,0.0,0.0,303.0,3.0,2.0,1.0,8.8,18073.0,42.0,1.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,90.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,6946.0,0.0,1.0,0.0,2.0,4.0,33.0,9.0,-266.0,236.0,502.0,52.0,True,0.0,0.0
7,0,0,0,90,AMC,Hull,West Ham,2,1,2017-04-01,3433,2016,132599,0.04315664991736412,0,1,0,0,0.1269599348306656,0.1269599348306656,0.0,34.0,0.0,0.0,0.0,8.0,0.0,0.0,26.0,15.3,2.0,0.0,206.0,0.0,0.0,294.0,2.0,1.0,0.0,2.1,17416.0,3.8,1.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,7207.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,-777.0,165.0,942.0,52.0,True,0.0,0.0
8,0,1,0.05825299024581909,87,MR,Everton,Hull,4,0,2017-03-18,3427,2016,133292,0.0698377937078476,0,1,0,0.05825299024581909,0.1280907839536667,0,0.0,35.0,0.0,0.0,0.0,5.0,0.0,2.0,28.0,16.0,1.0,0.0,206.0,0.0,0.0,283.0,0.0,2.0,0.0,2.7,16762.0,3.2,1.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,85.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,7963.0,8.0,0.0,1.0,0.0,4.0,8.0,2.0,-1925.0,151.0,2076.0,53.0,False,0.0,0.0
9,0,0,0,80,MR,Hull,Swansea,2,1,2017-03-11,3417,2016,132652,0.03269583359360695,0,1,0,0,0.12225676327943802,0.08956092596054077,0.0,20.0,0.0,0.0,0.0,2.0,1.0,2.0,14.0,12.1,0.0,0.0,206.0,0.0,0.0,276.0,1.0,0.0,0.0,1.6,16401.0,3.8,1.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,74.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,9857.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,346.0,879.0,533.0,54.0,True,0.0,1.0
