,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists_x,key_passes,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0.1185426190495491,90,AMC,Brighton,Tottenham,0,1,2022-10-08,18294,2022,554377,0.029696712270379066,0,1,0,0.1185426190495491,0.23967896401882172,0.1436525285243988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,1.5446736812591553,90,AMC,Liverpool,Brighton,3,3,2022-10-01,18288,2022,552354,0,0,0,3,1.5446736812591553,1.9827696084976196,0.43809592723846436,0.0,3.0,56.0,0.0,9.2,111.0,87.0,3.0,3.0,18.8,105.0,2022-10-01T14:00:00Z,86.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,366660.0,3.0,3.0,74.0,20.0,-4141.0,40507.0,44648.0,66.0,False,0.0
2,1,1,0.37373512983322144,90,DML,Brighton,Leicester,5,2,2022-09-04,18259,2022,547879,0.2312738597393036,0,4,1,0.37373512983322144,1.1335943937301636,0.5861353874206543,1.0,2.0,44.0,0.0,53.3,111.0,53.0,2.0,1.0,13.3,52.6,2022-09-04T13:00:00Z,88.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,317447.0,2.0,5.0,27.0,12.0,40340.0,75929.0,35589.0,65.0,True,0.0
3,0,1,0.04503631591796875,90,FW,Fulham,Brighton,2,1,2022-08-30,18242,2022,545846,0.050450727343559265,0,1,0,0.04503631591796875,0.09548704326152802,0,0.0,0.0,7.0,0.0,16.8,111.0,44.0,2.0,0.0,5.3,11.4,2022-08-30T18:30:00Z,90.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,271436.0,1.0,2.0,25.0,2.0,25305.0,46240.0,20935.0,65.0,False,0.0
4,0,2,0.2078021764755249,82,AMC,Brighton,Leeds,1,0,2022-08-27,18234,2022,544405,0.14848226308822632,1,2,0,0.2078021764755249,0.40238267183303833,0.21297824382781982,1.0,0.0,15.0,1.0,21.8,111.0,34.0,0.0,0.0,7.3,19.0,2022-08-27T14:00:00Z,78.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,239745.0,0.0,1.0,32.0,6.0,28568.0,52808.0,24240.0,65.0,True,0.0
5,1,5,0.5352410078048706,90,DML,West Ham,Brighton,0,2,2022-08-21,18229,2022,542936,0.08311402052640915,0,2,1,0.5352410078048706,0.583264946937561,0.017700890079140663,0.0,0.0,25.0,1.0,26.3,111.0,30.0,0.0,1.0,14.3,35.6,2022-08-21T13:00:00Z,90.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,198215.0,2.0,0.0,81.0,8.0,-11788.0,26387.0,38175.0,65.0,False,0.0
6,0,2,0.12070350348949432,77,DML,Brighton,Newcastle United,0,0,2022-08-13,18213,2022,540678,0,0,0,0,0.12070350348949432,0.12070350348949432,0,0.0,0.0,4.0,1.0,3.2,111.0,14.0,0.0,0.0,3.6,1.8,2022-08-13T14:00:00Z,74.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,203115.0,0.0,0.0,31.0,3.0,4067.0,27136.0,23069.0,65.0,True,0.0
7,0,2,0.06465094536542892,77,DML,Manchester United,Brighton,1,2,2022-08-07,18209,2022,539813,0.1600612998008728,0,2,0,0.06465094536542892,0.9508956074714661,0.7539879083633423,0.0,0.0,7.0,0.0,40.9,111.0,9.0,1.0,0.0,6.9,8.0,2022-08-07T13:00:00Z,74.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,177238.0,2.0,1.0,20.0,1.0,0.0,0.0,0.0,65.0,False,1.0
8,0,1,0.03693348914384842,89,DML,Leeds,Brighton,1,1,2022-05-15,16743,2021,536099,1.0252275466918945,0,4,0,0.03693348914384842,1.196040391921997,0.5144954323768616,0.0,0.0,15.0,1.0,55.9,64.0,363.0,0.0,0.0,7.4,9.2,2022-05-15T13:00:00Z,86.0,10.0,0.0,0.0,0.0,0.0,37.0,0.0,259182.0,1.0,1.0,9.0,3.0,94441.0,101025.0,6584.0,59.0,False,0.0
9,1,3,1.1563047170639038,85,DML,Brighton,Manchester United,4,0,2022-05-07,16733,2021,534177,0.7682376503944397,2,4,1,1.1563047170639038,1.8363964557647705,0.5226870179176331,2.0,3.0,49.0,1.0,47.5,64.0,353.0,0.0,1.0,19.1,72.6,2022-05-07T16:30:00Z,82.0,13.0,0.0,0.0,0.0,0.0,36.0,0.0,139117.0,0.0,4.0,71.0,17.0,9542.0,21230.0,11688.0,58.0,True,0.0
